id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,meses_transcurridos,meses_transcurridos_fecha,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,Colonia_Estandarizada,codigo_postal,ubicacion,url,descripcion
1,S3,8500000,8500000,426023,2024-11-05,"Amplia Casa en Venta en Col. Periodistas-Pachuca, Hgo.",480,416,17708.333333333332,20432.69230769231,2023-11-14,5,2024-04-30,Casa,Venta,1,3,1,0,1.0,No,,periodistas,pachuca de soto,hidalgo,periodistas,42060.0,"Periodistas, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-bb2ca1f6d2ae-113f-be72027b-ba0d-46fc,"Planta Baja: Sala, comedor, 2 antecomedores, despacho, 1/2 baño, recibidor muy amplio, closet, Cocina integral con amplia alacena, lavandería, patio de tendido, jardin amplio, bodega, Estacionamiento para 4 autos, portón eléctrico, jardin frontal,Planta Alta: Recámara principal con baño y vestidor, recámara jr. con closet y baño, recamara jr. con closet y baño con tina, Sala de TV con balcón, closet de blancos muy amplio, cuarto de servicio con baño, doble escalera, muebles de madera empotrado.Cuenta con: Boiler, Gas Estacionario, Cisterna de 10,000 lts. cercas electrificadas.Cerca hay: Farmacia Guadalajara, Escuelas, Restaurantes, Comercios Varios, Transporte para Cualquier Punto de la Ciudad"
2,S1,4500000,4500000,225541,2024-11-05,"VENTA DE CASA, ANT CARR PACHUCA R. DEL MONTE CERCA PREPA 4 PACHUCA HGO",410,410,10975.60975609756,10975.60975609756,2023-06-16,10,2024-04-30,Casa,Venta,2,3,7,0,7.0,No,,anahuac,pachuca de soto,hidalgo,anahuac,42055.0,"Anáhuac, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-ec83d0cd7af0-a8f5-456c3fb8-af0c-38b5,"VENTA DE CASA EN OBRA BLANCA MUY BIEN CONTRUIDA, SUPER REFORZADA, UBICADA SOBRE LA ANTIGUA CARRETERA PACHUCA-REAL DEL MONTE A LA ALTURA DE LA PREPARATORIA 4, COL ANAHUAC, 42079, PACHUCA HGO, PARTE NORTE DEL MUNICIPIO, CERCA A TIENDAS DE CONVENIENCIA, COMERCIO TRADICIONAL,  CERCA AL CORREDOR DE LA MONTAÑA, TRANSPORTE LOCAL CONTINUO, FORANEO PARA LA REGIÓN DE LA HUASTECA, ESCUELAS PUBLICAS Y PRIVADAS.LA CONSTRUCCION ES DE 410 MTS, Y SE SE INTEGRA DE LO SIGUIENTE: BARDAS PERIMETRALES, ZAGUAN, ESTACIONAMIENTO PARA 6 AUTOMOVILES, CON CUARTO DE ALMACEN, 7 BAÑOS, CON ESCALERAS PARA INGRESAR A LA VIVIENDA, CUENTA CON UNA FUENTE, DOS ESCALERAS DE INGRESO, TRES RECAMARAS, COCINA, SALA COMEDOR, TERRAZA, 2 SALONES DE FIESTA,PALAPA, GIMNASIO, ESTUDIO, OFICINA INDEPENDIENTE EN LA ENTRADA, Y CISTERNA DE 10,000 LITROS, SOBRE UN TERRENO DE 450 MTS, APLICA PARA CONTADO ."
3,S3,8600000,8600000,431035,2024-11-05,"Casa en venta en Zona Plateada, Real del Monte, una oportunidad imperdible",256,410,33593.75,20975.60975609756,2024-03-01,1,2024-04-30,Casa,Venta,2,4,1,0,1.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-868ffed82395-df2e-709f936f-80b4-4cf7,"Zona exclusiva de Pachuca, Lote 30 B Mina vizcaína, fraccionamiento Real del MonteA tan solo dos minutos de Plaza Galerías, escuelas, zona comercial, restaurantes y club deportivo.Hermosa casa en Zona Plateada:Primer nivel:•	½ baño•	Sala con falso plafón e iluminación led•	Comedor•	Estudio•	Área de bar con barra•	Cava para vinos•	Cocina con barra de cuarzo•	Alacena•	Sala de juegos o reuniones•	Área de lavado•	Terraza•	Jardín Segundo nivel:•	Recamara principal con baño completo y vestidor•	3 recamas jr con closet y baño completo •	Sala de tv•	Baños equipados con cristal templadoTercer nivel: •	Cuarto de Servicio con baño completo •	Roof gardenAMENIDADES:•	Totalmente cercado•	Vigilancia 24/7•	Servicios ocultos•	Áreas verdes con andadores"
4,S3,8600000,8600000,431035,2024-11-05,"Hermosa casa reaidencial en zona exclusiva de Pahcuca, Mina Real del Monte",256,410,33593.75,20975.60975609756,2024-02-04,2,2024-04-30,Casa,Venta,2,4,1,0,1.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-cde283e06228-b907-9e325866-bb0c-40c1,"Vive en un lugar que te ofrece la seguridad que necesitas para que tu familia viva tranquila y disfruta de su exclusividad, ZONA PLATEADA por su ubicación estratégica te ofrece todos los servicios a la mano, así que aprovecha y adquiere esta casa que es una opción única en el mercado. Primer nivel:•	½ baño•	Sala con falso plafón e iluminación led•	Comedor•	Estudio•	Área de bar con barra•	Cava para vinos•	Cocina con barra de cuarzo•	Alacena•	Sala de juegos o reuniones•	Área de lavado•	Terraza•	Jardín Segundo nivel:•	Recamara principal con baño completo y vestidor•	3 recamas jr con closet y baño completo •	Sala de tvBaños equipados con cristal templadoTercer nivel: •	Cuarto de Servicio con baño completo •	Roof garden"
5,E2,615000,615000,30824,2024-11-05,"Casa en Col. Puerta de Hierro, Hgo., Remate!!! -JCR-",180,410,3416.6666666666665,1500.0,2024-01-19,3,2024-04-30,Casa,Venta,2,5,1,0,1.0,No,fraccionamiento,la puerta de hierro,pachuca de soto,hidalgo,la puerta de hierro,42086.0,"Fraccionamiento La Puerta de Hierro, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-8e4f6b71bcfc-11b4-a718013b-8655-47c4,"¡¡¡Aviso urgente OPORTUNIDAD DE AHORRO!!!Excelente zona para vivir o invertirNO LO PIENSES MAS, AGENDA TU CITA Nosotros te AYUDAMOS y explicamos como ADQUIRIR una casa o departamentoCon un precio de DESCUENTO por tiempo LIMITADOPagando solo con recursos propios y sin CRÉDITO¡¡¡APARTALA con un primer pago, de 290,000que no te la GANEN!!! Entrega GARANTIZADA, contamos con mas de 10 años de EXPERIENCIATrámite Fácil y SEGURO ante NOTARIOContacta a TU asesor Jafet Cabrera R.TEL. Ver teléfono Whatsapp También contesto WhatsApp"
6,S2,7300000,7300000,365878,2024-11-05,CASA EN VENTA EN GRAND DIAMANTE,170,410,42941.17647058824,17804.878048780487,2023-05-18,11,2024-04-30,Casa,Venta,2,5,2,0,2.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-4404f7f6c86b-5c21-aa338f06-bd6a-48b8,"tu próxima casa la encontraras en grand diamantePRIMER NIVEL:RECIBIDOR ½ BAÑO SALA COMEDOR COCINA INTEGRAL SÚPER EQUIPADA CON ESTUFA HORNO CAMPANA REFRIGERADOR ISLA CON GRANITO BODEGA O ALACENA 1 RECAMARA CON BAÑO COMPLETO Y CLOSET TERRAZA JARDÍN LAVADERO DE SERVICIO2 ESPACIOS DE ESTACIONAMIENTOSEGUNDO NIVEL:1 RECÁMARA PRINCIPAL CON DOBLE BALCÓN CAJONERA CON COJINES CON1 BAÑO COMPLETO CON DOS OVALINES VESTIDORRECÁMARA JR 1CON BALCÓN ESCRITORIO Y BAÑO COMPLETO CON CLOSET RECÁMARA JR 2 CON ESCRITORIO Y REPISAS, BALCÓN BAÑO Y VESTIDOR"
7,E2,550000,550000,27566,2024-11-05,"HERMOSA CASA EN REMATE, GRAN OPORTUNIDAD, VENTA PRIETA, PACHUCA DE SOTO",170,410,3235.294117647059,1341.4634146341464,2023-11-06,5,2024-04-30,Casa,Venta,2,5,1,0,1.0,No,,ampliacion los jales,pachuca de soto,hidalgo,venta prieta,42083.0,"Ampliación Los Jales, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-1f3b33693f7f-8dd8-951ea774-8b17-4876,"¡¡¡¡ QUE NO TE GANEN EXCELENTE OPORTUNIDAD, REMATE BANCARIO!!!!Leonardo QuirozCel y whatsapp: Ver teléfono Whatsapp¡¡ INCREMENTA TU PATRIMONIO CON EXCELENTE OPORTUNIDAD DE INVERSIÓN, FIRMA DE CESION DE DERECHOS ANTE NOTARIO PUBLICO, EMPRESA LEGALMENTE CONSTITUIDA, TRAMITE AVALADO BAJO CONTRATO, ENTREGA 100% GARANTIZADA O LA DEVOLUCION INTEGRA DE TU DINERO POR ESCRITO !!VEN Y CONOCENOS PARA BRINDARTE TODA LA INFORMACION Y MOSTRARTE LAS GARANTIAS QUE TE OFRECEMOS PARA QUE TENGAS LA CERTEZA DE QUE TU INVERSIÓN ESTA TOTALMENTE PROTEGIDA.¡NO SE ACEPTA NINGUN CREDITO, ¡SOLO RECURSO PROPIO, DOS PAGOS PARCIALES!Agenda tu cita en nuestro corporativo, ASESORIA GRATUITA.Con gusto te atenderá tu asesor: Lic. Leonardo Quiroz, Tel WhatsApp"
8,E2,580000,580000,29070,2024-11-05,CASA EN RECUPERACION BANCARIA BLVRD. NUEVO HIDALGO 521 COLONIA VENTA PRIETA PACHUCA DE SOTO HIDALGO,154,409,3766.2337662337663,1418.0929095354522,2024-02-29,2,2024-04-30,Casa,Venta,2,4,1,0,1.0,No,fraccionamiento,bonanza,pachuca de soto,hidalgo,bonanza,42086.0,"Fraccionamiento Bonanza, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-d6937a1b8450-56f-f6e4d15d-8ee4-4d9a,"GRAN OPORTUNIDAD DE INVERSION, VENTA DE CASA EN LA COLONIA VENTA PRIETA EN PACHUCA DE SOTO.EL INMUEBLE CUENTA CON 4 AMPLIAS RECAMARAS, 3.5 BANOS Y 2 LUGARES DE ESTACIONAMIENTO, CERCANIA A BANCOS, ESCUELAS, PARQUES, CENTROS COMERCIALES ETC. ADQUIERA ESTA PROPIEDAD POR UN COSTO POR DE BAJO DE SU VALOR COMERCIAL."
9,E2,570000,570000,28569,2024-11-05,VENTA DE CASA EN PACHUCA COL VENTA PRIETA PACHUCA HIDALGO,154,409,3701.298701298701,1393.643031784841,2023-12-06,4,2024-04-30,Casa,Venta,2,4,1,0,1.0,No,,ampliacion los jales,pachuca de soto,hidalgo,venta prieta,42083.0,"Ampliación Los Jales, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-40bb92740bb4-90b1-335194af-ab78-4ac4,"GRAN OPORTUNIDAD DE INVERSION, VENTA DE CASA EN LA COLONIA VENTA PRIETA EN PACHUCA DE SOTO, EL INMUEBLE CUENTA CON 4 AMPLIAS RECAMARAS, 3.5 BANOS Y 2 LUGARES DE ESTACIONAMIENTO, CERCANIA A BANCOS, ESCUELAS, PARQUES, CENTROS COMERCIALES ETC. ADQUIERA ESTA PROPIEDAD POR UN COSTO POR DE BAJO DE SU VALOR COMERCIAL"
10,E2,560000,560000,28067,2024-11-05,VENTA DE CASA EN VENTA PRIETA PACHUCA DE SOTO,154,409,3636.363636363637,1369.1931540342298,2024-02-20,2,2024-04-30,Casa,Venta,2,4,1,0,1.0,No,fraccionamiento,bonanza,pachuca de soto,hidalgo,bonanza,42086.0,"Fraccionamiento Bonanza, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-c90be0d6cb75-addd-c4ff378-a0b3-4776,"GRAN OPORTUNIDAD DE INVERSION, VENTA DE CASA EN LA COLONIA VENTA PRIETA EN PACHUCA DE SOTO, EL INMUEBLE CUENTA CON 4 AMPLIAS RECAMARAS, 3.5 BANOS Y 2 LUGARES DE ESTACIONAMIENTO, CERCANIA A BANCOS, ESCUELAS, PARQUES, CENTROS COMERCIALES ETC. ADQUIERA ESTA PROPIEDAD POR UN COSTO POR DE BAJO DE SU VALOR COMERCIA"
