año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id,year
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,1.0,1.0,6.0,5.0,2.0,5479808.78,1,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,1.0,2.0,4.0,3.0,2.0,1715027.31,2,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,1.0,2.0,5.0,3.0,1.0,938335.09,3,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,1.0,2.0,5.0,4.0,1.0,1014831.18,4,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,1.0,2.0,6.0,4.0,1.0,2344630.7,5,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,2.0,0.0,1.0,3.0,1.0,0.0,6,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,2.0,0.0,6.0,4.0,1.0,0.0,7,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,2.0,1.0,4.0,5.0,1.0,697921.82,8,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,2.0,2.0,4.0,3.0,1.0,801771.97,9,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,2.0,2.0,6.0,3.0,1.0,896213.68,10,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,2.0,2.0,6.0,4.0,3.0,3566094.87,11,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,1,1.0,1.0,3.0,3.0,1.0,644260.68,12,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,1,1.0,2.0,3.0,3.0,1.0,438724.84,13,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,1,1.0,2.0,6.0,4.0,1.0,1479123.96,14,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,1,2.0,2.0,1.0,3.0,1.0,408092.56,15,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,1,2.0,2.0,3.0,3.0,1.0,610484.08,16,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,1,2.0,2.0,6.0,4.0,1.0,508312.33,17,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,1.0,1.0,2.0,0.0,2.0,0.0,18,2024
