id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,meses_transcurridos,meses_transcurridos_fecha,tipo,Estado,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,CP,ubicacion,url,descripcion
1,ELITE,32000000,32000000,1779998.57,2024-09-17,venta casa residencial club de golf pachuca alberca techada amplios jardines,500,500,64000.0,64000.0,2023-04-24,16,2024-09-17,Casa,Venta,1,6,6,0,6.0,No,arboledas san javier 2da secc,42034,arboledas san javier 2da secc,https://www.lamudi.com.mx/detalle/41032-73-8f84693fe789-b92b-4c1a8021-a9bf-392b,club de golf uno de los fraccionamientos exclusivos en pachuca de soto cuenta con campo de golf area verde alrededor cuenta tambien con aqua sportla casa cuenta conamplios espacios 6 recamaras amplia sala y comedor con bar y vinateria estructura de madera para colocar licoresalberca techada con camastros
2,ELITE,27000000,27000000,1501873.79,2024-09-17,venta preciosa residencia en frac arboledas santa elena pachuca,970,970,27835.05154639175,27835.05154639175,2024-06-03,3,2024-09-17,Casa,Venta,2,4,4,0,4.0,No,arboledas santa elena,42034,arboledas santa elena,https://www.lamudi.com.mx/detalle/41032-73-6ff921bd28c-762a-1f5f038a-bc11-3d36,venta preciosa residencia en santa elena terreno 1300 m2construccion 970 m2planta baja vestibulo sala con chimenea comedor muy amplio cocina integral equipada con desayunador sala tv rea para bar medio bano jardin muy amplio alberca rea de servicio cuarto de lavado estudio cuarto de visitas con bano completo garage 810 autos salon de eventos independiente de la casa con banoparahombres y mujeres planta alta 4 recamaras cada una con bano completo y vestidor extras plafones con molduras y luz indirecta madera de primera reas amplias calentadores paraplanta alta y planta baja cisterna jardin muy grande y alberca actualmente no esta en funcionamiento cochera amplia chimeneavitrales jacuzzi
3,ELITE,26000000,26000000,1446248.84,2024-09-17,preciosa y lujosa residencia en venta fracc santa elena pachuca,1100,1100,23636.363636363636,23636.363636363636,2023-03-27,17,2024-09-17,Casa,Venta,2,5,8,0,8.0,No,arboledas santa elena,42034,arboledas santa elena,https://www.lamudi.com.mx/detalle/41032-73-60d25af6d0bf-7545-f42a7abb-b142-4006,terreno 653 m2 en esquina construccion 1100 m2 sotano garage subterraneo cocineta para fiestas 2 banos hombres y mujeres 2 habitaciones tipo bodegacuarto de servicio completoestacionamiento de 6 vehiculos planta baja cocina de caoba con cubierta de cuarzo parrilla campana lavavajillas horno filtro antecomedor 2 areas de despensa y desayunador comedor estudio salon de juegossala sala de tv rea para bar 12 banoterraza cuarto de maquinas calderapatio con area de asador planta alta5 recamaras la habitacion principal con area de sala vestidor de 2niveles bano completo con jacuzzi y vapor balcon que se comunica con dos habitaciones mas 4 habitaciones secundarias amplias con bano completo y vestidor azotea cuarto de lavado con closet lavadero y tendedero materiales generales ladrillo rojo traslapadotecho de teja puertas macizas de caoba escaleras de marmol barandal de acero inoxidablepisos interceramic formato grande piso de madera en planta alta cocineta de caoba con cubierta de cuarzo banos con acabados en marmol y caoba ventanas de aluminio eurovent color champagne de 9mmtintex sistema oscilobatiente en 3 pasos o vidrios templados curvos equipamientocisterna de 50000 litrossistema de purificacion de agua potable con recirculadoren toda la casapersianascocina parrilla campana lava vajillas horno filtrode agua potablehabitacion principal regadera con vapor y jacuzzi calderaporton electrico en garagebocinas en techo en areas de reunion y garage sistema deaudio bticinosistema inteligente y contactos bticinocontrol bticino para encendido y apagado de iluminacioniluminacion dicroicos bticinoiluminacion indirecta en espacios estrategicosalarma de seguridaddomo en escaleracamaras de seguridad
4,ELITE,24000000,24000000,1334998.92,2024-09-17,venta de casa en santa elena pachuca hidalgo,653,972,36753.44563552833,24691.35802469136,2024-02-01,7,2024-09-17,Casa,Venta,2,5,1,0,1.0,No,arboledas santa elena,42034,arboledas santa elena,https://www.lamudi.com.mx/detalle/41032-73-d0e9b306b171-5c7d-bd33c77d-92ab-42cb,hermosa casa en venta en fraccionamiento santa elena sotano cochera para 4 autos funciona el sotano tambien como salon de fiestas  cuenta con una cocina cuarto de servicio con bano completo un pasillo lateral y bodega una segunda bodega y bano planta baja vestibulo sala comedor cocina area de piano o segunda sala biblioteca medio bano salon de juegos salata de tv terraza patio posterior y cuarto de maquinas planta alta vestibulo sala de estar o de tv recamara con vestidor y bano recamara con vestidor y bano compartido recamara con vestidor recamara con vestidor y bano recamara principal con bano tina de hidromasaje vapor vestidor area de lavado con escaleras que conducen a la azotea
5,ELITE,24000000,24000000,1334998.92,2024-09-17,la moraleja,825,900,29090.909090909092,26666.666666666668,2023-12-06,9,2024-09-17,Casa,Venta,2,3,4,0,4.0,No,la moraleja,42080,la moraleja,https://www.lamudi.com.mx/detalle/41032-73-e1fe6414a154-d029-3380e21d-a22e-3ca1,se vende casa con excelente ubicacion en privada residencial la moraleja en pachuca hgo a un costado del estadio hidalgo frente a soriana del valle y a 3 minutos de plaza galerias pachuca rodeada de los principales accesos viales y centros comerciales de la ciudadplanta bajasala comedor cocina estudio oficina alberca techada cuarto de juego cine bodega fuente interior cuarto de servicio con bano completo area de lavado amplio jardinplanta alta4 recamaras con vestidor y bano completo de las cuales 3 tienen jacuzzi sala de tv barequipamiento3 jacuzzialberca techadacuarto de juegoscinebaramplia bodega2 cisternas una de riegococina integralamplios pasillossotano easybroker id ebll1257
6,ELITE,24000000,24000000,1334998.92,2024-09-17,vendo casa en club de golf,1400,625,17142.85714285714,38400.0,2023-04-21,16,2024-09-17,Casa,Venta,2,3,3,0,3.0,No,club de golf,42083,club de golf,https://www.lamudi.com.mx/detalle/41032-73-44e222b82b48-4cdb-500f5c8c-bcb3-31c1,vive en la zona mas exclusiva de la ciudad con el unico campo de golf sotano estancia muy amplia de usos multiples primer nivel sala  comedor cocina integral con desayunador  alacena  12 bano  jardin muy amplio con vista al campo de golf  salon de fiestas con 12 bano  amplio garage  bodega  cuarto y patio de servicio  3 espacios de estacionamiento segundo nivel recamara principal con terraza chimenea vestidor y bano con jacuzzi  recamara jr 1 con vestidor y bano recamara jr 2 con closet muy amplio y bano  family room  closet de blancos  area de lavado
7,ELITE,23000000,23000000,1279373.97,2024-09-17,exclusiva y lujosa residencia en venta en zona plateada pachuca hgo,750,750,30666.666666666668,30666.666666666668,2024-02-09,7,2024-09-17,Casa,Venta,2,4,2,0,2.0,No,el tezontle,42064,el tezontle,https://www.lamudi.com.mx/detalle/41032-73-71052c6715a9-c7dc-db462039-a7dd-1237,exclusiva casa residencial en venta en zona plateada750 metros de terreno 650 construccion  3 recamaras con bano cu cuarto de juegos y tv despacho gym cocina equipadacon cafetera profesional con molido y capuchino jardin pergola arboles de30anos estilo californiano 3 sistemas de iluminacion en toda la casa cuarto principalcon terraza techadase vende amueblada 23 mdpo sin amueblar 21 mdpsomos asesores profesionales en bienes raices especialistas en hacer que tu experiencia de inversion patrimonial venta renta o compra sea confiable rentable y facil de hacer realidadcontactanos conoce todos los detalles y agenda una cita para ver personalmente todo lo que la propiedad tiene para ofrecerteprecio y disponibilidad sujeto a cambio sin previo avisoaviso de privacidadcontactar
8,ELITE,23000000,23000000,1279373.97,2024-09-17,preciosa residencia en venta en zona plateada pachuca,590,590,38983.05084745763,38983.05084745763,2023-03-20,17,2024-09-17,Casa,Venta,2,3,4,0,4.0,No,el tezontle,42064,el tezontle,https://www.lamudi.com.mx/detalle/41032-73-3e703535465a-17c-a19bc895-947a-3e8b,terreno 740 m2 construccion 560 m2 planta baja 1 cuarto de tv y juegos 1 oficina de 2 niveles 2 salas comedor amplia cocina con alacena y terraza jardin con area de asadores cuarto de lavado garage cubierto para 3 vehiculos con porton automatizado glorieta planta alta 1 recamara principal con amplio vestidor bano con tina y 2 terrazas con area para gym 1 recamara de visitas con bano completo y tina 1 recamara junior triple tipo loft con tapanco bano completo y tina acabados de lujo cocina integral de primera con cuarzo onix iluminado a la entrada de la residencia carpinteria de lujo
9,ELITE,22450000,22450000,1248780.24,2024-09-17,casa arauco zona plateada,836,829,26854.06698564593,27080.820265379974,2023-04-24,16,2024-09-17,Casa,Venta,2,4,7,0,7.0,No,el tezontle,42064,el tezontle,https://www.lamudi.com.mx/detalle/41032-73-c1d110d122c3-323a-64884321-901b-39cf,esta hermosa residencial unica ubicada en uno de los fraccionamientos con mayor plusvalia por su excelente ubicacion en zona plateada sobre el blvrd g bonfil a unos metros de plaza galerias y bodega aurrera bonfil cuenta con jardin de 406m de espacio 1 recamara principal con vestidor tina 2 lavabos bano y balcon 2 recamaras con bano completo y vestidor cu 1 recamara de visita amplia con bano closet y balcon a jardin 1 area de tv en planta alta sala y comedor con salida al jardin cocina equipada barra desayunador 1 family room seguido de cocina 1 cuarto de servicio en azotea 2 garaje separados para 2 autos cu uno con 12 bano 2 patios de servicio con acceso independiente 2 cisternas tinacocisterna 1 estudio amplio para 3 escritorios con balcon 1 sala de tv amplia area de golosinas y mini refrigerador salon de eventos acceso independiente con cantina 2 banos 12 banos cocina equipada salida a jardin y terraza otros sistemas de riego basico en pasto sistema de malla electrificada lindero exterior tv portero sus acabados en puertas de acceso de cristal templado canceleria ventanas ventanales y puertas de aluminio color champagne puertas recamaras y banos madera color chocolate barandales en balcones y escaleras internas de acero inoxidable y cristal templado pisos planta baja y escaleras de losetagranito pisos en planta alta piso laminado color cafe closets de madera color chocolate papel tapiz en muro diferentes areas mobiliario empotrado de madera color chocolate en recamaras areas de tv cantina blanco en estudio gris en lavabos y family room canceles de aluminio y cristal en banos madera deck piedra en fachada aplanado fino color blanco en mayoria de muros interior y exterior puertas de acero color champagne en patio servicio acceso a jardin y bodega valor de la propiedad 2245000000
10,ELITE,22450000,22450000,1248780.24,2024-09-17,excelente casa en venta en arauco habitat,836,829,26854.06698564593,27080.820265379974,2024-06-03,3,2024-09-17,Casa,Venta,2,4,2,0,2.0,No,bosques,42034,bosques,https://www.lamudi.com.mx/detalle/41032-73-5fe901359fca-36f7-348b8ffa-97ad-4f19,1 recamara principal con vestidor tina2 lavabos bano y balcon2 recamaras con bano completo y vestidor cu1 recamara visitas amplia con bano closet y balcon a jardin1 area de tv en planta alta sala comedor con salida al jardin cocina equipadabarra desayunador1 family room seguido de cocina1 cuarto de servicio en azotea2 garage separados para 2 autos cuuno con 12 bano2 patios de servicio con acceso independiente2 cisternas tinacocisterna1 estudio amplio para 3 escritorios con balcon1 sala de tv ampliaarea de golosinas y mini refrigeradorsalon de eventos acceso independiente con cantina2 banos 12 banoscocina equipada salida a jardin y terraza
