id,Age Range,Hombre,Mujer,Total
1,0 a 4 años,10129,9832,19961
2,10 a 14 años,11747,11583,23330
3,15 a 19 años,12982,12828,25810
4,20 a 24 años,13434,13241,26675
5,25 a 29 años,12530,12947,25477
6,30 a 34 años,11337,12762,24099
7,35 a 39 años,10610,12180,22790
8,40 a 44 años,9831,11635,21466
9,45 a 49 años,9533,11572,21105
10,5 a 9 años,10947,10719,21666
11,50 a 54 años,8951,11133,20084
12,55 a 59 años,7543,9300,16843
13,60 a 64 años,6560,8019,14579
14,65 a 69 años,4810,5738,10548
15,70 a 74 años,3328,4133,7461
16,75 a 79 años,2103,2644,4747
17,80 a 84 años,1109,1725,2834
18,85 años o más,961,1661,2622
