id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,Colonia_Estandarizada,codigo_postal,ubicacion,url
1,ELITE,32000000,32000000,1603850,2024-11-05,Venta Casa Residencial Club de Golf Pachuca Alberca Techada Amplios Jardines,500,500,64000.0,64000.0,2023-04-24,434,14,2024-07-03,Casa,Venta,0,6,6,0,6.0,No,frac,c arboledas san javier 2da secc,pachuca de soto,hidalgo,arboledas de san javier,42084.0,"Fracc Arboledas San Javier 2da Secc, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-8f84693fe789-b92b-4c1a8021-a9bf-392b
2,ELITE,28500000,28500000,1428429,2024-11-05,Casa - Club de golf Campo de Golf,1000,1100,28500.0,25909.090909090908,2023-03-29,459,15,2024-07-03,Casa,Venta,1,4,5,0,5.0,No,,campo de golf,pachuca de soto,hidalgo,club de golf,42083.0,"Campo de Golf, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-e30993482f0b-9188-7851e93d-a718-3a84
3,ELITE,26000000,26000000,1303128,2024-11-05,"Preciosa y lujosa residencia en Venta, Fracc Santa Elena, Pachuca",1100,1100,23636.36363636364,23636.36363636364,2023-03-27,461,15,2024-07-03,Casa,Venta,1,5,8,0,8.0,No,frac,c arboledas santa elena,pachuca de soto,hidalgo,arboledas santa elena,42086.0,"Fracc Arboledas Santa Elena, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-60d25af6d0bf-7545-f42a7abb-b142-4006
4,ELITE,24900000,24900000,1247996,2024-11-05,SE VENDE CASA EXCLUSIVA EN PACHUCA,680,680,36617.64705882353,36617.64705882353,2023-03-28,460,15,2024-07-03,Casa,Venta,1,5,2,0,2.0,No,frac,c arboledas de san javier,pachuca de soto,hidalgo,arboledas de san javier,42084.0,"Fracc Arboledas de San Javier, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-73167df9a168-ec28-9244e608-8156-3e95
5,ELITE,24000000,24000000,1202887,2024-11-05,VENTA DE CASA EN SANTA ELENA PACHUCA HIDALGO,653,972,36753.44563552833,24691.35802469136,2024-06-02,31,1,2024-07-03,Casa,Venta,1,5,1,0,1.0,No,frac,c arboledas santa elena,pachuca de soto,hidalgo,arboledas santa elena,42086.0,"Fracc Arboledas Santa Elena, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-d0e9b306b171-5c7d-bd33c77d-92ab-42cb
6,ELITE,24000000,24000000,1202887,2024-11-05,la moraleja,825,900,29090.90909090909,26666.666666666668,2023-12-06,207,6,2024-07-03,Casa,Venta,1,3,4,0,4.0,No,,la moraleja,pachuca de soto,hidalgo,la moraleja,42064.0,"La Moraleja, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-e1fe6414a154-d029-3380e21d-a22e-3ca1
7,ELITE,23000000,23000000,1152767,2024-11-05,"Preciosa residencia en Venta en Zona Plateada, Pachuca",590,590,38983.05084745763,38983.05084745763,2023-03-20,468,15,2024-07-03,Casa,Venta,1,3,4,0,4.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-3e703535465a-17c-a19bc895-947a-3e8b
8,ELITE,22450000,22450000,1125201,2024-11-05,Excelente Casa en Venta en Boulevar G.bonfil,836,829,26854.06698564593,27080.82026537997,2023-04-20,438,14,2024-07-03,Casa,Venta,1,4,6,0,6.0,No,frac,c arboledas san javier 2da secc,pachuca de soto,hidalgo,arboledas de san javier,42084.0,"Fracc Arboledas San Javier 2da Secc, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-3f42383cbb19-b54f-81945cb3-8b18-3f47
9,ELITE,22450000,22450000,1125201,2024-11-05,Casa Arauco Zona Plateada,836,829,26854.06698564593,27080.82026537997,2023-04-24,434,14,2024-07-03,Casa,Venta,1,4,7,0,7.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-c1d110d122c3-323a-64884321-901b-39cf
10,,22000000,22000000,1102647,2024-11-05,EN VENTA HERMOSA CASA EN ZONA PLATEADA,680,1100,32352.941176470587,20000.0,2023-11-27,216,7,2024-07-03,Casa,Venta,1,3,2,0,2.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-5f000b6c7b3c-ba9a-26059248-8ff4-47c2
