id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,meses_transcurridos,meses_transcurridos_fecha,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,Colonia_Estandarizada,codigo_postal,ubicacion,url,descripcion
1,E1,291684.0,291684.0,14619,2024-11-05,"VENTA DE CASA EN COL. CARLOS ROVIROSA, PACHUCA DE SOTO",130,95.0,2243.723076923077,3070.357894736842,2024-07-21,0,2024-07-30,Casa,Venta,1,3,2,0,2.0,No,,carlos rovirosa,pachuca de soto,hidalgo,carlos rovirosa,42082.0,"Carlos Rovirosa, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-77c1fea19de5-89af-190d762-9523-75a7,CONTACTAME:Lic. Alejandra Martínez Asesor Inmobiliario•	NO SE ACEPTAN CREDITOS DE NINGUN TIPO•	UNICAMENTE RECURSOS PROPIOS•	PAGO EN DOS EXHIBICIONES.•	PROPIEDAD DE RECUPERACIÓN BANCARIA.•	PRECIO POR DEBAJO DEL VALOR COMERCIAL *•	HASTA UNA 3RA PARTE•	TÚ PATRIMONIO EN MANOS DE PROFESIONALES.•	ADQUIERE EL HOGAR DE TUS SUEÑOS. *•	ENTREGA GARANTIZADA ANTE NOTARIO PUBLICO
2,E1,295000.0,295000.0,14785,2024-11-05,EXCELENTE OPORTUNIDAD BONITA CASA UBICADA EN CALLE MOCTEZUMA COL MORELOS MPO PACHUCA DE SOTO HIDALGO,220,190.0,1340.909090909091,1552.6315789473683,2024-06-07,1,2024-07-30,Casa,Venta,1,3,2,1,2.5,No,,san antonio,pachuca de soto,hidalgo,san antonio,42083.0,"San Antonio, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-8073ffcf9b68-9efc-148b1ef8-8cd1-44ce,"¡ ¡ ¡ SE   VENDE   CASA     POR    DEBAJO   DE   SU    VALOR   COMERCIAL ! ! !¡ ¡  RECUPERACION BANCARIA ! !BONITA CASA UBICADA EN CALLE MOCTEZUMA COL MORELOS MPO PACHUCA DE SOTO HIDALGO, EXCELENTE PRECIO $295,000.- RECUPERACIÓN   BANCARIA.- PAGO   SOLO   DE   CONTADO   CON   RECURSOS   PROPIOS.- NO   SE  ACEPTAN    CRÉDITOS   HIPOTECARIOS   ( FOVISSSTE- INFONAVIT).- PUEDES ADQUIRIRLO CON RECURSOS PROPIOS, CRÉDITOS PERSONALES, DE NÓMINA, TARJETA DE CRÉDITO, DÉBITO O TRANSFERENCIA. - PRECIO DISPONIBLE POR TIEMPO LIMITADO.- INVIERTE TU DINERO COMPRANDO RECUPERACIÓN HIPOTECARIA.-LA ENTREGA ES GARANTIZADA.ADQUIERE UNA PROPIEDAD POR DE BAJO  DEL  VALOR COMERCIAL ACTUAL CON PLUSVALIA QUE SE INCREMENTA DÍA - ¡EXCELENTE UBICACIÓN!- ¡EXCELENTES VIAS DE COMUNICACIÓN!- CERCA DE ÁREAS COMERCIALES.- ¡AMPLIO SEVICIO DE TRANSPORTE PÚBLICO! CESIÓN DE DERECHOS ANTE NOTARIO PÚBLICO.*INVERSION GARANTIZADA BAJO CONTRATO.*IMÁGENES ILUSTRATIVAS*.¡CONTÁCTAME PARA MÁS INFORMACIÓN Y AGENDA UNA CITA!CONTACTO: VICTOR MANUEL CORDOVA 	WHATSAPP O LLAMADA: Ver teléfono WhatsappSOMOS UNA EMPRESA CON MAS DE 27 AÑOS DE EXPERIENCIA EN RECUPERACIONES BANCARIAS.BK8835-VMC"
3,E1,363905.0,363905.0,18239,2024-11-05,"Casa en Fracc. Real Toledo a Fase, Pachuca, Hidalgo. *NO CRÉDITOS*",105,120.0,3465.7619047619046,3032.5416666666665,2024-08-15,0,2024-07-30,Casa ,Venta,1,3,2,1,2.5,No,,sendero de los pinos,pachuca de soto,hidalgo,sendero de los pinos,42119.0,"Sendero de los Pinos, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-b154562dc97f-c29c-19139e9-b6a2-75a5,"Excelente oportunidad de inversión. Adquiera esta propiedad a un precio muy por debajo de su valor comercial. Trámites seguros, inversión garantizada por escrito. *NO SE ACEPTAN CRÉDITOS, SÓLO RECURSOS PROPIOS*. Inicie el proceso de adquisición con un pago de $280,000 a la firma del Contrato, liquide al obtener la Cesión de Derechos que le otorga el banco frente a Notario. La entrega física del inmueble se realiza en un período de 6 a 14 meses máximo. Le invito a concertar una cita en las oficinas de nuestro Corporativo en la CDMX o por videollamada para brindarle información detallada acerca del proceso de compra. Manejamos propiedades en todo el país, encontraremos la mejor opción para usted. Informes y citas al teléfono Ver teléfono Whatsapp.*Características aproximadas. El precio puede variar sin previo aviso*"
4,E1,369800.0,369800.0,18534,2024-11-05,CASA EN VENTA DE RECUPERACIÓN BANCARIA EN: TEPEJI DEL RÍO DE OCAMPO HIDALGO/MCRC,93,50.0,3976.3440860215055,7396.0,2024-05-23,2,2024-07-30,Casa ,Venta,1,2,1,0,1.0,No,,ciudad de pachuca,pachuca de soto,hidalgo,arboledas de san javier,42084.0,"Ciudad de Pachuca, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-7fe781fc01a8-3fcd-194a0814-b6ff-4838,"¿BUSCAS INVERTIR?Una casa siempre es una excelente opción para obtener altos rendimientos con bajo riesgo.¿Quieres hacer crecer tu patrimonio?, ¿Cansado de pagar renta?No esperes hasta tu vejez para conseguir casa propia piensa en grande y Atrévete a dar el siguiente paso.Propiedad de recuperación hipotecaria con privilegiada ubicación y servicios cercanos.Esta es una gran oportunidad para invertir en tu próxima propiedad con los mejores precios del ramo inmobiliario.¡NO SE ACEPTAN CRÉDITOS!La adquisición es con recursos propios el precio y la disponibilidad están sujetas a cambios sin previo aviso.MEDIDAS E IMÁGENES ÚNICAMENTE ILUSTRATIVAS Y DE REFERENCIAAgenda una cita o solicita más información comunícate al teléfono: ASESORA; MAYRA CORONATELEFONO: Ver teléfono WhatsappMAIL:    ContactarID 1F97004PRECIO Y DISPONIBILIDAD PUEDE VARIAR, MEDIDAS E IMAGENES ILUSTRATIVAS."
5,E1,415000.0,415000.0,20800,2024-11-05,VENTA DE HERMOSA CASA EN FRACCIONAMIENTO PROVENZA PACHUCA!!!,200,150.0,2075.0,2766.6666666666665,2024-02-15,5,2024-07-30,Casa ,Venta,1,3,3,0,3.0,No,,ciudad de pachuca,pachuca de soto,hidalgo,arboledas de san javier,42084.0,"Ciudad de Pachuca, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-a76bbb155a70-d44f-807e086b-b05b-46b5,"HERMOSA Y LUJOSA CASA EN PRIVADA PROVENZA RECIDENCIAL, CON JARDIN, BALCON, AREASCOMUNES COMO CANCHA DE TENNIS, CON SEGURIDAD, EXCELENTE PLUSVALIA, VIALIDADES CERCANAS COMOBLVRD RAMON G. Y CAMINO REAL DE LA PLATA EXCELENTE OPORTUNIDAD DE INVERSION Y DE ADQUIRIR LA PROPIEDAD DE TUS SUEÑOS A UN VALOR POR DEBAJO DEL COMERCIAL. NO CREDITOS .!!INFORMES Y CITAS!!!"
6,E1,415000.0,415000.0,20800,2024-11-05,Preciosa casa en Fracc. en Pachuca. SOC-,203,185.0,2044.334975369458,2243.243243243244,2024-05-28,2,2024-07-30,Casa ,Venta,1,3,3,1,3.5,No,,ciudad de pachuca,pachuca de soto,hidalgo,arboledas de san javier,42084.0,"Ciudad de Pachuca, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-12ec18dc1be7-d4f-7d508fed-8ca8-4f29,"* ¡¡¡APROVECHA GRAN OPORTUNIDAD DE COMPRAR TU CASA!!! *Preciosa casa en Fracc. en Pachuca. ¡Súper precio!Buena ubicación con alta plusvalía.Cerca del Museo de Miniaturas Castillo de Dragones y del Súpermercado Chino.Blvd. Ramón G. Bonfil , Real de Pachuca y Av. San Carlos como vías principales de acceso.¡Gran oportunidad de inversión!Pago en dos exhibiciones con recursos propios.* NO créditos *Entrega garantizada del inmueble por escrito.INFORMACIÓN Y CITAS:Ver teléfono WhatsappLic. Stephanie Orozco"
7,E1,419770.0,419770.0,21039,2024-11-05,VENTA DE CASA EN PACHUCA,150,150.0,2798.4666666666667,2798.4666666666667,2024-04-26,3,2024-07-30,Casa,Venta,1,3,3,0,3.0,No,,ciudad de pachuca,pachuca de soto,hidalgo,arboledas de san javier,42084.0,"Ciudad de Pachuca, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-f40562a0d9cf-a2d1-ba243681-b5d4-4acb,"Con esta hermosa propiedad tienes una extraordinaria oportunidad de incrementar tu patrimonio; ubicada muy cerca de Plaza 21/20; a tan sólo 5 minutos de IMSS-UMF 20+10; su ubicación le permite acceder a distintos centros comerciales, escuelas, restaurantes y hospitales || La propiedad cuenta con sala, comedor, cocina, 4 recámaras, 3 baño(s) y 3 lugar(es) de estacionamiento || LA COMPRA DEBE SER CON RECURSOS PROPIOS. NO SE ACEPTAN CRÉDITOS. || Gestionamos todos los trámites legales, desde la firma del contrato hasta la entrega de la propiedad. No es necesario que el comprador se involucre o invierta tiempo y dinero || Entrega de 8 a 10 meses garantizada bajo contrato || ¡Contáctanos! Te asesoramos de manera gratuita, en línea o corporativo."
8,E1,419770.0,419770.0,21039,2024-11-05,HERMOSA CASA EN FRACCIONAMIENTO EN PROVENZA PACHUCA,200,150.0,2098.85,2798.4666666666667,2023-11-28,8,2024-07-30,Casa ,Venta,1,3,3,0,3.0,No,,ciudad de pachuca,pachuca de soto,hidalgo,arboledas de san javier,42084.0,"Ciudad de Pachuca, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-3d6b0b8e6441-b72d-44f75bbd-ac38-4260,"HERMOSA Y LUJOSA CASA EN PRIVADA PROVENZA RECIDENCIAL, CON JARDIN, BALCON, AREASCOMUNES COMO CANCHA DE TENNIS, CON SEGURIDAD, EXCELENTE PLUSVALIA, VIALIDADES CERCANAS COMOBLVRD RAMON G. Y CAMINO REAL DE LA PLATA EXCELENTE OPORTUNIDAD DE INVERSION Y DE ADQUIRIR LA PROPIEDAD DE TUS SUEÑOS A UN VALOR POR DEBAJO DEL COMERCIAL. NO CREDITOS INFORMES Y CITAS 55,83,96,70,30"
9,E1,431000.0,431000.0,21602,2024-11-05,VENTA MARAVILLOSA CASA EN REAL TOLEDO PACHUCA,120,140.0,3591.6666666666665,3078.5714285714284,2024-08-15,0,2024-07-30,Casa,Venta,1,3,1,1,1.5,No,,ciudad de pachuca,pachuca de soto,hidalgo,arboledas de san javier,42084.0,"Ciudad de Pachuca, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-83305dc7f9a5-619b-19148b4-b40f-79e6,"¿QUIERES DEJAR DE MALGASTAR TU DINERO EN RENTAS E INVERTIR EN UNA PROPIEDAD?¿DESEAS INICIAR UN NEGOCIO, PERO NO SABES POR DÓNDE COMENZAR Y REQUIERES LA AYUDA DE PROFESIONALES? DEJA DE SOÑAR, Y HAZLO REALIDAD.CUENTA CON DIVERSAS AMENIDADES, COMO SON: ÁREAS VERDES, ÁREA DE JUEGOS, CASETA Y VIGILANCIA 24/7. LA PROPIEDAD CUENTA CON: 3 HABITACIONES, 1.5 BAÑOS, 2 LUGARES DE ESTACIONAMIENTO, SALA-COMEDOR Y COCINA. CERCA DE DIVERSOS SERVICIOS, COMO SON: HOSPITALES, HOTELES, PARQUES, RESTAURANTES, ESCUELAS, ÁREAS DE ESPARCIMIENTO, GASOLINERIAS Y TIENDAS DE CONVENIENCIA. A SOLO 5 MIN. DE PLAZA TOLEDO Y 5 MIN. FORO BLACK ROOM. CON AVENIDAS PRINCIPALES, COMO SON: AV. LA PRINCIPAL, AV. LAS TORRES Y AUTOPISTA MÉXICO-PACHUCA.Es una gran opción para adquirir un Patrimonio muy asequible, y brindar a tu familia el confort y calidad de vida que siempre has deseado, todo ello, por un monto mucho menor a su valor comercial. RECUPERACIÓN BANCARIA// FIRMA DE CESIÓN DE DERECHOS ANTE NOTARIO// ENTREGA GARANTIZADA BAJO CONTRATO//  ASESORÍA SIN COSTO AL TELEFÓNO Ver teléfono Whatsapp."
10,E1,431000.0,431000.0,21602,2024-11-05,VENTA MARAVILLOSA CASA EN REAL TOLEDO PACHUCA,120,140.0,3591.6666666666665,3078.5714285714284,2024-08-15,0,2024-07-30,Casa,Venta,1,3,1,1,1.5,No,,ciudad de pachuca,pachuca de soto,hidalgo,arboledas de san javier,42084.0,"Ciudad de Pachuca, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-3cbebca313a3-aa40-19148b9-aeaa-7af5,"¿QUIERES DEJAR DE MALGASTAR TU DINERO EN RENTAS E INVERTIR EN UNA PROPIEDAD?¿DESEAS INICIAR UN NEGOCIO, PERO NO SABES POR DÓNDE COMENZAR Y REQUIERES LA AYUDA DE PROFESIONALES? DEJA DE SOÑAR, Y HAZLO REALIDAD.CUENTA CON DIVERSAS AMENIDADES, COMO SON: ÁREAS VERDES, ÁREA DE JUEGOS, CASETA Y VIGILANCIA 24/7. LA PROPIEDAD CUENTA CON: 3 HABITACIONES, 1.5 BAÑOS, 2 LUGARES DE ESTACIONAMIENTO, SALA-COMEDOR Y COCINA. CERCA DE DIVERSOS SERVICIOS, COMO SON: HOSPITALES, HOTELES, PARQUES, RESTAURANTES, ESCUELAS, ÁREAS DE ESPARCIMIENTO, GASOLINERIAS Y TIENDAS DE CONVENIENCIA. A SOLO 5 MIN. DE PLAZA TOLEDO Y 5 MIN. FORO BLACK ROOM. CON AVENIDAS PRINCIPALES, COMO SON: AV. LA PRINCIPAL, AV. LAS TORRES Y AUTOPISTA MÉXICO-PACHUCA.Es una gran opción para adquirir un Patrimonio muy asequible, y brindar a tu familia el confort y calidad de vida que siempre has deseado, todo ello, por un monto mucho menor a su valor comercial. RECUPERACIÓN BANCARIA// FIRMA DE CESIÓN DE DERECHOS ANTE NOTARIO// ENTREGA GARANTIZADA BAJO CONTRATO//  ASESORÍA SIN COSTO AL TELEFÓNO Ver teléfono Whatsapp."
