id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,Colonia_Estandarizada,codigo_postal,ubicacion,url,descripcion
1,A1,3260000,3260000,163392,2024-11-05,casa con habitacia3n planta baja y barra de bar en roof garden,120,326,27166.666666666668,10000.0,2024-01-30,155,5,2024-07-05,Casa,Venta,2,4,4,0,4.0,No,,ampl martires del 18 de agosto,pachuca de soto,hidalgo,ampliacion martires del 18 de agosto,42039.0,ampl martires del 18 de agosto pachuca de soto hidalgo,https://www.lamudi.com.mx//detalle/41032-73-5739fa843519-f4a5-cda9a8d8-b976-371e,increable propiedad ubicada en fraccionamiento residencial e sur a un costado de plaza explanada con servicios y transporte a pie de carretera la casa cuenta con una excelente distribucia3n y acabado te invito a entrar a mi link de tik tok contactardistribucia3nterreno 120 mt2 construccia3n 232 mt2 planta bajasalacomedorcocina equipadaapatio traseroaestudio o recamara con baao completoprimer nivel2 recamaras con closetobaao completoarecax0081mara principal con baao completo yvestidorso segundo nivelarea de lavadoa baao competov roof garden c barra de baragenda tu cita para conocer tu nuevo hogar easybroker id ebpj0248
2,S1,4500000,4500000,225541,2024-11-05,venta de casa ant carr pachuca r del monte cerca prepa 4 pachuca hgo,410,410,10975.60975609756,10975.60975609756,2023-06-16,384,12,2024-07-05,Casa,Venta,2,3,7,0,7.0,No,,anahuac,pachuca de soto,hidalgo,anahuac,42055.0,anahuac pachuca de soto hidalgo,https://www.lamudi.com.mx//detalle/41032-73-ec83d0cd7af0-a8f5-456c3fb8-af0c-38b5,venta de casa en obra blanca muy bien contruida super reforzadaa ubicada sobre la antigua carretera pachucareal del monte a la altura de la preparatoria 4 col anahuac 42079 pachuca hgo parte norte del municipio cerca a tiendas de conveniencia comercio tradicionala  cerca al corredor de la montaaa transporte local continuo foraneo para la regian de la huasteca escuelas publicas y privadasla construccion es de 410 mts y se se integra de lo siguiente bardas perimetrales zaguan estacionamiento para 6 automoviles con cuarto de almacen 7 baaos con escaleras para ingresar a la vivienda cuenta con una fuente dos escaleras de ingreso tres recamaras cocina sala comedor terraza 2 salones de fiestapalapa gimnasio estudio oficina independiente en la entrada y cisterna de 10000 litros sobre un terreno de 450 mts aplica para contado 
3,D2,1300000,1300000,65156,2024-11-05,casa en venta en aquiles serdax0081n cerca del centro de pachuca,80,140,16250.0,9285.714285714286,2024-02-04,151,5,2024-07-05,Casa,Venta,2,3,1,0,1.0,No,,aquiles serdan,pachuca de soto,hidalgo,aquiles serdan,42034.0,aquiles serdan pachuca de soto hidalgo,https://www.lamudi.com.mx//detalle/41032-73-a9570dac02cf-e2d-83f8c91a-94dc-4314,y ubicada en colonia aquiles serdan pachuca hgoazi x008f a 10 min del centro de pachucaubicacia3n estratagica dentro de la ciudad facil desplazamiento a diferentes puntos y2130000000 mas gastos de escriturasazi x008f caracterasticasai x008f 2 niveles construidosyx0090 80ma2 terrenoyx008f  140ma2 construccia3na yi x008f sala a yx008d12i x008f comedora yyx008fax008dyx008d3 cocinaa ys 15 baaosa yx008fi x008f 3 recamarasa y1 patio de servicioa ys 1 estacionamiento yx008daceptamostodos los craditoscontado citas y2 ver telafono whatsappy2 whatsapp
4,E2,660000,660000,33079,2024-11-05,venta de departamento en aquiles serdan pachuca hidalgo,54,54,12222.222222222224,12222.222222222224,2024-03-04,121,4,2024-07-05,Departamento,Venta,2,2,1,0,1.0,No,,aquiles serdan,pachuca de soto,hidalgo,aquiles serdan,42034.0,aquiles serdan pachuca de soto hidalgo,https://www.lamudi.com.mx//detalle/41032-73-cbc8f7ef7133-ce69-9853d4ad-a2bf-4e4b,gran oportunidad de comprapropiedad con 30 de bajo de su valor comercial departamento ya adjudicado entrega de 68 meses todo bajo propios recursos mostramos documentacianprestacian de servicios para la entrega fisica de la propiedad seguimiento transparente con el clientecontactanos y conoce las garantias que te ofrecemos
5,E2,500000,500000,25060,2024-11-05,fracc aquiles serdan venta de departamento pachuca hidalgo,54,54,9259.25925925926,9259.25925925926,2024-01-15,170,5,2024-07-05,Departamento,Venta,2,2,1,0,1.0,No,,aquiles serdan,pachuca de soto,hidalgo,aquiles serdan,42034.0,aquiles serdan pachuca de soto hidalgo,https://www.lamudi.com.mx//detalle/41032-73-98300d62f42b-9b48-6d09a6eb-8c8c-35f5,54 de construccia3nventa bonita y acogedor departamento cuenta con una excelente distribucia3n que consta deestancia comedor 2 recamaras cocina patio de servicio 1 baao y le corresponde un estacionamiento 1cuenta con una excelente ubicacia3n cerca de tiendas locales escuelas parques tiendas de autoservicio ademas a un costado de la ffcc maxicopachucahaz tu mejor oferta sobre el valor de venta y ca3mpralo a un super precio solamente al contado sin apartados sin anticipos sin enganches los inmuebles estan sujetos a cambio de precio sin previo aviso todo el proceso ante notario paoblico no se aceptan pagos en laneatenemos inmuebles a cradito o de contado a nivel nacional listos para su adquisicia3n easybroker id ebnz5386
6,,3500000,3500000,175421,2024-11-05,venta casa punta poniente 3niv 4rec con baao cu frente arboledas de san javier,128,214,27343.75,16355.140186915887,2023-04-24,436,14,2024-07-05,Casa En Fraccionamiento,Venta,2,4,5,0,5.0,No,barrio,cruz del cerrito,pachuca de soto,hidalgo,cruz del cerrito,42039.0,barrio cruz del cerrito pachuca de soto hidalgo,https://www.lamudi.com.mx//detalle/41032-73-e03cd64dc982-a2d4-1bf84c5e-bf4a-3138,magnifica casa en venta frente a area verdepunta poniente a fraccionamiento residencial al norte de pachuca salida actopan frente al fraccionamiento arboledas de san javiera terreno 128m2a construccia3n 214m2a  primer nivela cocina integral equipada con vista al jardax008dnsalacomedormedio baaocuarto de usos masltiplesjardin interiorentrada para 2 autos segundo nivelrecamara principal con vestidor y baao completo2a recamara con closet y baao completo3a recamara con closet y baao completo tercer nivel4a recamara con closet y baao completoroof garden amenidadesareas verdes con juegos infantiles
7,B3,3200000,3200000,160385,2024-11-05,preciosa casa al poniente,128,205,25000.0,15609.756097560976,2023-04-24,436,14,2024-07-05,Casa En Fraccionamiento,Venta,2,4,5,0,5.0,No,barrio,cruz del cerrito,pachuca de soto,hidalgo,cruz del cerrito,42039.0,barrio cruz del cerrito pachuca de soto hidalgo,https://www.lamudi.com.mx//detalle/41032-73-e9c9bd34af7e-9a8e-34dc5e32-acad-32d4,venta a punta poniente residencialterreno 128m2a construccia3n 20530pbsalacomedorcocina integral equipadaa a12 baaoax0081rea de servicioa jardan frontal y traseroa estacionamiento 2 autos1er nivela dormitorio principal con baao completo y vestidor2 dormitorios jr con cla3set a baao completo cada una2do nivela dormitorio con cla3set y baao completoa ax0081rea de lavadoa terrazaroof gardena vigilanciaax0081reas verdescanchasexcelente ubicacia3na finos acabadosa equipada a cla3sets cocina integral a canceles de baaoa monto de inversian 3200000
8,E3,850000,850000,42602,2024-11-05,casa en venta cerca del centro de pachuca,105,68,8095.238095238095,12500.0,2023-04-24,436,14,2024-07-05,Casa,Venta,2,2,1,0,1.0,No,barrio,cruz del cerrito,pachuca de soto,hidalgo,cruz del cerrito,42039.0,barrio cruz del cerrito pachuca de soto hidalgo,https://www.lamudi.com.mx//detalle/41032-73-42246873e68c-89d8-a2c2a715-8bdd-3b5f,ubicada a 7 minutos del centro de pachuca hidalgofraccionamiento palestina 85000000 mas gastos de escritura105 ma2 de superficie de terreno 68 ma2 de superficie de construccia3n 1 nivel construido  sala  comedor  cocina  2 recamaras  1 baao completo patio de sericio  1 garageaceptamos todos los craditos  contados
9,,1500000,1500000,75180,2024-11-05,se vende casa en barrio la palma pachuca hidalgo,193,193,7772.020725388601,7772.020725388601,2023-10-24,251,8,2024-07-05,Casa,Venta,2,3,2,0,2.0,No,barrio,la palma,pachuca de soto,hidalgo,la palma,42010.0,barrio la palma pachuca de soto hidalgo,https://www.lamudi.com.mx//detalle/41032-73-49b73301ab88-237b-c089b527-a450-3809,178m2 de terreno193 m2 de construccia3n de casa28m2 de construccia3n de localplanta bajacocina integralsalacomedordespachomedio baaocovachaasador local cisterna 8000ltsgarage para tres autosplanta alta3 recamaras con closets1baao completosala de tvdel lado del local cuarto de servicio bolier
10,C3,2433622,2433622,121974,2024-11-05,casa en venta en blv san francisco pachuca de soto acompra esta propiedad mediante cesia3n de derechos e incrementa tu patrimonio acontactame te digo ca3mo hacerlo,600,450,4056.036666666667,5408.0488888888885,2024-01-16,169,5,2024-07-05,Casa,Venta,2,2,1,0,1.0,No,,boulevares de san francisco,pachuca de soto,hidalgo,boulevares de san francisco,42078.0,boulevares de san francisco pachuca de soto hidalgo,https://www.lamudi.com.mx//detalle/41032-73-985ac667df01-5411-bb9305ea-ab90-4999,si buscas hacer una buena inversia3n un inmueble en garantaa es una buena opcia3n para obtener ganancias significativas comprar propiedades mediante cesia3n de derechos te garantiza adquirirla a un precio por debajo de su valor comercialtoma en cuenta que en este tipo de inversiones no se aceptan craditos bancarios ni de infonavit solo recursos propios la entrega no es inmediata pero se garantiza por contrato no puedes ver la propiedad por dentro la firma de cesia3n de derechos es ante notario en inverinmobi te asesoramos somos expertos en el temaaprovecha la oportunidad de adquirir este inmueble en un precio de remate con la mayor seguridad allamanos para agendar tu cita y brindarte asesoraa juradica y profesional sin costo
