id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,Colonia_Estandarizada,codigo_postal,ubicacion,url,descripcion
1,E1,280000.0,280000.0,14034,2024-11-05,Venta de Departamento en Puebla de zaragoza,70,70,4000.0,4000.0,2024-07-09,149,4,2024-12-08,Casa,Venta,1,2,1,0,1.0,No,,las hadas mundial 86,puebla,puebla,las hadas mundial 86,72070.0,"Las Hadas Mundial 86, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-b1cc2f1ff826-8436-f6addaeb-90ae-41bc,en iserc nuestro compromiso es que compren una vivienda a buen precio y de forma veloz por lo que ofrecemos la garantia de firma de cesion en notaria en no mas de 30 dias acompanamiento hasta la entrega de llaves solo aceptamos recursos propios no creditosla entrega puede demorar hasta 6 meses mas de 500 clientes satisfechos en toda la republica nos respaldan compra tu vivienda con una empresa responsable y sobre todo segura compra en iserc
2,E1,323656.0,323656.0,16222,2024-11-05,HERMOSA CASA EN LOS HEROES DE PUEBLA !!!,70,90,4623.657142857143,3596.177777777778,2024-12-08,0,0,2024-12-08,Casa,Venta,2,2,1,1,1.5,No,,heroes de puebla,puebla,puebla,heroes de puebla,72520.0,"Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-308821acab94-7040-190d879-bdf9-79e6,excelente casa  con la mejor ubicacion a 10 min de angelopolis buena plusvalia con escuelas y plazas cercanas en una zona muy tranquila y seguraimportantes vias de acceso principales como perifericoinformes y citas azul linares  ver telefono whatsappno se aceptan creditospago de contado en 2 exhibiciones con recursos propiosprecio debajo del 50 del valor comercialinformes asesor de ventas azul linarestelefono whatsappwhatsapp whatsappexcelente oportunidadrecuperacion hipotecaria
3,E1,325000.0,325000.0,16289,2024-11-05,CASA EN VENTA ARCO TORAL SAN JOSE MAYORAZGO PUEBLA,85,100,3823.529411764706,3250.0,2024-05-09,209,6,2024-12-08,Casa,Venta,2,3,1,1,1.5,No,,san jose mayorazgo,puebla,puebla,san jose mayorazgo,72450.0,"San José Mayorazgo, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-aedf2c941784-f756-d211d1e6-853c-41b7,casa en venta la oportunidad de adquirir un inmueble a un costo inmejorable y con gran plusvalia y ubicacion a un bajo costo  con un muy bue y comodo espacio para disfrutar con la familia e inclusive mascota en una inmejorable zona y con muy buenas vias de comunicacion excelente para agrandar su patrimonio familiar con un bien inmueble 
4,E1,325000.0,325000.0,16289,2024-11-05,BELLISIMA CASA EN MAYORAZGO PUEBLA,85,100,3823.529411764706,3250.0,2024-03-26,252,8,2024-12-08,Casa,Venta,2,3,1,1,1.5,No,,ex-hacienda mayorazgo,puebla,puebla,ex-hacienda mayorazgo,72480.0,"Ex-Hacienda Mayorazgo, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-1ddd6479b4e3-80ac-1d7d80df-a9d8-46a2,bellisima casa en mayorazgo pueblacasa de recuperacion bancaria ideal para hacer crecer tu patrimonio con una ubicacion estrategica y un precio irresistibleesta propiedad es la clave para alcanzar tus metas financierasaprovecha esta oportunidad y haz realidad tu sueno de tener tu propio hogar
5,E1,338000.0,338000.0,16941,2024-11-05,CASA EN PUEBLA MUY LINDA CON JARDIN!!,800,417,422.5,810.5515587529976,2024-04-05,243,8,2024-12-08,Casa,Venta,2,4,3,1,3.5,No,,la calera,puebla,puebla,la calera,72520.0,"La Calera, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-4f0cc2d6f66e-66ec-e29d965a-8ec0-4759, excelente oportunidad de inversionbonita casa en colonia bosques de calera muy amplia y linda agradable zona y tranquila todos los servicios indispensables cerca como lo son escuelas hospitales tiendas de conveniencia etc gran opcion para inversion y elevar tu patrimoniomuy cerca de parque ecologico y a 20 minutos del centro de pueblasin creditosrecuperacion bancariacontactameana gilver telefono whatsapp
6,E1,344966.0,344966.0,17290,2024-11-05,"Casa en venta en Privada Sinaloa , El Carmen Puebla Puebla                    LPPA",220,200,1568.0272727272727,1724.83,2024-03-03,275,9,2024-12-08,Casa,Venta,2,3,2,0,2.0,No,,el carmen,puebla,puebla,el carmen,72530.0,"El Carmen, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-5c75ce397071-c685-75b5e34f-b6af-44be,gran oportunidad es momento de adquirir tu patrimoniocasa por debajo de su valor comercial con excelente ubicacionprecio especial por tiempo limitadotramite facil seguro y sencillosomos expertos en nuestro ramounicamente recursos propioscontactame y agenda tu cita hoy mismoayudarte es mi pasionlaura hurtadoasesor inmobiliariotelwhatsapp ver telefono whatsapp
7,E1,353600.0,353600.0,17723,2024-11-05,"VENTA CASA DE RECUPERACION (Remate) en Col. Santa María, PUEBLA",110,110,3214.5454545454545,3214.5454545454545,2024-07-02,156,5,2024-12-08,Casa,Venta,2,2,1,0,1.0,No,,santa maria,puebla,puebla,santa maria,72080.0,"Santa María, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-f6071e8676e7-5a69-239adb3e-a128-47fd,gran oportunidad para invertir a precio por debajo de su valor comercialadquiere este inmueble de recuperacion de cartera vencida de creditos hipotecarios a traves de cesion de derechos ante notario publicosomos una empresa con experiencia en recuperaciones de cartera vencidapago solo con recursos propios no se aceptan creditosno son de entrega inmediatainversion garantizada bajo contratodisponibilidad y precios sujetos a cambio sin previo avisocaracteristicas aproximadas imagenes ilustrativascontactame para mayor informacion y agenda una citaaraceli gilver telefono whatsappcontactarid 58028
8,E1,356000.0,356000.0,17843,2024-11-05,Casa en San Isidro Puebla,80,80,4450.0,4450.0,2024-06-13,175,5,2024-12-08,Casa,Venta,2,3,1,1,1.5,No,,puebla,puebla,puebla,puebla,72270.0,"Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-889e72994390-6c1b-a7326144-9813-434d,excelente inversion compra una recuperacion bancaria desde el 60 de su valor real no pagues un credito toda tu vidala compra es unicamente con recursos propios mediante una transferencia y o deposito no creditospara mayor informacion agenda tu cita enviame whatsapp
9,E1,356000.0,356000.0,17843,2024-11-05,Hermosa casa de recuperación bancaria en excelente y confortable zona,80,80,4450.0,4450.0,2024-07-08,150,5,2024-12-08,Casa,Venta,1,3,1,1,1.5,No,,santa barbara,puebla,puebla,santa barbara,72013.0,"Santa Bárbara, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-2648101a5d89-ecc3-ab1100bf-8df7-41bd,excelente oportunidad de inversionventa de casa en zona de alta plusvalia  pueblainmueble de recuperacion bancaria solo recursos propiosno aceptamos creditosadquiere a traves de cesion de derechos ante notario publico y con entrega programadainmejorable ubicacion y oportunidadhaz crecer tu patrimonio de forma segura con esta excelente oportunidadcontamos con mas inmuebles disponibles con la oportunidad de ajustarnos a tu presupuestoexcelente inversion inmobiliaria con gran plusvaliaprecios debajo de su valor desde un 30 hasta un 70contamos con mas ubicacionespropiedad de entrega inmediata para mayor informacion agenda una citamanda mensaje por este medio o via whatsapp ver telefono whatsapp con el lic andre vargasla informacion y graficos contenidos en este anuncio son de caracter informativo e ilustrativo por lo que deberan ser convalidadas directamente por mi casa sii se libera a mi casa sii a sus empleados directivos accionistas y filiales de cualquier responsabilidad que pudiera generarse por la falta de convalidacion de la informacion renunciando con ello a cualquier reclamacion o accion de cualquier indole
10,E1,356000.0,356000.0,17843,2024-11-05,VENTA DE CASA EN PUBLA,80,80,4450.0,4450.0,2024-07-17,141,4,2024-12-08,Casa,Venta,2,3,1,1,1.5,No,,san isidro castillotla,puebla,puebla,san isidro castillotla,72498.0,"San Isidro Castillotla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-e0c2ac4d99aa-7e8e-190c324-ab84-77c7,venta de casa en publainmueble de recuperacion bancaria cartera vencidasolo recursos propiosno aceptamos creditosadquiere a traves de cesion de derechos ante notario publico y con entrega programadainmejorable ubicacion y oportunidadlic lilianacel ver telefono whatsappdireccion santa clara heroica puebla de zaragoza puebla pueblahaz crecer tu patrimonio de forma segura con esta excelente oportunidadcontamos con mas inmuebles disponibles con la oportunidad de ajustarnos a tu presupuestoexcelente inversion inmobiliaria con gran plusvaliaprecios debajo de su valor desde un 30 hasta un 70contamos con mas ubicacionespropiedad de entrega inmediata para mayor informacion agenda una citatel whatsappla informacion y graficos contenidos en este anuncio son de caracter informativo e ilustrativo por lo que deberan ser convalidadas directamente por mi casa sii se libera a mi casa sii a sus empleados directivos accionistas y filiales de cualquier responsabilidad que pudiera generarse por la falta de convalidacion de la informacion renunciando con ello a cualquier reclamacion o accion de cualquier indole
