id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,meses_transcurridos,meses_transcurridos_fecha,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,CP,ubicacion,url,descripcion
1,E1,280000,280000,15575,2024-10-02,SE VENDE CASA TIM 662659,47,47,5957.446808510638,5957.446808510638,2023-04-20,16,2024-09-01,Casa,Venta,2,2,1,0,1.0,No,,Puebla Centro,Puebla,Puebla,0,"Puebla Centro, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-3424da1b547-a78f-22871056-a8c9-306b,se trata de una casa de interes social en planta alta que consta de estancia cocina  dos recamaras un bano patio de servicio y un espacio para estacionamiento  si te interesa este inmueble favor de poner tu correo electronico o envia correo con el inmueble de tu interes a contactar para poder contactarte no se envia informacion por whats app llama al ver telefono no se acepta ningun tipo de credito inmueble invadido escritura en tramite
2,E1,280000,280000,15575,2024-10-02,Venta de Departamento en Puebla de zaragoza,70,70,4000.0,4000.0,2024-07-09,1,2024-09-01,Casa,Venta,1,2,1,0,1.0,No,,Las Hadas Mundial 86,Puebla,Puebla,0,"Las Hadas Mundial 86, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-b1cc2f1ff826-8436-f6addaeb-90ae-41bc,en iserc nuestro compromiso es que compren una vivienda a buen precio y de forma veloz por lo que ofrecemos la garantia de firma de cesion en notaria en no mas de 30 dias acompanamiento hasta la entrega de llaves solo aceptamos recursos propios no creditosla entrega puede demorar hasta 6 meses mas de 500 clientes satisfechos en toda la republica nos respaldan compra tu vivienda con una empresa responsable y sobre todo segura compra en iserc
3,E1,325000,325000,18078,2024-10-02,CASA EN VENTA ARCO TORAL SAN JOSE MAYORAZGO PUEBLA,85,100,3823.529411764706,3250.0,2024-05-09,3,2024-09-01,Casa,Venta,2,3,1,1,1.5,No,,San Jose Mayorazgo,Puebla,Puebla,0,"San José Mayorazgo, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-aedf2c941784-f756-d211d1e6-853c-41b7,casa en venta la oportunidad de adquirir un inmueble a un costo inmejorable y con gran plusvalia y ubicacion a un bajo costo  con un muy bue y comodo espacio para disfrutar con la familia e inclusive mascota en una inmejorable zona y con muy buenas vias de comunicacion excelente para agrandar su patrimonio familiar con un bien inmueble 
4,E1,334608,334608,18613,2024-10-02,PRECIOSA CASA EN VENTA,100,100,3346.08,3346.08,2023-10-17,10,2024-09-01,Casa,Venta,2,3,1,1,1.5,No,,Puebla Centro,Puebla,Puebla,0,"Puebla Centro, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-9b5ea442dedf-6b51-5b9c602e-99c6-41a9,excelente oportunidad para invertir en tu patrimonioprecio increible casa de 100m2 en excelente zona d epueblaentrega en 1 a 3 mesesno se aceptan creditos
5,E1,344966,344966,19189,2024-10-02,"Casa en venta en Privada Sinaloa , El Carmen Puebla Puebla                    LPPA",220,200,1568.0272727272727,1724.83,2024-03-03,5,2024-09-01,Casa,Venta,2,3,2,0,2.0,No,,El Carmen,Puebla,Puebla,0,"El Carmen, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-5c75ce397071-c685-75b5e34f-b6af-44be,gran oportunidad es momento de adquirir tu patrimoniocasa por debajo de su valor comercial con excelente ubicacionprecio especial por tiempo limitadotramite facil seguro y sencillosomos expertos en nuestro ramounicamente recursos propioscontactame y agenda tu cita hoy mismoayudarte es mi pasionlaura hurtadoasesor inmobiliariotelwhatsapp ver telefono whatsapp
6,E1,359000,359000,19969,2024-10-02,VENTA DE CASA EN PUEBLA COL LA LOMA,315,600,1139.6825396825398,598.3333333333334,2024-12-08,-3,2024-09-01,Casa,Venta,2,5,4,0,4.0,No,,La Loma,Puebla,Puebla,0,"La Loma, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-26f917d3aa92-6e9-1912e5c-97a5-77c8,excelente oportunidad de adquirir hermosa casala distribucion es sala comedor cocina5 recamaras amplias 4 banos 1 lugar de estacionamiento cuarto de lavadoexcelente ubicacion   cerca de centros comerciales universidades escuelas hospitales clinicas cafeterias tiendas de auto servicio bancos y parques
7,E1,365000,365000,20303,2024-10-02,"APROVECHA, Bonita Casa cerca de la BUAP, APARTALA YA!!! OAHM",140,260,2607.1428571428573,1403.8461538461538,2023-06-09,14,2024-09-01,Casa,Venta,2,4,2,0,2.0,No,,El Cerrito,Puebla,Puebla,0,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-3a34fe44a25e-3490-37f9cbee-9228-4548,que no te ganen excelente oportunidadbonita casa en venta excelente ubicacionsin creditos pago en dos exhibicionesfirma de cesion de derechos ante notario publicoinversion garantizadaasesoria gratuita en nuestro corporativoagenda tu cita lo antes posibleal ver telefono whatsapposcar hernandez asesor inmobiliariotambien contesto whats
8,E1,365000,365000,20303,2024-10-02,Casa En Guerrero Col. El Cerrito Puebla **OPORTUNIDAD JHRE**,160,298,2281.25,1224.8322147651006,2023-06-16,14,2024-09-01,Casa,Venta,2,3,2,1,2.5,No,,El Cerrito,Puebla,Puebla,0,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-bcd23d0cc1f2-a5f0-2a62b82f-ae26-4ee5,aviso urgente oportunidad de ahorroexcelente zona para vivir o invertirno lo pienses mas agenda tu cita nosotros te ayudamos y explicamos como adquirir una casa o departamentocon un precio de descuento por tiempo limitadopagando solo con recursos propios y sin creditoapartala con un primer pago de 290000que no te la ganen entrega garantizada contamos con mas de 10 anos de experienciatramite facil y seguro ante notariocontacta a tu asesor humberto rosales e tel ver telefono whatsapp tambien contesto whatsapp
9,E1,372608,372608,20726,2024-10-02,VENTA DE CASA EN COLONIA CERRITOS EN PUEBLA PUEBLA,210,210,1774.3238095238096,1774.3238095238096,2023-10-23,10,2024-09-01,Casa,Venta,2,3,2,1,2.5,No,,El Cerrito,Puebla,Puebla,0,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-b12dab11c5cb-8657-f936ad91-b228-46a7,unica oportunidad de aquirir hermosa casa en zona de alta plusvalia el inmueble cuenta con tres recamaras amplias con closets sala comedor  cocina equipada  2 y medio banos  estacionamientolugar para mascotas acceso por vias principales  cerca de escuelas  parques  farmacias  clinicas  areas verdes un lugar ideal para disfrutar con la famili a y los amigos  ven acercate a interseim y logra concretar tus suenos  no esperes mas 
10,E1,372608,372608,20726,2024-10-02,"¡¡EXCELENTE OPORTUNIDAD DE INVERSIÒN!! HERMOSA CASA EN VENTA. EL CERRITO, PUEBLA PUEBLA",120,210,3105.0666666666666,1774.3238095238096,2023-09-29,11,2024-09-01,Casa,Venta,2,3,2,1,2.5,No,,El Cerrito,Puebla,Puebla,0,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-db4398a375b1-c58f-ae00796d-b2d5-4e79,elegante casa de 210m2 con una excelente ubicacion y plusvalia3 recamarascocinasalacomedor2 banos completos1 medio banojardinestacionamientocentros comerciales escuelas parques avenidas principales
