id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,ubicacion,url
1,E1,280000,280000,15575,2024-10-04,BOSQUES DEL PILAR PUEBLA,100,74,2800.0,3783.783783783784,2023-11-07,105,3,2024-02-22,Casa,Venta,2,2,1,0,1.0,No,,Puebla Centro,,,"Puebla Centro, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-93c08fc5be5d-5123-c0d80b03-a6e8-3988
2,E1,315000,315000,17522,2024-10-04,VENTA DE CASA EN PLAZAS AMALUCAN-PBLA,140,230,2250.0,1369.5652173913045,2023-04-28,295,9,2024-02-22,Casa,Venta,2,4,1,0,1.0,No,,Plazas Amalucan,,,"Plazas Amalucan, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-8e8a086fed30-4914-61159f0f-a1af-3239
3,E1,315000,315000,17522,2024-10-04,"Venta de CASA en Plazas Amalucan, Puebla",140,230,2250.0,1369.5652173913045,2023-04-28,295,9,2024-02-22,Casa,Venta,2,4,1,0,1.0,No,,Plazas Amalucan,,,"Plazas Amalucan, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-dde5e886a573-2408-a407f7e2-aa58-3ed0
4,E1,315000,315000,17522,2024-10-04,"HERMOSA CASA EN REMATE, PLAZA AMALUCAN, PUEBLA DE ZARAGOZA, PUEBLA",160,230,1968.75,1369.5652173913045,2023-11-19,93,3,2024-02-22,Casa,Venta,2,4,2,0,2.0,No,,Plazas Amalucan,,,"Plazas Amalucan, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-2799453da268-bfc7-e435b31c-825c-4ec4
5,E1,320000,320000,17800,2024-10-04,LINDA CASA EN PUEBLA,150,200,2133.333333333333,1600.0,2023-05-02,290,9,2024-02-22,Casa,Venta,2,3,2,0,2.0,No,Fraccionamiento,Heroes de Puebla,,,"Fraccionamiento Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-f131c6c2d739-6a15-4910eeb6-8329-4f1d
6,E1,320000,320000,17800,2024-10-04,LINDA CASA EN PUEBLA,150,200,2133.333333333333,1600.0,2023-05-02,290,9,2024-02-22,Casa,Venta,2,3,2,0,2.0,No,Fraccionamiento,Heroes de Puebla,,,"Fraccionamiento Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-c2ca87c3d23-77ce-5056262f-b042-441e
7,E1,320000,320000,17800,2024-10-04,VENTA DE CASA EN LOS HEROES PUEBLA,153,201,2091.503267973856,1592.039800995025,2023-11-08,104,3,2024-02-22,Casa,Venta,2,3,2,0,2.0,No,Fraccionamiento,Heroes de Puebla,,,"Fraccionamiento Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-460d9e8e2b0b-b7e7-e60bc21a-83e6-4659
8,E1,320000,320000,17800,2024-10-04,"OPORTUNIDAD DE INVERSION, VENTA DE CASA EN PUEBLA",153,201,2091.503267973856,1592.039800995025,2023-10-27,116,3,2024-02-22,Casa,Venta,2,3,2,0,2.0,No,Fraccionamiento,Heroes de Puebla,,,"Fraccionamiento Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-ec8da9cbbe16-a616-9d7debb3-863c-4388
9,E1,323656,323656,18003,2024-10-04,CASA EN LOS HEROES DE PUEBLA !!!!,90,70,3596.177777777778,4623.657142857143,2023-09-22,150,5,2024-02-22,Casa,Venta,2,2,1,0,1.0,No,,Los Heroes de Puebla,,,"Los Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-d30b2fe89da6-15e0-70c1f67f-a38a-445f
10,E1,324900,324900,18073,2024-10-04,"GRAN OPORTUNIDAD, Hermosa Casa en Plazas Amalucan!!! OAHM",150,210,2166.0,1547.142857142857,2023-06-08,254,8,2024-02-22,Casa,Venta,2,3,2,0,2.0,No,,Plazas Amalucan,,,"Plazas Amalucan, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-95ead0bd954d-2f35-1968984d-b1b5-4c9d
