id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,ubicacion,url
1,E1,260000.0,260000.0,14462,2024-10-02,VENTA DE CASA EN PUEBLA DE LA COLONIA EL CERRITO,89,170,2921.348314606741,1529.4117647058824,2024-06-28,0,0,2024-06-28,Casa,Venta,2,3,2,0,2.0,No,,El Cerrito,Puebla,Puebla,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-1d69a248a830-9a42-92139576-8cdb-4adf
2,E1,280000.0,280000.0,15575,2024-10-02,SE VENDE CASA TIM 662659,47,47,5957.446808510638,5957.446808510638,2023-04-20,433,14,2024-06-28,Casa,Venta,2,2,1,0,1.0,No,,Puebla Centro,Puebla,Puebla,"Puebla Centro, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-3424da1b547-a78f-22871056-a8c9-306b
3,E1,295000.0,295000.0,16409,2024-10-02,DEPARTAMENTO EN VENTA EN PUEBLA BOSQUES DE SAN SEBASTIAN,65,65,4538.461538461538,4538.461538461538,2024-03-12,106,3,2024-06-28,Departamento,Venta,1,2,1,0,1.0,No,,Bosques de San Sebastian,Puebla,Puebla,"Bosques de San Sebastián, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-9ee34bcca657-409b-dc17e6f2-9934-47fa
4,E1,310000.0,310000.0,17244,2024-10-02,HERMOSA CASA EN PUEBLA C.10,100,120,3100.0,2583.333333333333,2024-02-27,121,4,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,Granjas Puebla,Puebla,Puebla,"Granjas Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-6c22fe158735-d662-e6d6053e-b2e0-4ae8
5,E1,315000.0,315000.0,17522,2024-10-02,"Venta de CASA en Plazas Amalucan, Puebla",140,230,2250.0,1369.5652173913045,2023-04-28,425,14,2024-06-28,Casa,Venta,2,4,1,0,1.0,No,,Plazas de Amalucan,Puebla,Puebla,"Plazas de Amalucan, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-dde5e886a573-2408-a407f7e2-aa58-3ed0
6,E1,315000.0,315000.0,17522,2024-10-02,"VENTA DE CASA EN PLAZAS AMALUCAN, HEROÍCA PUEBLA DE ZARAGOZA, PUE.",151,210,2086.092715231788,1500.0,2024-06-28,0,0,2024-06-28,Casa,Venta,2,3,2,0,2.0,No,,Plazas de Amalucan,Puebla,Puebla,"Plazas de Amalucan, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-593bf4904855-9936-6088efa1-82a4-44ea
7,E1,315000.0,315000.0,17522,2024-10-02,VENTA HERMOSA CASA PRIVADA SAN MIGUEL PUEBLA,151,210,2086.092715231788,1500.0,2024-04-23,65,2,2024-06-28,Casa,Venta,2,3,2,0,2.0,No,,Plazas de Amalucan,Puebla,Puebla,"Plazas de Amalucan, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-7592ba6cd20d-c645-3b9d2357-8769-4cb2
8,E1,315000.0,315000.0,17522,2024-10-02,VENTA DE HERMOSA Y AMPLIA CASA EN PLAZASA AMALUCAN PUEBLA,151,210,2086.092715231788,1500.0,2024-04-16,72,2,2024-06-28,Casa,Venta,2,3,2,0,2.0,No,,Plazas de Amalucan,Puebla,Puebla,"Plazas de Amalucan, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-e51bd067a44f-932e-90fb7865-9a1e-4ecd
9,E1,317413.0,317413.0,17656,2024-10-02,"CASA EN VENTA EN VILLA SAN ALEJANDRO, PUEBLA.",163,150,1947.319018404908,2116.0866666666666,2024-03-30,89,2,2024-06-28,Casa,Venta,2,3,2,0,2.0,No,,Villa San Alejandro,Puebla,Puebla,"Villa San Alejandro, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-b1af262b27ea-37d9-79046d22-bfa5-47f2
10,E1,320000.0,320000.0,17800,2024-10-02,"venta de casas en General José Razo 35, Héroes de Puebla, Puebla de Zaragoza, Puebla, México",150,200,2133.333333333333,1600.0,2024-05-14,44,1,2024-06-28,Casa,Venta,2,3,2,0,2.0,No,,Heroes de Puebla,Puebla,Puebla,"Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-d17b671ca691-8b30-b6ebab7a-82af-4dc7
