id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,ubicacion,url
1,E1,280000,280000,15575,2024-10-02,SE VENDE CASA TIM 662659,47,47,5957.446808510638,5957.446808510638,2023-04-20,593,19,2024-12-08,Casa,Venta,2,2,1,0,1.0,No,,Puebla Centro,Puebla,Puebla,"Puebla Centro, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-3424da1b547-a78f-22871056-a8c9-306b
2,E1,280000,280000,15575,2024-10-02,Venta de Departamento en Puebla de zaragoza,70,70,4000.0,4000.0,2024-07-09,149,4,2024-12-08,Casa,Venta,1,2,1,0,1.0,No,,Las Hadas Mundial 86,Puebla,Puebla,"Las Hadas Mundial 86, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-b1cc2f1ff826-8436-f6addaeb-90ae-41bc
3,E1,325000,325000,18078,2024-10-02,CASA EN VENTA ARCO TORAL SAN JOSE MAYORAZGO PUEBLA,85,100,3823.529411764706,3250.0,2024-05-09,209,6,2024-12-08,Casa,Venta,2,3,1,1,1.5,No,,San Jose Mayorazgo,Puebla,Puebla,"San José Mayorazgo, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-aedf2c941784-f756-d211d1e6-853c-41b7
4,E1,334608,334608,18613,2024-10-02,PRECIOSA CASA EN VENTA,100,100,3346.08,3346.08,2023-10-17,416,13,2024-12-08,Casa,Venta,2,3,1,1,1.5,No,,Puebla Centro,Puebla,Puebla,"Puebla Centro, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-9b5ea442dedf-6b51-5b9c602e-99c6-41a9
5,E1,344966,344966,19189,2024-10-02,"Casa en venta en Privada Sinaloa , El Carmen Puebla Puebla                    LPPA",220,200,1568.0272727272727,1724.83,2024-03-03,275,9,2024-12-08,Casa,Venta,2,3,2,0,2.0,No,,El Carmen,Puebla,Puebla,"El Carmen, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-5c75ce397071-c685-75b5e34f-b6af-44be
6,E1,359000,359000,19969,2024-10-02,VENTA DE CASA EN PUEBLA COL LA LOMA,315,600,1139.6825396825398,598.3333333333334,2024-12-08,0,0,2024-12-08,Casa,Venta,2,5,4,0,4.0,No,,La Loma,Puebla,Puebla,"La Loma, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-26f917d3aa92-6e9-1912e5c-97a5-77c8
7,E1,365000,365000,20303,2024-10-02,"APROVECHA, Bonita Casa cerca de la BUAP, APARTALA YA!!! OAHM",140,260,2607.1428571428573,1403.8461538461538,2023-06-09,544,17,2024-12-08,Casa,Venta,2,4,2,0,2.0,No,,El Cerrito,Puebla,Puebla,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-3a34fe44a25e-3490-37f9cbee-9228-4548
8,E1,365000,365000,20303,2024-10-02,Casa En Guerrero Col. El Cerrito Puebla **OPORTUNIDAD JHRE**,160,298,2281.25,1224.8322147651006,2023-06-16,537,17,2024-12-08,Casa,Venta,2,3,2,1,2.5,No,,El Cerrito,Puebla,Puebla,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-bcd23d0cc1f2-a5f0-2a62b82f-ae26-4ee5
9,E1,372608,372608,20726,2024-10-02,VENTA DE CASA EN COLONIA CERRITOS EN PUEBLA PUEBLA,210,210,1774.3238095238096,1774.3238095238096,2023-10-23,410,13,2024-12-08,Casa,Venta,2,3,2,1,2.5,No,,El Cerrito,Puebla,Puebla,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-b12dab11c5cb-8657-f936ad91-b228-46a7
10,E1,372608,372608,20726,2024-10-02,"¡¡EXCELENTE OPORTUNIDAD DE INVERSIÒN!! HERMOSA CASA EN VENTA. EL CERRITO, PUEBLA PUEBLA",120,210,3105.0666666666666,1774.3238095238096,2023-09-29,434,14,2024-12-08,Casa,Venta,2,3,2,1,2.5,No,,El Cerrito,Puebla,Puebla,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-db4398a375b1-c58f-ae00796d-b2d5-4e79
11,E1,382000,382000,21249,2024-10-02,VENTA DE HERMOSA PROPIEDAD EN LOS HEROES PUEBLA.,150,230,2546.6666666666665,1660.8695652173913,2024-02-20,288,9,2024-12-08,Casa,Venta,2,3,2,0,2.0,No,,Heroes de Puebla,Puebla,Puebla,"Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-36c05204ad6a-cc69-342afb-bc69-462b
12,E1,382900,382900,21299,2024-10-02,Venta de linda y espaciosa casa en Puebla.,150,150,2552.6666666666665,2552.6666666666665,2024-05-15,203,6,2024-12-08,Casa,Venta,2,3,2,0,2.0,No,,Heroes de Puebla,Puebla,Puebla,"Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-8f9550f153b7-e533-cb740169-a9bd-2018
13,E1,382900,382900,21299,2024-10-02,VENTA DE HERMOSA CASA EN PUEBLA,150,150,2552.6666666666665,2552.6666666666665,2024-05-08,210,7,2024-12-08,Casa,Venta,2,3,2,0,2.0,No,,Heroes de Puebla,Puebla,Puebla,"Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-e71f3ca56ee3-abbf-99acd73b-a223-4843
14,E1,390000,390000,21694,2024-10-02,"EXCELENTE CASA EN VENTA, RIO YAQUI, JARDINES DE SAN MANUEL PUEBLA",200,270,1950.0,1444.4444444444443,2024-05-27,191,6,2024-12-08,Casa,Venta,2,3,2,1,2.5,No,,Jardines de San Manuel,Puebla,Puebla,"Jardines de San Manuel, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-4dca48bd44ff-9321-6668a9a7-8e49-4110
15,E1,390000,390000,21694,2024-10-02,VENTA DE CASA EN PUEBLA DE ZARAGOZA COLONIA PLAZAS AMALUCAN,204,320,1911.764705882353,1218.75,2024-04-02,246,8,2024-12-08,Casa,Venta,2,4,3,1,3.5,No,,Plazas de Amalucan,Puebla,Puebla,"Plazas de Amalucan, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-d49963a10760-dd9a-95676223-875c-415d
16,E1,395100,395100,21977,2024-10-02,VENTA DE CASA EN COLONIA LOMA LINDA PUEBLA,90,100,4390.0,3951.0,2023-10-17,416,13,2024-12-08,Casa,Venta,2,3,1,1,1.5,No,,Loma Linda,Puebla,Puebla,"Loma Linda, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-430e49bd91ae-f822-2a186803-898e-4bb9
17,E1,399600,399600,22228,2024-10-02,"VENTA DE DEPARTAMENTO ATLIXCÁYOTL ANGELES DEL SUR  SAN BERNARDINO TLAXCALANCINGO, PUE.",80,80,4995.0,4995.0,2024-04-10,238,7,2024-12-08,Departamento,Venta,1,2,2,0,2.0,No,,Angelopolis,Puebla,Puebla,"Angelópolis, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-c0661a74229a-3c3e-4eb866ea-9da1-4ffc
18,E1,400000,400000,22250,2024-10-02,"VENTA DE CASA EN PUEBLA ,PUEBLA",250,200,1600.0,2000.0,2024-04-09,239,7,2024-12-08,Casa,Venta,2,3,1,1,1.5,No,,Jardines de San Manuel,Puebla,Puebla,"Jardines de San Manuel, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-cb5d6f79bf53-9d4-5f484b8b-ab51-444a
19,E1,400000,400000,22250,2024-10-02,VENTA HERMOSA CASA COLONIA JARDINES DE SAN MANUEL PUEBLA,200,150,2000.0,2666.6666666666665,2024-04-23,225,7,2024-12-08,Casa,Venta,2,3,1,1,1.5,No,,Jardines de San Manuel,Puebla,Puebla,"Jardines de San Manuel, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-421a563173b2-83eb-1bbdd2d8-9467-4228
20,E1,410000,410000,22806,2024-10-02,"VENTA DE CASA EN COL. TRES CERRITOS, PUEBLA",140,248,2928.5714285714284,1653.225806451613,2024-02-20,288,9,2024-12-08,Casa,Venta,2,3,2,0,2.0,No,,Puebla,Puebla,Puebla,"Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-7abb6cb20f50-97ec-b9a51058-9555-4802
21,E1,410000,410000,22806,2024-10-02,"VENTA HERMOSA CASA CLUB DE GOLF, PUEBLA, PUEBLA",85,80,4823.529411764706,5125.0,2024-04-23,225,7,2024-12-08,Casa,Venta,2,3,1,1,1.5,No,,Club de Golf Puebla,Puebla,Puebla,"Club de Golf Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-e372daf13a0c-540e-e93c0bc1-af00-4c9a
22,E1,422000,422000,23474,2024-10-02,VENTA DE HERMOSA Y ACOGEDORA CASA,120,150,3516.6666666666665,2813.333333333333,2024-05-11,207,6,2024-12-08,Casa,Venta,2,3,3,0,3.0,No,,San Angel,Puebla,Puebla,"San Angel, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-630d7f4c8a2b-4e89-e6f9eb1e-830d-4a8a
