año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id
2019,1,21.0,Puebla,0.0,No distribuido,4,2,1.0,1,0.0,0.0,0.0,0.0,0.0,597120.0,1
2019,1,21.0,Puebla,1.0,Acajete,1,2,1.0,2,1.0,2.0,1.0,0.0,1.0,0.0,2
2019,1,21.0,Puebla,1.0,Acajete,1,2,1.0,2,2.0,1.0,4.0,0.0,1.0,0.0,3
2019,1,21.0,Puebla,1.0,Acajete,2,2,1.0,2,2.0,1.0,3.0,1.0,1.0,36568.0,4
2019,1,21.0,Puebla,1.0,Acajete,2,2,1.0,1,1.0,2.0,1.0,1.0,1.0,17397.0,5
2019,1,21.0,Puebla,1.0,Acajete,4,2,1.0,1,2.0,2.0,4.0,0.0,1.0,0.0,6
2019,1,21.0,Puebla,6.0,Ahuacatlán,4,2,1.0,1,1.0,2.0,1.0,0.0,1.0,0.0,7
2019,1,21.0,Puebla,10.0,Ajalpan,1,2,1.0,2,1.0,2.0,1.0,0.0,1.0,0.0,8
2019,1,21.0,Puebla,10.0,Ajalpan,2,2,1.0,2,1.0,2.0,1.0,1.0,1.0,26218.0,9
2019,1,21.0,Puebla,15.0,Amozoc,1,1,2.0,1,1.0,1.0,2.0,2.0,1.0,405090.83,10
2019,1,21.0,Puebla,15.0,Amozoc,1,1,2.0,1,1.0,1.0,3.0,2.0,3.0,1282365.2,11
2019,1,21.0,Puebla,15.0,Amozoc,1,1,2.0,1,1.0,2.0,1.0,2.0,1.0,351857.69,12
2019,1,21.0,Puebla,15.0,Amozoc,1,1,2.0,1,1.0,2.0,2.0,2.0,1.0,409345.44,13
2019,1,21.0,Puebla,15.0,Amozoc,1,1,2.0,1,1.0,2.0,2.0,3.0,1.0,393037.22,14
2019,1,21.0,Puebla,15.0,Amozoc,1,1,2.0,1,1.0,2.0,4.0,3.0,1.0,732056.17,15
2019,1,21.0,Puebla,15.0,Amozoc,1,1,2.0,1,2.0,1.0,2.0,2.0,1.0,428167.44,16
2019,1,21.0,Puebla,15.0,Amozoc,1,1,2.0,1,2.0,1.0,4.0,3.0,1.0,171566.66,17
2019,1,21.0,Puebla,15.0,Amozoc,1,1,2.0,1,2.0,2.0,2.0,2.0,2.0,830790.53,18
2019,1,21.0,Puebla,15.0,Amozoc,1,1,2.0,1,2.0,2.0,2.0,3.0,1.0,379849.79,19
2019,1,21.0,Puebla,15.0,Amozoc,1,2,1.0,2,1.0,1.0,1.0,0.0,2.0,0.0,20
2019,1,21.0,Puebla,15.0,Amozoc,1,2,1.0,2,1.0,1.0,2.0,0.0,2.0,0.0,21
2019,1,21.0,Puebla,15.0,Amozoc,1,2,1.0,2,1.0,1.0,3.0,0.0,1.0,0.0,22
2019,1,21.0,Puebla,15.0,Amozoc,1,2,1.0,2,1.0,2.0,1.0,0.0,1.0,0.0,23
2019,1,21.0,Puebla,15.0,Amozoc,1,2,1.0,2,1.0,2.0,2.0,0.0,4.0,0.0,24
2019,1,21.0,Puebla,15.0,Amozoc,1,2,1.0,2,1.0,2.0,3.0,0.0,1.0,0.0,25
2019,1,21.0,Puebla,15.0,Amozoc,1,2,1.0,2,1.0,2.0,4.0,0.0,2.0,0.0,26
2019,1,21.0,Puebla,15.0,Amozoc,1,2,1.0,2,2.0,1.0,1.0,0.0,1.0,0.0,27
2019,1,21.0,Puebla,15.0,Amozoc,1,2,1.0,2,2.0,2.0,1.0,0.0,3.0,0.0,28
2019,1,21.0,Puebla,15.0,Amozoc,1,2,1.0,2,2.0,2.0,4.0,0.0,1.0,0.0,29
2019,1,21.0,Puebla,15.0,Amozoc,1,2,1.0,1,1.0,2.0,5.0,2.0,1.0,455719.05,30
2019,1,21.0,Puebla,15.0,Amozoc,1,3,3.0,2,1.0,1.0,4.0,3.0,1.0,552118.23,31
2019,1,21.0,Puebla,15.0,Amozoc,1,3,3.0,1,1.0,1.0,1.0,2.0,1.0,328520.4,32
2019,1,21.0,Puebla,15.0,Amozoc,1,3,3.0,1,1.0,1.0,2.0,2.0,2.0,677766.91,33
2019,1,21.0,Puebla,15.0,Amozoc,1,3,3.0,1,1.0,2.0,1.0,2.0,1.0,332294.55,34
2019,1,21.0,Puebla,15.0,Amozoc,1,3,3.0,1,1.0,2.0,3.0,2.0,1.0,512542.28,35
2019,1,21.0,Puebla,15.0,Amozoc,1,3,3.0,1,1.0,2.0,5.0,4.0,1.0,906896.61,36
2019,1,21.0,Puebla,15.0,Amozoc,1,3,3.0,1,2.0,2.0,1.0,2.0,1.0,329179.86,37
2019,1,21.0,Puebla,15.0,Amozoc,1,3,3.0,1,2.0,2.0,2.0,3.0,1.0,503850.92,38
2019,1,21.0,Puebla,15.0,Amozoc,1,3,3.0,1,2.0,2.0,4.0,2.0,1.0,521377.6,39
2019,1,21.0,Puebla,15.0,Amozoc,2,2,1.0,2,1.0,1.0,2.0,1.0,1.0,18887.0,40
2019,1,21.0,Puebla,15.0,Amozoc,2,2,1.0,2,1.0,2.0,1.0,1.0,1.0,12986.0,41
2019,1,21.0,Puebla,15.0,Amozoc,2,2,1.0,2,1.0,2.0,2.0,1.0,2.0,67812.0,42
2019,1,21.0,Puebla,15.0,Amozoc,2,2,1.0,2,1.0,2.0,3.0,1.0,2.0,87815.0,43
2019,1,21.0,Puebla,15.0,Amozoc,2,2,1.0,2,2.0,1.0,1.0,1.0,1.0,17236.0,44
2019,1,21.0,Puebla,15.0,Amozoc,2,2,1.0,2,2.0,2.0,1.0,1.0,1.0,12252.0,45
2019,1,21.0,Puebla,15.0,Amozoc,2,2,1.0,2,2.0,2.0,3.0,1.0,1.0,46478.0,46
2019,1,21.0,Puebla,15.0,Amozoc,2,2,1.0,1,1.0,1.0,1.0,1.0,3.0,60264.0,47
2019,1,21.0,Puebla,15.0,Amozoc,2,2,1.0,1,1.0,1.0,2.0,1.0,1.0,16610.0,48
2019,1,21.0,Puebla,15.0,Amozoc,2,2,1.0,1,2.0,2.0,1.0,1.0,1.0,20022.0,49
2019,1,21.0,Puebla,15.0,Amozoc,2,2,1.0,1,2.0,2.0,3.0,1.0,1.0,32803.0,50
2019,1,21.0,Puebla,15.0,Amozoc,3,1,2.0,1,2.0,2.0,2.0,3.0,1.0,563808.26,51
2019,1,21.0,Puebla,15.0,Amozoc,3,1,2.0,1,2.0,2.0,3.0,3.0,1.0,595100.0,52
2019,1,21.0,Puebla,19.0,Atlixco,1,1,2.0,2,2.0,2.0,6.0,4.0,1.0,330371.04,53
2019,1,21.0,Puebla,19.0,Atlixco,1,1,2.0,1,1.0,1.0,5.0,3.0,1.0,541164.18,54
2019,1,21.0,Puebla,19.0,Atlixco,1,1,2.0,1,1.0,2.0,4.0,3.0,1.0,522144.92,55
2019,1,21.0,Puebla,19.0,Atlixco,1,1,2.0,1,2.0,2.0,4.0,3.0,1.0,543209.39,56
2019,1,21.0,Puebla,19.0,Atlixco,1,2,1.0,2,1.0,2.0,1.0,0.0,2.0,0.0,57
2019,1,21.0,Puebla,19.0,Atlixco,1,2,1.0,2,1.0,2.0,2.0,0.0,1.0,0.0,58
2019,1,21.0,Puebla,19.0,Atlixco,1,2,1.0,2,1.0,2.0,3.0,0.0,1.0,0.0,59
2019,1,21.0,Puebla,19.0,Atlixco,1,2,1.0,2,2.0,1.0,2.0,0.0,1.0,0.0,60
2019,1,21.0,Puebla,19.0,Atlixco,1,2,1.0,2,2.0,2.0,1.0,0.0,1.0,0.0,61
2019,1,21.0,Puebla,19.0,Atlixco,1,3,3.0,1,1.0,2.0,3.0,2.0,1.0,493293.33,62
2019,1,21.0,Puebla,19.0,Atlixco,1,3,3.0,1,2.0,2.0,1.0,1.0,1.0,220622.61,63
2019,1,21.0,Puebla,19.0,Atlixco,2,1,2.0,1,2.0,2.0,6.0,5.0,1.0,2160000.0,64
2019,1,21.0,Puebla,19.0,Atlixco,2,2,1.0,2,1.0,2.0,1.0,1.0,1.0,21993.0,65
2019,1,21.0,Puebla,19.0,Atlixco,2,2,1.0,2,1.0,2.0,2.0,1.0,1.0,44839.0,66
2019,1,21.0,Puebla,19.0,Atlixco,3,3,3.0,1,1.0,2.0,4.0,4.0,1.0,862270.81,67
2019,1,21.0,Puebla,34.0,Coronango,1,1,2.0,2,1.0,1.0,4.0,3.0,1.0,252576.28,68
2019,1,21.0,Puebla,34.0,Coronango,1,1,2.0,2,1.0,1.0,5.0,3.0,1.0,915010.24,69
2019,1,21.0,Puebla,34.0,Coronango,1,1,2.0,2,1.0,1.0,6.0,4.0,1.0,465199.97,70
2019,1,21.0,Puebla,34.0,Coronango,1,1,2.0,2,1.0,2.0,1.0,4.0,1.0,277786.83,71
2019,1,21.0,Puebla,34.0,Coronango,1,1,2.0,2,1.0,2.0,4.0,3.0,1.0,319855.86,72
2019,1,21.0,Puebla,34.0,Coronango,1,1,2.0,2,1.0,2.0,5.0,4.0,1.0,216617.95,73
2019,1,21.0,Puebla,34.0,Coronango,1,1,2.0,2,1.0,2.0,6.0,3.0,5.0,3191790.42,74
