id,Age Range,Hombre,Mujer,Total
1,0 a 4 años,94523,93370,187893
2,10 a 14 años,100847,97754,198601
3,15 a 19 años,99841,98300,198141
4,20 a 24 años,104347,104692,209039
5,25 a 29 años,105543,108596,214139
6,30 a 34 años,94293,100283,194576
7,35 a 39 años,87967,94776,182743
8,40 a 44 años,79318,86410,165728
9,45 a 49 años,71841,77991,149832
10,5 a 9 años,99958,97011,196969
11,50 a 54 años,59009,66848,125857
12,55 a 59 años,46132,51771,97903
13,60 a 64 años,37769,42960,80729
14,65 a 69 años,26736,31097,57833
15,70 a 74 años,18799,22180,40979
16,75 a 79 años,12516,14901,27417
17,80 a 84 años,7578,9743,17321
18,85 años o más,6403,9540,15943
