precio,denominacion,propiedad,metros_total,metros_construido,tiempo_de_publicacion,tipo,estacionamientos,recamaras,banos,medio_banos,seguridad_privada,ubicacion,url,descripcion,precio_desc,precio_mxn,precio_usd,fecha_conversion,categoria,meses_2024-09-08,precio_m2_terreno,precio_m2_construido,baños_desc,baños_completos,medios_baños,bano_total,Colonia,Municipio,Estado
464000,MXN,linda casa en queretaro,100,100,17 ene 2024,Casa,2,3,2,0,No,fraccionamiento parque santiago queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-7470e7c0f69b-8f03-1adcb58d-9a14-405d,excelente oportunidad de adquirir una propiedad en magnifica zona con buenos acabados y zona de alta plusvalia  construido en un piso sala  comedor  cocina y  un patio trasero  3 recamaras 2 banos completos  cerca de avenidas y principales serviciosadquiere esta propiedad con un descuento del 50 al 70 de su valor comercial su inversion esta 100 segura entrega garantizada                                  no se aceptan creditos mayores informes con  la lic laura najera telver telefono whatsapp,,464000,25809.98,2024-09-08,E2,7.0,4640.0,4640.0,"{'completos': 2.0, 'medios': 0}",2.0,0.0,2.0,fraccionamiento parque santiago,Querétaro,Querétaro
565000,MXN,venta de casa en queretaro juriquilla col manzanares,350,190,30 ene 2024,Casa,2,4,3,0,No,fracc jurica san francisco queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-bd5a86939b0e-2cb6-83bc8753-80aa-49c5,te garantizamos una completa satisfaccion con pago de liquidacion al banco y ante notario acercate a los expertos en bienes raices de kioto service y asegura tu futuro hogar te esperamosel inmueble cuenta con 4 recamaras 3 banos y 2 lugares de estacionamiento cercania aa bancos escuelas centros comerciales vias de acceso principales etc adquiera esta propiedad pro un costo por de bajo de su valor comercial,,565000,31428.1,2024-09-08,E1,7.0,1614.2857142857142,2973.684210526316,"{'completos': 3.0, 'medios': 0}",3.0,0.0,3.0,fracc jurica san francisco,Querétaro,Querétaro
590000,MXN,venta de casa en queretaro montenegro col villas del meson,500,320,30 ene 2024,Casa,2,4,3,0,No,fraccionamiento villas del meson queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-1db2d29a0f95-16c-34653316-be19-4b01,te garantizamos una completa satisfaccion con pago de liquidacion al banco y ante notario acercate a los expertos en bienes raices de kioto service y asegura tu futuro hogar te esperamosla distribucion es sala comedor cocina4 recamaras amplias 3 banos2 lugares de estacionamiento cuarto de lavado,,590000,32818.72,2024-09-08,E1,7.0,1180.0,1843.75,"{'completos': 3.0, 'medios': 0}",3.0,0.0,3.0,fraccionamiento villas del meson,Querétaro,Querétaro
680000,MXN,venta de casa en queretaro montengro col villas del meson,483,483,30 ene 2024,Casa,2,3,2,1,No,fraccionamiento villas del meson queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-93d194dc33d-d035-bf07501c-825e-4a4a,te garantizamos una completa satisfaccion con pago de liquidacion al banco y ante notario acercate a los expertos en bienes raices de kioto service y asegura tu futuro hogar te esperamosla distribucion es sala comedor cocina3 recamaras amplias25 banos2 lugares de estacionamiento cuarto de lavado,,680000,37824.97,2024-09-08,E1,7.0,1407.8674948240166,1407.8674948240166,"{'completos': 5.0, 'medios': 0}",5.0,0.0,2.5,fraccionamiento villas del meson,Querétaro,Querétaro
700000,MXN,cerro loreto 301 colinas del cimatario 76090 santiago de queretaro qro mexico,277,277,4 ene 2024,Casa,2,3,3,0,No,colinas del cimatario queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-27915b7692e9-3bc0-67bbfd01-9453-4608,tu patrimonio al alcance de tus manosla casa de tus suenos con todas las comodidades para ti y tu familia cuenta con una ubicacion privilegiada rodeada por las principales vias de comunicacion escuelas bancos hospitales parques etcadquiere tu nueva propiedad con dinero propio y no pagues interesesetica profesionalismo y experiencia es garantia de nuestro trabajosi te gusta aprovechar las oportunidades agendemos una reunion presencial o virtualtu sueno inicia aqui,,700000,38937.47,2024-09-08,E1,8.0,2527.075812274368,2527.075812274368,"{'completos': 0, 'medios': 0}",0.0,0.0,3.0,colinas del cimatario,Querétaro,Querétaro
743600,MXN,casa en colinas del cimatario queretaro,255,314,15 ene 2024,Casa,2,4,1,0,No,colinas del cimatario queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-c7136c4c8f36-cb2f-fd601220-8b1e-4305,citas e informes tel whatsapp esteban hernandez 5538002825 grupo lider en el medio de garantias hipotecarias no es posible uso de creditos entrega garantizada nuestra experiencia nos respaldatu nuevo comienzo empieza hoy grupo de inversiones mexico,,743600,41362.72,2024-09-08,E1,7.0,2916.078431372549,2368.1528662420383,"{'completos': 0, 'medios': 0}",0.0,0.0,1.0,colinas del cimatario,Querétaro,Querétaro
750000,MXN,venta de hermosa casa en juriquilla queretaro,300,380,17 ene 2024,Casa,2,5,1,0,No,fraccionamiento cumbres del lago queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-cbd89c1181eb-6233-72e52972-be96-4e29,cuenta con 5 recamaras con closet aire acondicionado 4 banos y medio sala comedor cocina integral jardin amplio alberca y 2 lugares de estacionamientocuenta con una excelente ubicacion cerca de centros comerciales hospitales parques escuelas y avenidas principales  adquiere esta propiedad con un descuento del 50 al 70 de su valor comercial su inversion esta 100 segura entrega garantizada                                  no se aceptan creditos mayores informes con la lic laura najera telver telefono whatsapp,,750000,41718.72,2024-09-08,D3,7.0,2500.0,1973.6842105263158,"{'completos': 4.0, 'medios': 0}",4.0,0.0,1.0,fraccionamiento cumbres del lago,Querétaro,Querétaro
750000,MXN,hermosa y amplia casa lista para adjudicarse en colinas de cimatario santiago de queretaro,150,150,29 dic 2023,Casa,2,4,3,0,No,colinas del cimatario queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-ece532a1de91-7596-9cfd993-b6d6-5038,gran oportunidad adjudica y escritura a tu nombrepago en dos exhibiciones  entrega garantizada de 8 a 10 meses por escrito bajo contrato  el primer pago es con recursos propios aceptamos tu credito fovissste aceptamos tu credito infonavitsi cuentas con credito personal con disposicion del recurso si aplica aprovecha esta gran oportunidad de inversion para adquirir tu casa o para invertir en bienes raiceslas fotografias son ilustrativaste regalo una asesoria,,750000,41718.72,2024-09-08,D3,8.0,5000.0,5000.0,"{'completos': 0, 'medios': 0}",0.0,0.0,3.0,colinas del cimatario,Querétaro,Querétaro
759600,MXN,casa plazas del sol 2da secc,121,327,16 ene 2024,Casa,2,3,1,0,No,plazas del sol 2da seccion queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-b508efd58246-532d-db9a6d07-89c7-49ad,cumple tu sueno con nosotrosgran oportunidad amplia casa con excelentes acabados y todas las comodidades que sonaste ahora a tu alcancecuenta con3 habitaciones2 banos completos2 estacionamientosasesoria los 7 dias de la semana desde la primera llamadate asesoramos y acompanamos hasta concluir con la entrega de tu nuevo hogaranahi torresasesor inmobiliariopara mayor informacion contactame o dejame tu numero a la brevedad me comunico,,759600,42252.72,2024-09-08,D3,7.0,6277.6859504132235,2322.935779816514,"{'completos': 2.0, 'medios': 0}",2.0,0.0,1.0,plazas del sol 2da seccion,Querétaro,Querétaro
760000,MXN,preciosa casa en plazas del sol santiago de qro,121,327,10 ene 2024,Casa,2,3,2,0,No,plazas del sol 2da seccion queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-27d484ba27a3-d37e-d8c9e7a7-aaca-4c4e,cumple tus suenos con nosotroshas sonado con tener una casa propia ahora es tu oportunidad de hacerlo realidad con gacava inmobiliariaesta hermosa y amplia casa cuenta con todo lo que necesitas para vivir comodamente  3 habitaciones  2 banos completos  2 garaje  cocina integradaademas te ofrecemos asesoria 247 desde la primera llamada te  acompanamos durante todo el proceso hasta la entrega de tu nuevo hogarquieres saber mas contactamemaria ramirezcontactar,,760000,42274.97,2024-09-08,D3,8.0,6280.99173553719,2324.159021406728,"{'completos': 2.0, 'medios': 0}",2.0,0.0,2.0,plazas del sol 2da seccion,Querétaro,Querétaro
760000,MXN,la casa de tu suenos en plaza del  sol qro,121,121,15 dic 2023,Casa,2,3,2,0,No,plazas del sol 2da seccion queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-871caf82f676-9bd6-2e231899-8078-1237,cumple tu sueno con nosotroshermosa y amplia casa con excelentes acabados y todas las comodidades que sonaste ahora a tu alcancecuenta con3 habitaciones2 banos completos2 garajecocina equipada area comun asesoria 247 desde la primera llamadate asesoramos y acompanamos hasta concluir con la entrega de tu nuevo hogarmaria ramirezasesor inmobiliariopara mayor informacion contactame o dejame tu numero a la brevedad me comunico,,760000,42274.97,2024-09-08,D3,8.0,6280.99173553719,6280.99173553719,"{'completos': 2.0, 'medios': 0}",2.0,0.0,2.0,plazas del sol 2da seccion,Querétaro,Querétaro
760000,MXN,estrena tu casa en excelente zona de queretaro,121,327,11 ene 2024,Casa,2,3,2,0,No,plazas del sol 2da seccion queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-9d70ff75072e-94a6-1b8bc98b-83c9-4a42,asegura tu futuro y cumple tus suenos   gran oportunidad amplia casa con excelentes acabados y todas las comodidades que sonaste ahora a tu alcance        cuenta con        3 habitaciones    2 banos completos    2 estacionamientos    jardin       asesoria 247 desde la primera llamada        te asesoramos y acompanamos hasta concluir con la entrega de tu nuevo hogar    ten la garantia y el respaldo del mejor grupo inmobiliario en el mercado juntos encontraremos el hogar de tus suenos   hanson madrigal    asesor inmobiliario    para mayor informacion contactame o dejame tu numero a la brevedad me comunico,,760000,42274.97,2024-09-08,D3,8.0,6280.99173553719,2324.159021406728,"{'completos': 2.0, 'medios': 0}",2.0,0.0,2.0,plazas del sol 2da seccion,Querétaro,Querétaro
