id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,meses_transcurridos,meses_transcurridos_fecha,tipo,Estado,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,CP,ubicacion,url,descripcion
1,E1,346040,346040,19248.46,2024-09-18,HIDALGO VENTA DEPARTAMENTO PACHUCA CENTRO,87,87,3977.4712643678163,3977.4712643678163,1 dic. 2022,21,2024-09-18,Departamento,Venta,2,2,1,0,1.0,No,Pachuca de Soto Centro,,"Pachuca de Soto Centro, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-acfd49ad2640-95ff-1d035e3f-aa4b-3dc7,"M2 de Terreno: 87,72M2 de Construcción: 87,72Departamento ubicado en el segundo piso, sala, comedor, cocina, tres recámaras, un baño completo, azotea cuarto de servicio, un cajón de estacionamiento en planta baja. Haz tu mejor oferta sobre el valor de venta y cómpralo a un super precio.Solamente al contado Sin apartados, sin anticipos, sin enganches.Los inmuebles están sujetos a cambio de precio, sin previo aviso. Todo el proceso ante notario público. No se aceptan pagos en línea.Tenemos Inmuebles a crédito o de contado a nivel nacional listos para su adquisiciónSolamente contado. No se piden apartados, ni anticipos, ni enganches Todo el proceso ante Notario público.En Contactar . Tenemos ventas directas. Más de 5.000 inmuebles en comercialización .Tenemos oportunidades rigurosamente pago de contado- otros donde puede ejercer cualquier tipo de crédito. CONTAMOS CON INMUEBLES EN RENTA-CRÉDITOS INMOBILIARIOS Y CRÉDITOS DE LIQUIDEZ. EasyBroker ID: EB-HA8108"
2,E2,515000,515000,28646.85,2024-09-18,VENTA DE DEPARTAMENTO 1 NIVEL 2 RECAMARAS EN FRACCIONAMIENTO HACIENDA MARGARITA MUNICIPIO DE MINERAL DE LA REFORMA ESTADO DE HIDALGO.,53,53,9716.981132075472,9716.981132075472,30 ago. 2023,12,2024-09-18,Departamento,Venta,2,2,1,0,1.0,No,Hacienda Margarita,,"Fraccionamiento Hacienda Margarita, Mineral de la Reforma, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-ce3df21cbab1-3793-84ddf002-81dd-4c7c,"**UBICADO EN PLANTA BAJA**PRECIO $515,000.00INFORMES Ver teléfono WhatsappAREA: 53.65 M2DISTRIBUCIONSALA COMEDORCOCINA EQUIPADA CON COCINETA INTEGRAL CON ESTUFA Y CAMPANA 2 RECAMARAS PATIO INTERIOR CON PISO Y LOSETA 1 BAÑO COMPLETO PATIO DE SERVICIO CON JAULA DE HERRERIA Y TECHO DE POLICARBONATOCAJON DE ESTACIONAMIENTO AMENIDADESUBICADO EN PRIVADA CON ACCESO CONTROLADO PISO DE CEMENTO CON LOSETA CERAMICA EN PATIO DE SERVICIOLOSETA CERAMICA EN TODO EL DEPARTAMENTO"
3,E2,520000,520000,28924.98,2024-09-18,"DEPARTAMENTO EN VENTA, HACIENDA MARGARITA",46,46,11304.347826086956,11304.347826086956,2023-10-05 00:00:00,11,2024-09-18,Departamento,Venta,1,2,1,0,1.0,No,Hacienda Margarita,,"Fraccionamiento Hacienda Margarita, Mineral de la Reforma, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-6f660c8e0438-63f1-f2167e89-8dbf-1237,"Se vende bonito y acogedor departamento en Hacienda Margarita, Xochihuacán, muy cerca de la carretera Pachuca-Cd Sahagún. Se encuentra en perfectas condiciones listo para habitar, cuenta con sala, comedor, cocina, 2 recamaras, zotehuela,  protecciones y canceles.Se vende solo con crédito Infonavit, bancario o contado.📲 Agenda una cita para conocerla"
4,E2,578000,578000,32151.22,2024-09-18,"BONITA CASA EN VENTA EN LA MORENA, TULANCINGO",178,178,3247.191011235955,3247.191011235955,2024-02-07 00:00:00,7,2024-09-18,Casa,Venta,2,3,2,0,2.0,No,Unidad Habitacional La Morena,,"Unidad Habitacional La Morena, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-fbb2e5ddca9e-6caa-3dbace8f-9f6e-46b4,"UNICA OPORTUNIDAD PARA COMPRAR SU CASA POR RECUPERACION BANCARIA, ADQUIERE SU CASA A UN BAJO PRECIO. ESTE TIPO DE ADQUISICION TIENE ESTAS CARACTERISTICAS: NO SE ACEPTAN CREDITOS INFONAVIT O FOVISSTE, SOLO SE AEPTAN RECURSOS PROPIOS. LA PROPIEDAD NO SE PUEDE VER EN EL INTERIOR. LA ENTREGA ES DE 8 A 10 MESES.BONITA CASA EN VENTA EN HIDALGO, EL INMUEBLE CUENTA CON SALA, COMEDOR, COCINA, 3 RECAMARAS AMPLIAS, 2 BAÑOS, LUGAR DE ESTACIONAMIENTO PRIVADO. EXCELENTE UBICACIÓN CERCA DE: UNIVERSIDADES, ESCUELAS, HOSPITALES, CLINICAS, CAFETERIAS Y TIENDAS DE AUTO SERVICIO."
5,E2,578000,578000,32151.22,2024-09-18,LA CASA DE TUS SUEÑOS,178,178,3247.191011235955,3247.191011235955,2024-02-07 00:00:00,7,2024-09-18,Casa,Venta,1,3,2,0,2.0,No,Unidad Habitacional La Morena,,"Unidad Habitacional La Morena, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-5ba6e323a427-e36e-5423bad5-a633-46af,"HERMOSA CASA DE 2 PISOS CON EXELENTE UBICACIÓN, CON TODOS LOS SERVICIOS CERCA, ESCUELAS, FARMACIAS, BANCOS, VIAS ALTERNAS BLVD. LA MORENA Y LAS PALMAS, MAS DE 178 M2 +/-. EXCELENTE PLUSVALIA."
6,E2,620000,620000,34487.47,2024-09-18,Departamentos nuevos y económicos en Tulancingo,60,60,10333.333333333334,10333.333333333334,20 abr. 2023,16,2024-09-18,Departamento,Venta,1,2,1,0,1.0,No,Nuevo Tulancingo,,"Nuevo Tulancingo, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-2bd215798759-6b9b-c4a4aff1-b239-3fed,"Oportunidad de Departamentos nuevos y económicos en Col Nuevo Tulancingo; una zona con alta plusvalía, ubicados a un costado de la nueva clinica del IMSS, ideales para una inversión segura, a solo 3 min de la Central de autobuses, Plaza del Vestido la cual es una zona de gran comercio principalmente los días jueves. A 5 minutos de Bodega Aurrera y del centro de la Ciudad, distintas vías de acceso, 15 minutos del famoso balneario de Santa Ana de aguas termales.El fraccionamiento es un complejo de 6 edificios, con barda perimetral, accesos controlados, calles de concreto hidraulico, transporte publico en la entrada principal, pequeña área comercial en el interior del mismo y áreas verdes.Los departamentos cuentan con:2 recámaras.Sala.Comedor.Cocina.Área de lavado.Área de tendido.1 baño.1 cajon de estacionamiento.PRECIO DE PREVENTA DESDE $620,000Torre 08 2do. piso $640,000.003er. piso $630,000.004to. piso $620,000.00Con plan de financiamiento a 12 Meses Sin Intereses.  Entrega completamente terminado: Agosto 2024.Torre 071er. piso (planta baja) $700 mil Baja2do. piso $690,000.003er. piso $680,000.004to. piso $670,000.00Con plan de financiamiento a 18 Meses Sin Intereses.Entrega completamente terminado: Diciembre 2024 - Enero 2025 Pregunta por la forma de pago.PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio publicado corresponde a la propiedad, NO incluye gastos de escrituración u otros conceptos. *El tiempo estimado de entrega puede cambiar según los tiempo de construcción y obra*Horario de atenciónLunes a viernes: 10:00 a 14:00 y 17:00 a 19:00Sábados: 10:00 a 14:00Domingos: previa cita""HAY UN LUGAR ESPERANDO SER TU HOGAR"""
7,E2,620000,620000,34487.47,2024-09-18,Departamentos nuevos y económicos en Tulancingo,60,60,10333.333333333334,10333.333333333334,20 abr. 2023,16,2024-09-18,Departamento,Venta,1,2,1,0,1.0,No,Nuevo Tulancingo,,"Nuevo Tulancingo, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-2bd215798759-6b9b-c4a4aff1-b239-3fed,"Oportunidad de Departamentos nuevos y económicos en Col Nuevo Tulancingo; una zona con alta plusvalía, ubicados a un costado de la nueva clinica del IMSS, ideales para una inversión segura, a solo 3 min de la Central de autobuses, Plaza del Vestido la cual es una zona de gran comercio principalmente los días jueves. A 5 minutos de Bodega Aurrera y del centro de la Ciudad, distintas vías de acceso, 15 minutos del famoso balneario de Santa Ana de aguas termales.El fraccionamiento es un complejo de 6 edificios, con barda perimetral, accesos controlados, calles de concreto hidraulico, transporte publico en la entrada principal, pequeña área comercial en el interior del mismo y áreas verdes.Los departamentos cuentan con:2 recámaras.Sala.Comedor.Cocina.Área de lavado.Área de tendido.1 baño.1 cajon de estacionamiento.PRECIO DE PREVENTA DESDE $620,000Torre 08 2do. piso $640,000.003er. piso $630,000.004to. piso $620,000.00Con plan de financiamiento a 12 Meses Sin Intereses.  Entrega completamente terminado: Agosto 2024.Torre 071er. piso (planta baja) $700 mil Baja2do. piso $690,000.003er. piso $680,000.004to. piso $670,000.00Con plan de financiamiento a 18 Meses Sin Intereses.Entrega completamente terminado: Diciembre 2024 - Enero 2025 Pregunta por la forma de pago.PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio publicado corresponde a la propiedad, NO incluye gastos de escrituración u otros conceptos. *El tiempo estimado de entrega puede cambiar según los tiempo de construcción y obra*Horario de atenciónLunes a viernes: 10:00 a 14:00 y 17:00 a 19:00Sábados: 10:00 a 14:00Domingos: previa cita""HAY UN LUGAR ESPERANDO SER TU HOGAR"""
8,E2,672537,672537,37409.84,2024-09-18,departamento en pachuca hidalgo,87,87,7730.310344827586,7730.310344827586,2023-10-21 00:00:00,10,2024-09-18,Departamento,Venta,2,3,1,0,1.0,No,Pachuca de Soto Centro,,"Pachuca de Soto Centro, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-d3672c2d29c3-6d25-2497eec9-9e48-49aa,"*SUPER PRECIO, GRAN OPORTUNIDAD DE COMPRAR TU CASA **UNICA OPORTUNIDAD DE AHORRO.CASA CON MUY BUENA UBICACIÓN CERCA DE CENTROSCOMERCIALES, PLAZAS ESCUELAS Y MAS SERVICIOS.NO CREDITOS !!PAGO SOLO CON RECUSOS PROPIOS¡¡ .PRECIO POR DEBAJO DEL 50% DE VALOR COMERCIALESPECIALISTAS EN RECUPERACIÓN DEINMUEBLES Y CONSULTORIA EN REMATES.ASESORÍA GRATUITA EN NUESTRAS OFICINAS.INFORMACION Y CITASTEL/WATTS APP Ver teléfono WhatsappMARIBEL SANCHEZ ASESOR INMOBILIARIO."
9,,750000,750000,41718.72,2024-09-18,VENTA DE DEPARTAMENTO CENTRICO EN PACHUCA,82,82,9146.341463414634,9146.341463414634,2023-06-16 00:00:00,15,2024-09-18,Departamento,Venta,1,1,1,0,1.0,No,Pachuca de Soto Centro,,"Pachuca de Soto Centro, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-ed1b3df977d0-f0af-e096e2ae-b253-4d63,Venta de departamento recién modelado tipo loft ubicado en Avenida Guerrero cerca de palacio de gobierno.Se ubica en tercer piso y colinda con la avenida. Edificio antiguo.Consta de: Cocineta Área de salaComedor Una recámaraSanitarioPiso de loseta Paredes con Tirol planchadoRemodeladoColinda con calle GuerreroEscritura al corriente.81 M2
10,E3,950000,950000,52843.71,2024-09-18,"¡Compra Gran Oportunidad! ¡Iluminada Casa Adjudicada!  ¡Cesión Inmediata Ante Notario, Recuperación Bancaria! CS/FJCO",140,140,6785.714285714285,6785.714285714285,2023-11-21 00:00:00,9,2024-09-18,Casa,Venta,2,3,1,0,1.0,No,El Mirador,,"Fraccionamiento El Mirador, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-b4c836456869-6b00-52d6e119-9cc6-4bc5,"Usted tiene la OPORTUNIDAD de adquirir este Inmueble POR DEBAJO de su valor comercial. ¡¡PROPIEDAD DE RECUPERACIÓN BANCARIA!!¡¡PROPIEDAD YA ADJUDICADA!!VALOR COMERCIAL: 2.7 MDP PRECIO REMATE: $ 950,000.00Amplia CASA en una de la zona más tranquila de PACHUCA y con gran PLUSVALÍA, céntrica a todos los servicios, escuelas, parques, mercados y plazas comerciales.-Oferta de recuperación bancaria por créditos hipotecarios NO pagados. -Contamos con convenios y contratos con los principales Bancos de México para comercializar sus Inmuebles. *Inmuebles ADJUDICADOS.*Inmuebles que ya recuperamos.¡¡¡CONTÁCTANOS!!! Y recibe más información, una explicación detallada de este inmueble y el proceso de compra.Contamos con una amplia cartera de Inmuebles en toda la CDMX, ESTADO DE MÉXICO, PUEBLA, QUERÉTARO, JALISCO, SAN LUIS POTOSÍ, MORELOS y el resto de la República. Somos Bróker directo de Bancos."
