año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,1.0,6.0,4.0,1,1585485.28,1
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,2.0,6.0,4.0,1,608908.05,2
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,2.0,2.0,6.0,4.0,1,1918694.86,3
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,1.0,4.0,0.0,1,0.0,4
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,1.0,0.0,1,0.0,5
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,1.0,2.0,2.0,1,474485.53,6
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,4,7,1,2.0,2.0,4.0,4.0,1,1019233.79,7
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,2,2,1.0,2.0,3.0,4.0,1,1241000.0,8
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,5,1,1.0,2.0,6.0,5.0,1,2000000.0,9
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,2,1,2,1.0,2.0,1.0,1.0,1,18707.0,10
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,3,3,1,1.0,1.0,6.0,4.0,1,2007000.0,11
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,3,3,1,2.0,2.0,2.0,3.0,1,780000.0,12
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,1.0,2.0,4.0,4.0,1,1128574.31,13
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,1.0,2.0,5.0,4.0,2,2690927.61,14
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,1.0,4.0,4.0,1,1059819.46,15
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,2.0,3.0,2,1372676.69,16
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,4.0,4.0,5,6122850.12,17
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,4,2,1,1,1.0,2.0,0.0,0.0,1,0.0,18
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,4,2,1,1,2.0,1.0,0.0,0.0,1,0.0,19
2023,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,4,2,1,1,2.0,2.0,0.0,0.0,1,0.0,20
2023,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,0.0,1.0,3.0,1,0.0,21
2023,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,1.0,4.0,3.0,1,390087.63,22
2023,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,2,2.0,2.0,4.0,3.0,1,486638.68,23
2023,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,1.0,1.0,2.0,1,491155.08,24
