año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id,year
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,1,1.0,2.0,2.0,3.0,1.0,479825.86,1,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,1,2.0,2.0,1.0,3.0,1.0,527818.15,2,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,0.0,0.0,1.0,47387.0,3,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,1.0,0.0,1.0,0.0,4,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,4.0,0.0,1.0,0.0,5,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,0.0,0.0,1.0,60652.39,6,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,1.0,0.0,2.0,0.0,7,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,1.0,4.0,2.0,1.0,673494.53,8,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,2.0,1.0,3.0,1.0,462910.45,9,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,2,1,1.0,2.0,3.0,4.0,1.0,2180000.0,10,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,2,1,2.0,2.0,2.0,4.0,1.0,1080107.0,11,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,3,3,1,1.0,2.0,1.0,2.0,1.0,584999.0,12,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,3,3,1,1.0,2.0,5.0,5.0,1.0,2683800.0,13,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,4,6,1,2.0,2.0,3.0,3.0,1.0,544600.0,14,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,1.0,2.0,5.0,4.0,1.0,1419424.56,15,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,1.0,4.0,4.0,1.0,1246000.0,16,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,2.0,2.0,1.0,633322.07,17,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,2.0,3.0,1.0,722708.19,18,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,4,2,1,1,1.0,2.0,0.0,0.0,1.0,0.0,19,2024
2024,1,13.0,Hidalgo,77.0,Tulancingo de Bravo,4,2,1,1,2.0,2.0,0.0,0.0,1.0,0.0,20,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,1.0,6.0,3.0,1.0,1024441.85,21,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,1.0,6.0,4.0,1.0,1784866.72,22,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,2.0,6.0,4.0,2.0,3568379.05,23,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,2.0,2.0,5.0,3.0,1.0,818949.14,24,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,1.0,1.0,0.0,1.0,0.0,25,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,1.0,3.0,0.0,1.0,0.0,26,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,1.0,0.0,1.0,0.0,27,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,2.0,0.0,2.0,0.0,28,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,3.0,0.0,1.0,0.0,29,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,4.0,0.0,1.0,0.0,30,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,3.0,0.0,1.0,0.0,31,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,4.0,0.0,1.0,0.0,32,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,1.0,1.0,3.0,1.0,394290.16,33,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,1.0,2.0,2.0,1.0,511212.97,34,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,2.0,2.0,3.0,1.0,371362.99,35,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,2.0,4.0,3.0,1.0,847399.52,36,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,2.0,6.0,4.0,1.0,1803059.3,37,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,2.0,2.0,2.0,2.0,1.0,572409.91,38,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,2.0,2.0,2.0,3.0,1.0,529043.97,39,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,2.0,2.0,3.0,3.0,1.0,512949.46,40,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,2.0,2.0,6.0,4.0,1.0,487221.54,41,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,2,1,2.0,2.0,2.0,4.0,1.0,1145000.0,42,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,4,4,1,1.0,2.0,2.0,4.0,1.0,302000.0,43,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,4,4,1,1.0,2.0,3.0,5.0,1.0,805354.0,44,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,4,6,1,1.0,2.0,4.0,4.0,1.0,1000000.0,45,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,1.0,2.0,4.0,4.0,1.0,1557000.0,46,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,2.0,2.0,1.0,587000.0,47,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,3.0,4.0,2.0,1303000.0,48,2024
2024,2,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,4.0,4.0,5.0,6801013.32,49,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,0.0,1.0,4.0,1.0,0.0,50,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,2.0,0.0,6.0,4.0,1.0,0.0,51,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,0.0,0.0,1.0,27786.0,52,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,1.0,0.0,3.0,0.0,53,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,2.0,0.0,2.0,0.0,54,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,3.0,0.0,1.0,0.0,55,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,4.0,0.0,2.0,0.0,56,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,2.0,0.0,1.0,0.0,57,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,1.0,3.0,3.0,1.0,631673.89,58,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,2.0,3.0,3.0,1.0,717986.74,59,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,2.0,1.0,4.0,3.0,1.0,750124.58,60,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,2.0,2.0,2.0,2.0,1.0,515546.08,61,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,2,1,2.0,2.0,1.0,3.0,1.0,27032.0,62,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,1,2,1,2.0,2.0,2.0,3.0,1.0,700000.0,63,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,1.0,2.0,2.0,3.0,1.0,783312.94,64,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,1.0,2.0,2.0,4.0,1.0,772109.22,65,2024
2024,3,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,2.0,3.0,2.0,1448556.52,66,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,2.0,1.0,3.0,2.0,1.0,658755.31,67,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,2.0,0.0,3.0,0.0,68,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,0.0,0.0,2.0,109032.0,69,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,1.0,0.0,1.0,0.0,70,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,2.0,0.0,1.0,0.0,71,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,5,1,2.0,2.0,2.0,2.0,1.0,532594.26,72,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,1.0,4.0,3.0,2.0,1649193.46,73,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,2.0,2.0,2.0,1.0,569136.27,74,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,2.0,3.0,2.0,1.0,614808.49,75,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,2.0,1.0,2.0,3.0,1.0,129756.72,76,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,2.0,2.0,2.0,2.0,2.0,1054026.7,77,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,2.0,2.0,2.0,3.0,1.0,315677.21,78,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,2.0,2.0,3.0,3.0,1.0,588845.86,79,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,2.0,2.0,4.0,3.0,1.0,797784.68,80,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,4,7,1,1.0,2.0,4.0,2.0,1.0,409751.53,81,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,4,7,1,1.0,2.0,5.0,3.0,1.0,832800.47,82,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,4,7,1,1.0,2.0,6.0,2.0,1.0,654146.61,83,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,2,1,2.0,2.0,4.0,3.0,1.0,993700.0,84,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,2,1,2.0,2.0,4.0,4.0,1.0,1011352.0,85,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,3,3,1,1.0,2.0,3.0,4.0,1.0,1293975.0,86,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,4,6,1,1.0,3.0,6.0,6.0,1.0,7000000.0,87,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,4,6,1,2.0,1.0,1.0,4.0,1.0,349461.0,88,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,2,2.0,2.0,5.0,4.0,1.0,487647.99,89,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,1.0,2.0,2.0,3.0,1.0,697112.86,90,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,1.0,2.0,4.0,4.0,2.0,3183118.52,91,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,1.0,2.0,5.0,4.0,1.0,1870202.72,92,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,1.0,1.0,3.0,1.0,554038.86,93,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,2.0,3.0,2.0,1378087.27,94,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,4.0,4.0,2.0,2989741.79,95,2024
2024,4,13.0,Hidalgo,77.0,Tulancingo de Bravo,4,2,1,1,1.0,2.0,0.0,0.0,2.0,0.0,96,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,0.0,1.0,4.0,1.0,0.0,97,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,0.0,6.0,4.0,1.0,0.0,98,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,1.0,4.0,3.0,1.0,868194.12,99,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,2.0,6.0,4.0,1.0,1616744.87,100,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,2.0,0.0,1.0,2.0,1.0,0.0,101,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,2.0,2.0,3.0,2.0,1.0,640268.57,102,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,2.0,2.0,4.0,3.0,1.0,926939.79,103,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,1,2.0,2.0,5.0,4.0,1.0,1254933.5,104,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,1.0,1.0,0.0,1.0,0.0,105,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,1.0,3.0,0.0,1.0,0.0,106,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,1.0,0.0,2.0,0.0,107,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,2.0,0.0,2.0,0.0,108,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,3.0,0.0,2.0,0.0,109,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,1.0,0.0,1.0,0.0,110,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,2.0,0.0,1.0,0.0,111,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,4.0,0.0,1.0,0.0,112,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,1.0,4.0,2.0,1.0,664955.15,113,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,2.0,3.0,2.0,1.0,674457.99,114,2024
