id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,meses_transcurridos,meses_transcurridos_fecha,tipo,Estado,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,CP,ubicacion,url,descripcion
1,E1,380000,380000,21137.48,2024-09-18,REMATE DE CASA,90,55,4222.22222222222,6909.09090909091,2024-05-03,4,2024-09-18,Casa,Venta,2,2,1,0,1,No,Campo Alegre,43626,"Fraccionamiento Campo Alegre, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-f8c36a811f63-a384-bae522c3-aa85-4fec,"INVERSIONISTA¡¡¡¡Excelente oportunidad de inversión la puedes utilizar para vivir, rentar, remodelar Y VENDER no lo pienses es tu oportunidad. Bonita casa Excelente PLUSVALIA, cerca de Escuelas, Parques, Plazas Comerciales, tiendas de conveniencia, Obtén una propiedad de un 60 % a 70 % debajo de su valor comercial. SOMOS EXPERTOS EN TRAMITES DE RECUPERACIÓN BANCARIA. ENTREGA GARANTIZADA, No se pueden adquirir mediante créditos hipotecarios (bancarios, Infonavit, fovissste). UNICAMENTE DE CONTADO ¿Te interesa esta propiedad? Para una asesoría integral, agenda una cita sin compromiso, para brindarle información detallada, puede ser por vía ZOOM o Presencial. Citas e informes 7201688150 Nuestro corporativo, lleva el proceso de principio a fin. Asesoría Gratuita. *SOMOS  TU MEJOR OPCION Y MAYOR SEGURIDAD. TRAMITES ANTE LA FE DE NOTARIO PUBLICO."
2,E1,430000,430000,23918.73,2024-09-18,HERMOSA CASA EN TULANCINGO HIDALGO - SC*,150,280,2866.66666666667,1535.71428571429,2024-05-03,4,2024-09-18,Casa,Venta,2,4,1,0,1,No,Rinconada La Morena,43660,"Fraccionamiento Rinconada La Morena, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-6a62d8a8e2f2-1b2f-1ddd8da0-9a2a-4bfa,"HERMOSA CASA EN TULANCINGO HIDALGO- 4 RECAMARAS- 2.5 BAÑOS- 2 ESTACIONAMIENTOS- 150mts DE TERRENOEXCELENTE OPORTUNIDAD DE INVERSIÓNInformes: Lic. Stephany Camargo Ver teléfono WhatsappIncreíble y única oportunidad de adquirir hermosa casa en un muy atractivo precioy con excelente plusvalía.Descuento del 50% hasta el 70% de su valor comercial. Inversión 100% segura.entrega garantizada.• solo recursos propios, nada de créditos• Agenda tu cita y conoce más detalles de TU NUEVA CASAEspecialista en recuperación de inmuebles.LIC. STEPHANY CAMARGO WhatsAppTAMBIÉN CONTESTO WHATSAPP"
3,E1,430000,430000,23918.73,2024-09-18,"BONITA CASA EN TULANCINGO, HIDALGO",280,150,1535.71428571429,2866.66666666667,2024-05-03,4,2024-09-18,Casa,Venta,2,4,1,0,1,No,Rinconada La Morena,43660,"Fraccionamiento Rinconada La Morena, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-e9307c71dcd-3e2b-dc1453db-bce0-4360,"LA CASA DE TUS SUEÑOS EXISTE, Y LA TENEMOS NOSOTROS.PRECIOSA CASA EN TULANCINGO HIDALGO, EXCELENTES VÍAS DE ACCESO COMO BOULEVAR LA MORENA Y BULEVAR E ZAPATA. CERCA A SUPERMERCADOS COMO BODEGA AURRERA, SAM ́S CLUB Y WALTMART. A UNAS CALLES DE LA PRESIDENCIA MUNICIPAL Y EL CENTRO DE TULANCINGO. RODEADA DE ESCUELAS, TIENDAS DE AUTOSERVICIO, BANCOS, CENTROS COMERCIALES.CUENTA CON:  * 4 HABITACIONES* 2 BAÑOS Y 1 MEDIO BAÑO* 2 ESTACIONAMIENTOSLIC. MICHELLE VEGACEL: Ver teléfono Whatsapp"
4,E1,430000,430000,23918.73,2024-09-18,"PRECIOSA CASA EN VENTA ZONA TULANCINGO, HIDALGO",150,420,2866.66666666667,1023.80952380952,2024-05-03,4,2024-09-18,Casa,Venta,2,4,1,0,1,No,Rinconada La Morena,43660,"Fraccionamiento Rinconada La Morena, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-dbbfdc72cb87-31f8-db5ecac9-88d6-1f2f,"PRECIOSA CASA EN TULANCINGO HIDALGO, EXCELENTES VÍAS DE ACCESO CÓMO BOULEVARD LA MORENA Y BULEVAR E ZAPATA. CERCA A SUPERMERCADOS COMO BODEGA AURRERA, SAM´S CLUB Y WALTMART. A UNAS CALLES DE LA PRESIDENCIA MUNICIPAL Y EL CENTRO DE TULANCINGO. RODEADA DE ESCUELAS, TIENDAS DE AUTOSERVICIO, BANCOS, CENTROS COMERCIALES.¡¡¡EXCELENTE OPORTUNIDAD DE INVERSIÓN!!!INFORMES: XIMENA CORTÉS Ver teléfono WhatsappESPECIALISTA EN RECUPERACIONES BANCARIAS.PRECIO POR DEBAJO DEL 50% DE SU VALOR COMERCIAL.CONTACTA Y APRENDE COMO INVERTIR DE MANERA SEGURA CON NOSOTROS.ASESORÍA SIN COSTO POR MENSAJE, LLAMADA O EN NUESTRO CORPORATIVO."
5,E1,430000,430000,23918.73,2024-09-18,"INCREIBLE CASA EN TULANCINGO, HIDALGO",150,280,2866.66666666667,1535.71428571429,2024-05-03,4,2024-09-18,Casa,Venta,2,4,1,0,1,No,Insurgentes,43640,"Insurgentes, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-9ae476c2e209-275d-6683697f-86e9-49f8,"PRECIOSA CASA EN TULANCINGO HIDALGO, EXCELENTES VÍAS DE ACCESO COMO BULEVAR LA MORENA Y BULEVAR E ZAPATA. CERCA A SUPERMERCADOS COMO BODEGA AURRERA, SAM´S CLUB Y WALTMART. A UNAS CALLES DE LA PRESIDENCIA MUNICIPAL Y EL CENTRO DE TULANCINGO. RODEADA DE ESCUELAS, TIENDAS DE AUTOSERVICIO, BANCOS, CENTROS COMERCIALES.INFORMES: DANIELA SANTOS 55 (83 68-79 55)ESPECIALISTA EN RECUPERACIONES BANCARIAS¡¡PRECIO POR DEBAJO DEL 50% DE SU VALOR COMERCIALCONTACTA Y APRENDE COMO INVERTIR DE MANERA SEGURA CON NOSOTROS.ASESORÍA SIN COSTO POR MENSAJE, LLAMADA O EN NUESTRO CORPORATIVO.EXCELLENT INVESTMENT OPPORTUNITY!!! REPORTS: DANIELA SANTOS 55 (83 68-79 55) SPECIALIST IN BANK RECOVERIES🏘 PRICE BELOW 50% OF ITS COMMERCIAL VALUE. CONTACT AND LEARN HOW TO INVEST SAFELY WITH US. THE BEST WAY TO ACQUIRE A PROPERTY HAVING ANOTHER NATIONALITY!!! FREE ADVICE BY MESSAGE, CALL IN ENGLISH OR APPOINTMENT AT OUR CORPORATE OFFICE. (MEXICO CITY)"
6,E1,430000,430000,23918.73,2024-09-18,"PRECIOSA CASA EN VENTA EN TULANCIGO, HIDALGO,EXCELENTE OPORTUNIDAD",280,150,1535.71428571429,2866.66666666667,2024-05-03,4,2024-09-18,Casa,Venta,2,4,1,0,1,No,Rinconada La Morena,43660,"Fraccionamiento Rinconada La Morena, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-db8936e093ab-7fa5-f084aba4-81a9-4f65,"PRECIOSA CASA EN TULANCINGO HIDALGO, EXCELENTES VÍAS DE ACCESO COMOBULEVAR LA MORENA Y BULEVAR E ZAPATA. CERCA A SUPERMERCADOS COMO BODEGAAURRERA, SAM´S CLUB Y WALTMART. A UNAS CALLES DE LA PRESIDENCIA MUNICIPAL Y ELCENTRO DE TULANCINGO. RODEADA DE ESCUELAS, TIENDAS DE AUTOSERVICIO, BANCOS,CENTROS COMERCIALESINFORMES Y CITAS: EMMANUEL  REYES Ver teléfono WhatsappRECUPERACIÓN BANCARIA¡EXCELENTE OPORTUNIDAD!**RECUPERACION BANCARIA** PAGO DE CONTADO EN 2 EXHIBICIONES CON RECURSOS PROPIOS, SEGUNDO PAGO A LA FIRMA DE CESIÓN DE DERECHOS, ¡INVIERTE EN TU PATRIMONIO…ES TU OPORTUNIDAD!PRECIO POR DEBAJO DEL 50% DE VALOR COMERCIALENTREGA GARANTIZADA! ESPECIALISTAS EN RECUPERACIÓN DE INMUEBLES.FOTOGRAFÍAS DE REFERENCIAASESORÍA SIN COSTO EN NUESTRO CORPORATIVO"
7,E2,500000,500000,27812.48,2024-09-18,"¡¡¡BONITA CASA EN TULANCINGO, HIDALGO!!! .SOC.",165,225,3030.30303030303,2222.22222222222,2023-12-14,9,2024-09-18,Casa,Venta,2,4,1,0,1,No,Unidad Habitacional La Morena,43775,"Unidad Habitacional La Morena, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-d3c83135766a-5b1a-91985170-a46d-4208,"* ¡GRAN OPORTUNIDAD DE COMPRAR TU CASA! * ¡SÚPER PRECIO!¡¡¡BONITA CASA EN TULANCINGO, HIDALGO!!!* ¡GRAN OPORTUNIDAD DE INVERSIÓN! *BUENA UBICACIÓN CON ALTA PLUSVALÍA.CERCA DE LA CARRETERA TULANCINGO - HAUCHINANGO Y DE LA BODEGA AURRERA TULANCINGO.RODEADA DE PARQUES, CENTROS COMERCIALES Y RESTAURANTES.BLVD. LA MORENA COMO VÍA PRINCIPAL DE ACCESO.¡PAGO SOLO CON RECURSOS PROPIOS, EN 2 EXHIBICIONES! * NO CRÉDITOS *ASESORÍA GRATUITAINFORMACIÓN Y CITAS:TEL / WHATSAPP: Ver teléfono WhatsappLIC. STEPHANIE OROZCO."
8,E2,525000,525000,29203.1,2024-09-18,Casas Solas 2 RECAMARAS MAS ALCOBA Infonavit E Issfam 90 M2 De Terreno,90,90,5833.33333333333,5833.33333333333,2023-04-24,16,2024-09-18,Casa,Venta,2,3,1,0,1,No,Jardines del Paraíso,43640,"Fracc Jardines del Paraíso, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-eaa93dd772fd-d395-61a87f1f-9342-38ac,"CASAS SOBRE AVENIDA PRINCIPAL PASAN LAS COMBIS OPORTUNIDAD PARA NEGOCIO AL FUTURO APROVECHA TU CREDITO INFONAVIT Casa En Cuautepec Hidalgo A Solo 80 MINUTOS Hora Del Distrito Federal Compras Antes Del Mes De Mayo Te Regalamos El Calentador Solar Te Llevamos Gratis A Conocer El Desarrollo De La Cuida De Creditos Infonavit Nuestro Desarrollo Cumple Con Todos Los Beneficios Del Subsidio Federal La Opurtunidad De Tener Tu Casa En Una De Las Cuidades Mas Hermosas De La Republica Mexicana Balneario Los Molinos  Hermosa Casa En Cuautepec Hidalgo A Un Super Precio $ 525,000De Infonavit Entrega Inmediata  Precios $ 525,000 Aprovecha La Oportunidad Que Estabas Esperando  Características De La Casa:  *1 Nivel  *2 Recamaras Mas Alcoba  *90.00 M2 De Terreno  *55.00 M2 De Construccion  *Crecimiento Hasta 5 Recamaras  * Muros Independientes  * 2 Estacionamientos  * Jardin Trasero  * Patio De Servicio  * Piso De Cemento Pulido  * Azulejos En Areas Humedas  *Preciosa Fachada Modernista  *Gimnasio Al Aire Libre  *Zona De Multicanchas  *Areas De Juegos Para Niños  *Transporte A Unos Cuantos Pasos De Tu Casa  *Trato Directo Con La Empresa"
9,E2,525000,525000,29203.1,2024-09-18,"CASAS SOLAS ECONOMICAS 2 RECAMARAS MAS ALCOBA, PARA INFONAVIT E ISSFAM",90,52,5833.33333333333,10096.1538461538,2023-04-28,16,2024-09-18,Casa,Venta,2,3,1,0,1,No,Huapalcalco,43640,"Huapalcalco, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-d179f04ccd-a475-35c9e50f-a5a7-32a2,"Hermosas casas solas SOBRE AVENIDA PREA HACER NEGOCIO EN EL FUTURO, PASAN LAS COMBIS FRENTE A TU CASA APROVECHAel sueño de tener tu casa propia por fin una realidad aqui si te alcanza tener tu patrimonio para ti y tu familia2 recamaras mas alcobamuros independientesestacionamiento para 2 autoscasa de concreto solido alta resistenciapreparada pára crecer a 2 nivelesprecio $ 525,000 sin acabadosprecio $ 563,000 casa con acabadosCondición construcción: nuevaEstan en CUAUTEPEC DE HINOJOSA HIDALGO"
10,E2,549000,549000,30538.1,2024-09-18,KM CASA EN VENTA GUADALUPE TULANCINGO HIDALGO,105,100,5228.57142857143,5490.0,2024-05-03,4,2024-09-18,Casa,Venta,2,2,1,0,1,No,Rancho Guadalupe,43640,"Rancho Guadalupe, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-68a8b71f53a5-1476-4b5d6cab-919c-4d63,"¡REMATE BANCARIO! (NO CREDITOS, SOLO RECURSOS PROPIOS) Me da gusto que se ponga en contacto con nosotros y poderle brindar información sobre una increíble oportunidad de inversión en el mercado inmobiliario. ¿Alguna vez ha pensado en invertir en propiedades con un potencial de crecimiento excepcional?Hoy quiero platicarle de casas que están en proceso de recuperación por parte de los bancos. Estas propiedades no solo ofrecen una sólida inversión, sino también la posibilidad de convertirse en un hogar o negocio próspero.   - Estas casas tienen precios irresistibles debido a su estado actual, lo que le brinda la oportunidad de adquirir propiedades a un costo considerablemente más bajo que el valor de mercado.   - Tenemos una variedad de propiedades disponibles, desde casas familiares hasta apartamentos, lo que permite adaptarse a diferentes perfiles de inversores En resumen, estas casas en proceso de recuperación le brindan una oportunidad de inversión financiera y sólida.  Si están buscando una inversión inteligente y emocionante, ¡no busquen más!Me gustaría agendar una cita para platicar detalles específicos y brindarle más información sobre cómo puede aprovechar esta increíble oportunidadEstamos sujetos a precios y disponibilidad. KARINA LEMUS.Ver teléfono WhatsappID: AF13838OY.TMK"
