id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,Colonia_Estandarizada,codigo_postal,ubicacion,url,descripcion
1,E2,578000,578000,28970,2024-11-05,"BONITA CASA EN VENTA EN LA MORENA, TULANCINGO",178,178,3247.191011235955,3247.191011235955,2024-02-07,0,0,2024-02-07,Casa,Venta,2,3,2,0,2.0,No,unidad habitacional,la morena,tulancingo de bravo,hidalgo,rinconada la morena,43625.0,"Unidad Habitacional La Morena, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-fbb2e5ddca9e-6caa-3dbace8f-9f6e-46b4,"UNICA OPORTUNIDAD PARA COMPRAR SU CASA POR RECUPERACION BANCARIA, ADQUIERE SU CASA A UN BAJO PRECIO. ESTE TIPO DE ADQUISICION TIENE ESTAS CARACTERISTICAS: NO SE ACEPTAN CREDITOS INFONAVIT O FOVISSTE, SOLO SE AEPTAN RECURSOS PROPIOS. LA PROPIEDAD NO SE PUEDE VER EN EL INTERIOR. LA ENTREGA ES DE 8 A 10 MESES.BONITA CASA EN VENTA EN HIDALGO, EL INMUEBLE CUENTA CON SALA, COMEDOR, COCINA, 3 RECAMARAS AMPLIAS, 2 BAÑOS, LUGAR DE ESTACIONAMIENTO PRIVADO. EXCELENTE UBICACIÓN CERCA DE: UNIVERSIDADES, ESCUELAS, HOSPITALES, CLINICAS, CAFETERIAS Y TIENDAS DE AUTO SERVICIO."
2,E2,578000,578000,28970,2024-11-05,LA CASA DE TUS SUEÑOS,178,178,3247.191011235955,3247.191011235955,2024-02-07,0,0,2024-02-07,Casa,Venta,1,3,2,0,2.0,No,unidad habitacional,la morena,tulancingo de bravo,hidalgo,rinconada la morena,43625.0,"Unidad Habitacional La Morena, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-5ba6e323a427-e36e-5423bad5-a633-46af,"HERMOSA CASA DE 2 PISOS CON EXELENTE UBICACIÓN, CON TODOS LOS SERVICIOS CERCA, ESCUELAS, FARMACIAS, BANCOS, VIAS ALTERNAS BLVD. LA MORENA Y LAS PALMAS, MAS DE 178 M2 +/-. EXCELENTE PLUSVALIA."
3,E2,620000,620000,31075,2024-11-05,Departamentos nuevos y económicos en Tulancingo,60,60,10333.333333333334,10333.333333333334,2023-04-20,288,9,2024-02-07,Departamento,Venta,1,2,1,0,1.0,No,,nuevo tulancingo,tulancingo de bravo,hidalgo,nuevo tulancingo,43612.0,"Nuevo Tulancingo, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-2bd215798759-6b9b-c4a4aff1-b239-3fed,"Oportunidad de Departamentos nuevos y económicos en Col Nuevo Tulancingo; una zona con alta plusvalía, ubicados a un costado de la nueva clinica del IMSS, ideales para una inversión segura, a solo 3 min de la Central de autobuses, Plaza del Vestido la cual es una zona de gran comercio principalmente los días jueves. A 5 minutos de Bodega Aurrera y del centro de la Ciudad, distintas vías de acceso, 15 minutos del famoso balneario de Santa Ana de aguas termales.El fraccionamiento es un complejo de 6 edificios, con barda perimetral, accesos controlados, calles de concreto hidraulico, transporte publico en la entrada principal, pequeña área comercial en el interior del mismo y áreas verdes.Los departamentos cuentan con:2 recámaras.Sala.Comedor.Cocina.Área de lavado.Área de tendido.1 baño.1 cajon de estacionamiento.PRECIO DE PREVENTA DESDE $620,000Torre 08 2do. piso $640,000.003er. piso $630,000.004to. piso $620,000.00Con plan de financiamiento a 12 Meses Sin Intereses.  Entrega completamente terminado: Agosto 2024.Torre 071er. piso (planta baja) $700 mil Baja2do. piso $690,000.003er. piso $680,000.004to. piso $670,000.00Con plan de financiamiento a 18 Meses Sin Intereses.Entrega completamente terminado: Diciembre 2024 - Enero 2025 Pregunta por la forma de pago.PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio publicado corresponde a la propiedad, NO incluye gastos de escrituración u otros conceptos. *El tiempo estimado de entrega puede cambiar según los tiempo de construcción y obra*Horario de atenciónLunes a viernes: 10:00 a 14:00 y 17:00 a 19:00Sábados: 10:00 a 14:00Domingos: previa cita""HAY UN LUGAR ESPERANDO SER TU HOGAR"""
4,E2,620000,620000,31075,2024-11-05,Departamentos nuevos y económicos en Tulancingo,60,60,10333.333333333334,10333.333333333334,2023-04-20,288,9,2024-02-07,Departamento,Venta,1,2,1,0,1.0,No,,nuevo tulancingo,tulancingo de bravo,hidalgo,nuevo tulancingo,43612.0,"Nuevo Tulancingo, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-2bd215798759-6b9b-c4a4aff1-b239-3fed,"Oportunidad de Departamentos nuevos y económicos en Col Nuevo Tulancingo; una zona con alta plusvalía, ubicados a un costado de la nueva clinica del IMSS, ideales para una inversión segura, a solo 3 min de la Central de autobuses, Plaza del Vestido la cual es una zona de gran comercio principalmente los días jueves. A 5 minutos de Bodega Aurrera y del centro de la Ciudad, distintas vías de acceso, 15 minutos del famoso balneario de Santa Ana de aguas termales.El fraccionamiento es un complejo de 6 edificios, con barda perimetral, accesos controlados, calles de concreto hidraulico, transporte publico en la entrada principal, pequeña área comercial en el interior del mismo y áreas verdes.Los departamentos cuentan con:2 recámaras.Sala.Comedor.Cocina.Área de lavado.Área de tendido.1 baño.1 cajon de estacionamiento.PRECIO DE PREVENTA DESDE $620,000Torre 08 2do. piso $640,000.003er. piso $630,000.004to. piso $620,000.00Con plan de financiamiento a 12 Meses Sin Intereses.  Entrega completamente terminado: Agosto 2024.Torre 071er. piso (planta baja) $700 mil Baja2do. piso $690,000.003er. piso $680,000.004to. piso $670,000.00Con plan de financiamiento a 18 Meses Sin Intereses.Entrega completamente terminado: Diciembre 2024 - Enero 2025 Pregunta por la forma de pago.PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio publicado corresponde a la propiedad, NO incluye gastos de escrituración u otros conceptos. *El tiempo estimado de entrega puede cambiar según los tiempo de construcción y obra*Horario de atenciónLunes a viernes: 10:00 a 14:00 y 17:00 a 19:00Sábados: 10:00 a 14:00Domingos: previa cita""HAY UN LUGAR ESPERANDO SER TU HOGAR"""
5,E3,950000,950000,47614,2024-11-05,"¡Compra Gran Oportunidad! ¡Iluminada Casa Adjudicada!  ¡Cesión Inmediata Ante Notario, Recuperación Bancaria! CS/FJCO",140,140,6785.714285714285,6785.714285714285,2023-11-21,77,2,2024-02-07,Casa,Venta,2,3,1,0,1.0,No,fraccionamiento,el mirador,tulancingo de bravo,hidalgo,el mirador,43659.0,"Fraccionamiento El Mirador, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-b4c836456869-6b00-52d6e119-9cc6-4bc5,"Usted tiene la OPORTUNIDAD de adquirir este Inmueble POR DEBAJO de su valor comercial. ¡¡PROPIEDAD DE RECUPERACIÓN BANCARIA!!¡¡PROPIEDAD YA ADJUDICADA!!VALOR COMERCIAL: 2.7 MDP PRECIO REMATE: $ 950,000.00Amplia CASA en una de la zona más tranquila de PACHUCA y con gran PLUSVALÍA, céntrica a todos los servicios, escuelas, parques, mercados y plazas comerciales.-Oferta de recuperación bancaria por créditos hipotecarios NO pagados. -Contamos con convenios y contratos con los principales Bancos de México para comercializar sus Inmuebles. *Inmuebles ADJUDICADOS.*Inmuebles que ya recuperamos.¡¡¡CONTÁCTANOS!!! Y recibe más información, una explicación detallada de este inmueble y el proceso de compra.Contamos con una amplia cartera de Inmuebles en toda la CDMX, ESTADO DE MÉXICO, PUEBLA, QUERÉTARO, JALISCO, SAN LUIS POTOSÍ, MORELOS y el resto de la República. Somos Bróker directo de Bancos."
6,S1,4500000,4500000,225541,2024-11-05,"Se vende casa en Tulancingo, Fraccionamiento San Francisco Huatengo.",200,287,22500.0,15679.4425087108,2024-01-11,27,0,2024-02-07,Casa,Venta,2,2,1,0,1.0,No,,residencial la quinta,tulancingo de bravo,hidalgo,san francisco huatengo,43704.0,"Residencial La Quinta, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-cfbd09274c36-b108-c2a1f4e9-ad07-1237,"Se vende casa en Tulancingo Hidalgo Fraccionamiento San Francisco Huatengo 200 m de terreno Planta Baja:comedor sala Cocina equipada Barra con bancos Cuarto de despensaÁrea de cantina y cantina integrada Amplio jardín con fuente y luz integrada Medio baño Planta alta: Recama principal con clóset vestidor una habitación completa con 2 clóset amplios Baño completo y tina de hidromasaje 2 recámaras junior con clóset y terraza Un baño completo Segunda planta Cuarto de servicio (cabe una habitación matrimonial)Baño completo Cuarto de visitas o área de juegos Roof garden, asador, velaría y cuarto de trebejos200 m de terreno y 287.20 de construcción"
7,D1,1195000,1195000,59894,2024-11-05,"CASA NUEVA EN VENTA FRACC. RANCHO NUEVO, TULANCINGO",70,70,17071.428571428572,17071.428571428572,2023-04-21,287,9,2024-02-07,Casa En Fraccionamiento,Venta,2,2,1,0,1.0,No,fraccionamiento,valle verde,tulancingo de bravo,hidalgo,valle verde,43648.0,"Fraccionamiento Valle Verde, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-c3f7c41aef02-2fcf-be192fd5-ab4c-3eca,"CASA EN FRACC. RANCHO NUEVO Rancho Nuevo es una zona con excelente plusvalía que cuenta con todos los servicios, áreas verdes, zona tranquila y segura para comenzar un patrimonio con tu familia. Está a unos metros de carretera, escuelas públicas, privadas, salones de fiestas, tiendas locales y comerciales (SAM´S, VIPS, CINES, OFFICE DEPOT, BANCOS, AUTO CINE, VETERINARIAS y demás.)  La casa cuenta con:  Sala.. Cocina-comedor. 2 recámaras. 1 baño. Área de lavado.  ACABADOS:  Piso de loseta cerámica. Azulejo en muros de regadera. Piedra natural en fachada. Impermeabilizante.   Pregunta por la forma de pago. PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO *El precio publicado corresponde a la propiedad, NO incluye gastos de escrituración u otros conceptos.  Horario de atención Lunes a viernes: 10:00 a 14:00 y 17:00 a 19:00 Sábados: 10:00 a 14:00 Domingos: previa cita ""HAY UN LUGAR ESPERANDO SER TU HOGAR"""
8,E3,812000,812000,40698,2024-11-05,Casa en venta Tulancingo a 5 minutos de Plaza Patio,72,58,11277.777777777776,14000.0,2023-04-24,284,9,2024-02-07,Casa En Fraccionamiento,Venta,1,2,1,0,1.0,No,,villa sol,tulancingo de bravo,hidalgo,villa sol,43648.0,"Villa Sol, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-a3dff86c0cda-487c-b98f7f6b-aec2-3bfe,"Vive la experiencia de vivir en uno de los lugares más emblemáticos del país en dónde la herencia cultural prehispánica y la tranquilidad de la vida cotidiana se fusionan.Casa con increíbles amenidades: Áreas verdes, jardín común con juegos infantiles, caseta de entrada y salida, trotapista y ciclopista, alumbardo público fotovoltaico, planta de tratamiento de aguas Residuales para reuso.Ubicada en la mejor zona de la ciudad, muy cerca de:Centro comercial Patio Tulancingo.Universidad Tecnológica deTulancingoSam’s Club WalmartCentral de abastosHospital General Tulancingo, BimboCoca Cola CFE"
9,E3,843000,843000,42251,2024-11-05,Casa en venta Tulancingo Hidalgo,72,61,11708.333333333334,13819.67213114754,2023-04-24,284,9,2024-02-07,Casa En Fraccionamiento,Venta,1,2,1,0,1.0,No,,villa sol,tulancingo de bravo,hidalgo,villa sol,43648.0,"Villa Sol, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-55eb54793d25-880b-e2df7533-933e-3cf2,"Vive la experiencia de vivir en uno de los lugares más emblemáticos del país en dónde la herencia cultural prehispánica y la tranquilidad de la vida cotidiana se fusionan.Casa con increíbles amenidades: Áreas verdes, jardín común con juegos infantiles, caseta de entrada y salida, trotapista y ciclopista, alumbardo público fotovoltaico, planta de tratamiento de aguas Residuales para reuso.Ubicada en la mejor zona de la ciudad, muy cerca de:Centro comercial Patio Tulancingo.Universidad Tecnológica deTulancingoSam’s Club WalmartCentral de abastosHospital General Tulancingo, BimboCoca Cola CFE"
10,E3,920000,920000,46111,2024-11-05,Casa en venta Tulancingo Hidalgo,72,66,12777.777777777776,13939.39393939394,2023-04-24,284,9,2024-02-07,Casa En Fraccionamiento,Venta,2,2,1,0,1.0,No,fraccionamiento,valle verde,tulancingo de bravo,hidalgo,valle verde,43648.0,"Fraccionamiento Valle Verde, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-6756a15193a6-bc40-86d16cf5-862d-3197,"Vive la experiencia de vivir en uno de los lugares más emblemáticos del país en dónde la herencia cultural prehispánica y la tranquilidad de la vida cotidiana se fusionan.Casa con increíbles amenidades: Áreas verdes, jardín común con juegos infantiles, caseta de entrada y salida, trotapista y ciclopista, alumbardo público fotovoltaico, planta de tratamiento de aguas Residuales para reuso.Ubicada en la mejor zona de la ciudad, muy cerca de:Centro comercial Patio Tulancingo.Universidad Tecnológica deTulancingoSam’s Club WalmartCentral de abastosHospital General Tulancingo, BimboCoca Cola CFE"
