id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,Estado,url
1,E1,430000,430000,23918.73,2024-09-18,HERMOSA CASA EN VENTA EN SAUCE TULANCINGO HIDALGO,150,280,2866.66666666667,1535.71428571429,2024-04-03,7.0,0.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-251cc42ea3cd-fbaa-847c8ada-8a91-410c
2,E1,430000,430000,23918.73,2024-09-18,"Acogedora casa en Tulancingo, Hidalgo",150,280,2866.66666666667,1535.71428571429,2024-02-26,45.0,1.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-86871f3c61d2-adbb-2f46a126-9805-4f92
3,E1,430000,430000,23918.73,2024-09-18,"Preciosa casa en SAUCE 201, RINCONADA LA MORENA, 43625 TULANCINGO, HGO.",150,280,2866.66666666667,1535.71428571429,2024-04-03,7.0,0.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-17cbf7a5bfa5-7a9f-c1204fb3-bc40-4133
4,E1,430000,430000,23918.73,2024-09-18,HERMOSA PROIEDAD EN TULANCINGO HIDALGO,150,280,2866.66666666667,1535.71428571429,,,,2024-04-10,Casa,Venta,1,4,1,0,1,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-a57baf78ccf8-5dea-6e41bc16-9982-4b65
5,E1,430000,430000,23918.73,2024-09-18,"PRECIOSA CASA EN TULANCINGO, HIDALGO",150,280,2866.66666666667,1535.71428571429,,,,2024-04-10,Casa,Venta,1,4,1,0,1,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-65193ca92e98-4692-858dee17-9aa0-4ca5
6,E1,430000,430000,23918.73,2024-09-18,"Â¡PRECIOSA CASA EN TULANCINGO, HIDALGO!",150,280,2866.66666666667,1535.71428571429,2024-02-29,42.0,1.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-4d7fa79d04ca-23af-545267bd-af20-4425
7,E1,430000,430000,23918.73,2024-09-18,PRECIOSA CASA EN TULANCINGO,150,280,2866.66666666667,1535.71428571429,2024-02-26,45.0,1.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-a8deca892771-c9bb-2a051ca7-b556-4eb1
8,E1,430000,430000,23918.73,2024-09-18,"INCREIBLE CASA EN TULANCINGO, HIDALGO",150,280,2866.66666666667,1535.71428571429,2024-02-26,45.0,1.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,Jardines Del Sur,Venta,https://www.lamudi.com.mx//detalle/41032-73-9ae476c2e209-275d-6683697f-86e9-49f8
9,E1,430000,430000,23918.73,2024-09-18,"PRECIOSA CASA EN VENTA EN TULANCIGO, HIDALGO,EXCELENTE OPORTUNIDAD",280,150,1535.71428571429,2866.66666666667,2024-02-24,47.0,1.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-db8936e093ab-7fa5-f084aba4-81a9-4f65
10,E1,430000,430000,23918.73,2024-09-18,BONITA CASA CERCANA AL CENTRO DE TULANCINGO.,280,150,1535.71428571429,2866.66666666667,2024-04-03,7.0,0.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-b325cd566294-ff3a-d623fea-a3b2-4897
11,E1,430000,430000,23918.73,2024-09-18,"BONITA CASA EN TULANCINGO, HIDALGO",280,150,1535.71428571429,2866.66666666667,2024-02-24,47.0,1.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,Insurgentes,Venta,https://www.lamudi.com.mx//detalle/41032-73-e9307c71dcd-3e2b-dc1453db-bce0-4360
12,E1,440000,440000,24474.98,2024-09-18,"Preciosa casa en Tulancingo de Bravo, Hidalgo",115,200,3826.08695652174,2200.0,,,,2024-04-10,Casa,Venta,1,4,1,0,1,no,Jardines Del Sur,Venta,https://www.lamudi.com.mx//detalle/41032-73-6ed09ec6e9e9-d293-b863d558-b9d3-4f4e
13,E1,440000,440000,24474.98,2024-09-18,EN VENTA HERMOSA PROPIEDAD EN TULANCINGO,115,200,3826.08695652174,2200.0,,,,2024-04-10,Casa,Venta,1,4,1,0,1,no,Jardines Del Sur,Venta,https://www.lamudi.com.mx//detalle/41032-73-7917086b5819-d800-c8279c5a-a9e0-4e39
14,E1,445000,445000,24753.11,2024-09-18,VENTA DE CASA C CARLOS CHÃVEZ JARDINES DEL SUR TULANCINGO,115,200,3869.5652173913,2225.0,2024-04-02,8.0,0.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,Jardines Del Sur,Venta,https://www.lamudi.com.mx//detalle/41032-73-749297cfeed6-af28-a292334-8fe1-4ca3
15,E1,455000,455000,25309.35,2024-09-18,VENTA DE CASA CARLOS CHÃVEZ JARDINES DEL SUR 4TA SECC TULANCINGO,115,200,3956.52173913043,2275.0,2024-04-02,8.0,0.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,Jardines Del Sur,Venta,https://www.lamudi.com.mx//detalle/41032-73-ee5d2509a01e-cac-1d54b638-be42-455c
16,E1,455000,455000,25309.35,2024-09-18,VENTA DE CASA EN TULANCINGO HIDALGO,115,200,3956.52173913043,2275.0,2024-03-26,15.0,0.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,Jaltepec,Venta,https://www.lamudi.com.mx//detalle/41032-73-f01bb06c8253-8033-fab37d7d-a8c0-4a56
17,E1,455000,455000,25309.35,2024-09-18,VENTA DE CASA EN TULANCINGO,100,180,4550.0,2527.77777777778,2024-04-01,9.0,0.0,2024-04-10,Casa,Venta,1,3,2,0,2,no,Jardines Del Sur,Venta,https://www.lamudi.com.mx//detalle/41032-73-ec6dc6be7b68-6fec-ab37b14c-8eb4-4fdb
18,E1,487467,487467,27115.33,2024-09-18,vomo_ INVIERTE AHORA EN CASA DE RECUPERACIÃ“N BANCARIA EN RINCONES DE LA HACIENDA DE TULANCINGO HIDALGO!!Â¡Â¡,96,75,5077.78125,6499.56,2024-03-13,28.0,0.0,2024-04-10,Departamento,Venta,1,2,1,0,1,no,Jardines Del Sur,Venta,https://www.lamudi.com.mx//detalle/41032-73-51571d92baa0-50c0-7c510d55-8ea6-43c2
19,E2,500000,500000,27812.48,2024-09-18,"HERMOSA CASA EN, JARDINES DEL SUR 3 SECC, TULANCINGO, HIDALGO",230,320,2173.91304347826,1562.5,2024-02-02,68.0,2.0,2024-04-10,Casa,Venta,1,5,2,0,2,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-b843ac7f99a5-fd-eaac92f6-a4ea-4e0a
20,E2,500000,500000,27812.48,2024-09-18,"Â¡Â¡Â¡BONITA CASA EN TULANCINGO, HIDALGO!!! .SOC.",165,225,3030.30303030303,2222.22222222222,2023-12-14,117.0,3.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,Lomas de Progreso,Venta,https://www.lamudi.com.mx//detalle/41032-73-d3c83135766a-5b1a-91985170-a46d-4208
21,E2,520000,520000,28924.98,2024-09-18,CASA EN VENTA TULANCINGO HIDALGO,120,240,4333.33333333333,2166.66666666667,2023-05-05,335.0,11.0,2024-04-10,Casa,Venta,1,4,2,0,2,no,Lomas Del Paraíso,Venta,https://www.lamudi.com.mx//detalle/41032-73-164b00fed1ad-5af1-9809fced-b47e-3231
22,E2,525000,525000,29203.1,2024-09-18,Casas Solas 2 RECAMARAS MAS ALCOBA Infonavit E Issfam 90 M2 De Terreno,90,90,5833.33333333333,5833.33333333333,2023-04-24,347.0,11.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,Huapalcalco,Venta,https://www.lamudi.com.mx//detalle/41032-73-eaa93dd772fd-d395-61a87f1f-9342-38ac
23,E2,525000,525000,29203.1,2024-09-18,"CASAS SOLAS ECONOMICAS 2 RECAMARAS MAS ALCOBA, PARA INFONAVIT E ISSFAM",90,52,5833.33333333333,10096.1538461538,2023-04-28,343.0,11.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,Francisco I. Madero,Venta,https://www.lamudi.com.mx//detalle/41032-73-d179f04ccd-a475-35c9e50f-a5a7-32a2
24,E2,549000,549000,30538.1,2024-09-18,EXCELENTE OPORTUNIDAD DE INVERSION,100,100,5490.0,5490.0,2024-02-26,45.0,1.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,Vicente Guerrero,Venta,https://www.lamudi.com.mx//detalle/41032-73-3a3d04d96fed-489c-52400312-9e25-44c6
25,E2,550000,550000,30593.73,2024-09-18,"CASA EN VENTA VICENTE GUERRERO, TULANCINGO HIDALGO MJH",125,205,4400.0,2682.92682926829,2023-11-27,134.0,4.0,2024-04-10,Casa,Venta,1,3,2,0,2,no,La Morena,Venta,https://www.lamudi.com.mx//detalle/41032-73-f2a6b856db06-fa8c-631f5c75-a8f9-4af2
26,E2,560000,560000,31149.97,2024-09-18,ES HORA DE REALIZAR TU SUEÃ‘O Y ADQUIRIR ESTA HERMOSA CASA EN TULANCINGO HIDALGO,114,206,4912.28070175439,2718.44660194175,2024-01-16,85.0,2.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-f86cc0bfb87a-5642-7b90e0af-9609-458d
27,E2,560000,560000,31149.97,2024-09-18,"EXCELENTE CASA EN VENTA DE LAS FUENTES, LA MORENA TULANCINGO HIDALGO",120,180,4666.66666666667,3111.11111111111,2024-03-21,20.0,0.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-8d11b20029fc-60b-317f5ab2-bded-422e
28,E2,560000,560000,31149.97,2024-09-18,VENTA DE CASA EN TULANCINGO DE BRAVO HIDALGO DE LA COLONIA LA MORENA SECC NTE B,120,180,4666.66666666667,3111.11111111111,2024-02-21,50.0,1.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-f12876b5cd04-24fe-2a9b5c8f-b852-4ffe
29,E2,560000,560000,31149.97,2024-09-18,"EXCELENTE CASA EN VENTA DE LAS FUENTES, LA MORENA TULANCINGO HIDALGO",120,180,4666.66666666667,3111.11111111111,2024-02-21,50.0,1.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-f4ce5f5b66e1-be0e-651e4e35-a374-4e5a
30,E2,560000,560000,31149.97,2024-09-18,VENTA DE CASA EN HIDALGO,120,180,4666.66666666667,3111.11111111111,,,,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-2896c8b2682a-32b7-e4c3b95c-856a-40c6
31,E2,560000,560000,31149.97,2024-09-18,"VENTA DE CASA EN LA MORENA SECC. NORTE, TULANCINGO, HGO.",120,180,4666.66666666667,3111.11111111111,2024-02-27,44.0,1.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-97b436767fac-98aa-784cc262-919d-5012
32,E2,560000,560000,31149.97,2024-09-18,"CASA EN VENTA DE RECUPERACIÃ“N BANCARIA EN De Las Fuentes, La Morena SecciÃ³n Norte B, Tulancingo, Estado de Hidalgo, MÃ©xico",120,180,4666.66666666667,3111.11111111111,2024-03-06,34.0,1.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-cde901e0e291-f4e2-37869f3d-b4d8-4410
33,E2,560000,560000,31149.97,2024-09-18,VENTA DE CASA EN TULANCINGO COL LA MORENA TULANCINGO HIDALGO,120,180,4666.66666666667,3111.11111111111,,,,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-289d104a760d-af40-c277d639-b968-4510
34,E2,560000,560000,31149.97,2024-09-18,venta de cas en tulancingo,120,180,4666.66666666667,3111.11111111111,2024-03-02,38.0,1.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,Jardines Del Sur,Venta,https://www.lamudi.com.mx//detalle/41032-73-988056f1134f-ac8b-b7dfec29-98bb-477b
35,E2,570000,570000,31706.22,2024-09-18,"HERMOSA Y AMPLIA CASA EN JARDINES DEL SUR TULANCINGO HIDALGO, SUPER PRECIO!!!",225,360,2533.33333333333,1583.33333333333,2024-02-02,68.0,2.0,2024-04-10,Casa,Venta,1,4,3,0,3,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-9a87f2e30aa8-b101-a994006c-990c-4cc8
36,E2,578000,578000,32151.22,2024-09-18,"Casa en venta en Tulancingo de Bravo, Hidalgo en 578,000 pesos",178,178,3247.19101123596,3247.19101123596,2023-11-15,146.0,4.0,2024-04-10,Casa,Venta,1,3,2,0,2,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-c9fbbd9465df-c54-3b7cdb6-b0e3-4a13
37,E2,578000,578000,32151.22,2024-09-18,"BONITA CASA EN VENTA EN LA MORENA, TULANCINGO",178,178,3247.19101123596,3247.19101123596,2024-01-29,72.0,2.0,2024-04-10,Casa,Venta,1,3,2,0,2,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-fbb2e5ddca9e-6caa-3dbace8f-9f6e-46b4
38,E2,578000,578000,32151.22,2024-09-18,"CASA EN VENTA , PACHUCA",178,178,3247.19101123596,3247.19101123596,,,,2024-04-10,Casa,Venta,1,3,2,0,2,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-cd9e346a20ef-c774-4ddc6d4-8fac-47b0
39,E2,580000,580000,32262.47,2024-09-18,"Casa en venta en Rinconada La Morena, Tulancingo Hidalgo. VPV",160,280,3625.0,2071.42857142857,2024-02-01,69.0,2.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,Vicente Guerrero,Venta,https://www.lamudi.com.mx//detalle/41032-73-823dbe357fb8-2f45-5ab98864-b5b7-4a16
40,E2,580000,580000,32262.47,2024-09-18,PRECIOSA CASA EN TULANCINGO HIDALGO OAHM,150,280,3866.66666666667,2071.42857142857,2023-11-23,138.0,4.0,2024-04-10,Casa,Venta,1,4,1,0,1,no,Vicente Guerrero,Venta,https://www.lamudi.com.mx//detalle/41032-73-31c0d0c8c869-3288-13762b7d-982b-4ede
41,E2,580000,580000,32262.47,2024-09-18,CASA EN VENTA EN TULANCINGO HIDALGO EXCELENTE PRECIO.,110,110,5272.72727272727,5272.72727272727,2024-04-03,7.0,0.0,2024-04-10,Casa,Venta,1,3,2,0,2,no,Vicente Guerrero,Venta,https://www.lamudi.com.mx//detalle/41032-73-b41b6e7e57d0-bf9b-d0b8f1ea-a6ea-44b9
