"Sex ID","Sex","Age Range ID","Age Range","Population","Population_","Percentage"
1,"Hombre",1,"0 a 4 años",10129,-10129,3.245465352118092
1,"Hombre",2,"5 a 9 años",10947,-10947,3.5075633537009328
1,"Hombre",3,"10 a 14 años",11747,-11747,3.763893917596132
1,"Hombre",4,"15 a 19 años",12982,-12982,4.159604225609346
1,"Hombre",5,"20 a 24 años",13434,-13434,4.304430994210134
1,"Hombre",6,"25 a 29 años",12530,-12530,4.014777457008558
1,"Hombre",7,"30 a 34 años",11337,-11337,3.6325245035998424
1,"Hombre",8,"35 a 39 años",10610,-10610,3.3995841036600796
1,"Hombre",9,"40 a 44 años",9831,-9831,3.14998221706713
1,"Hombre",10,"45 a 49 años",9533,-9533,3.054499082016168
1,"Hombre",11,"50 a 54 años",8951,-8951,2.868018596782411
1,"Hombre",12,"55 a 59 años",7543,-7543,2.41687680432686
1,"Hombre",13,"60 a 64 años",6560,-6560,2.1019106239406335
1,"Hombre",14,"65 a 69 años",4810,-4810,1.5411875154198855
1,"Hombre",15,"70 a 74 años",3328,-3328,1.0663351458040289
1,"Hombre",16,"75 a 79 años",2103,-2103,0.673828969839505
1,"Hombre",17,"80 a 84 años",1109,-1109,0.35533824419971993
1,"Hombre",18,"85 años o más",961,-961,0.3079170898791081
2,"Mujer",1,"0 a 4 años",9832,9832,3.1503026302719985
2,"Mujer",2,"5 a 9 años",10719,10719,3.434509142990801
2,"Mujer",3,"10 a 14 años",11583,11583,3.711346151997616
2,"Mujer",4,"15 a 19 años",12828,12828,4.11026059205952
2,"Mujer",5,"20 a 24 años",13241,13241,4.2425912456704165
2,"Mujer",6,"25 a 29 años",12947,12947,4.1483897634389315
2,"Mujer",7,"30 a 34 años",12762,12762,4.089113320538166
2,"Mujer",8,"35 a 39 años",12180,12180,3.9026328353044084
2,"Mujer",9,"40 a 44 años",11635,11635,3.728007638650804
2,"Mujer",10,"45 a 49 años",11572,11572,3.7078216067440573
2,"Mujer",11,"50 a 54 años",11133,11133,3.5671602098065662
2,"Mujer",12,"55 a 59 años",9300,9300,2.979842805281691
2,"Mujer",13,"60 a 64 años",8019,8019,2.5693934898445034
2,"Mujer",14,"65 a 69 años",5738,5738,1.8385309695383167
2,"Mujer",15,"70 a 74 años",4133,4133,1.3242677757235732
2,"Mujer",16,"75 a 79 años",2644,2644,0.8471725136736336
2,"Mujer",17,"80 a 84 años",1725,1725,0.5527127783990233
2,"Mujer",18,"85 años o más",1661,1661,0.5322063332874075
