"Sex ID","Sex","Age Range ID","Age Range","Population","Population_","Percentage"
1,"Hombre",1,"0 a 4 años",60146,-60146,3.556458017108795
1,"Hombre",2,"5 a 9 años",62979,-62979,3.723974486407987
1,"Hombre",3,"10 a 14 años",65953,-65953,3.899828344401562
1,"Hombre",4,"15 a 19 años",72578,-72578,4.291567352205003
1,"Hombre",5,"20 a 24 años",77509,-77509,4.583139434843307
1,"Hombre",6,"25 a 29 años",69786,-69786,4.1264752299729714
1,"Hombre",7,"30 a 34 años",60006,-60006,3.5481797588306843
1,"Hombre",8,"35 a 39 años",57778,-57778,3.4164371913761835
1,"Hombre",9,"40 a 44 años",55103,-55103,3.2582633278480015
1,"Hombre",10,"45 a 49 años",52131,-52131,3.082527730686971
1,"Hombre",11,"50 a 54 años",45955,-45955,2.717338279789756
1,"Hombre",12,"55 a 59 años",36298,-36298,2.146315849848951
1,"Hombre",13,"60 a 64 años",31014,-31014,1.833870730266554
1,"Hombre",14,"65 a 69 años",23209,-23209,1.3723578312618965
1,"Hombre",15,"70 a 74 años",16669,-16669,0.9856449088415937
1,"Hombre",16,"75 a 79 años",10462,-10462,0.6186224150399396
1,"Hombre",17,"80 a 84 años",6332,-6332,0.3744137958356813
1,"Hombre",18,"85 años o más",5075,-5075,0.3000868625815039
2,"Mujer",1,"0 a 4 años",58784,58784,3.4759223901460343
2,"Mujer",2,"5 a 9 años",61155,61155,3.616120607127462
2,"Mujer",3,"10 a 14 años",63725,63725,3.768085776947061
2,"Mujer",4,"15 a 19 años",70474,70474,4.167156956368257
2,"Mujer",5,"20 a 24 años",77391,77391,4.576162045723186
2,"Mujer",6,"25 a 29 años",72227,72227,4.270812576093454
2,"Mujer",7,"30 a 34 años",65913,65913,3.897463127750673
2,"Mujer",8,"35 a 39 años",64856,64856,3.834962277750939
2,"Mujer",9,"40 a 44 años",64974,64974,3.841939666871061
2,"Mujer",10,"45 a 49 años",60919,60919,3.6021658288872187
2,"Mujer",11,"50 a 54 años",55536,55536,3.283866798093872
2,"Mujer",12,"55 a 59 años",44099,44099,2.6075922271885204
2,"Mujer",13,"60 a 64 años",39236,39236,2.3200410128567266
2,"Mujer",14,"65 a 69 años",29424,29424,1.7398533683937283
2,"Mujer",15,"70 a 74 años",21815,21815,1.2899300309784252
2,"Mujer",16,"75 a 79 años",13658,13658,0.8076032254459468
2,"Mujer",17,"80 a 84 años",9532,9532,0.5636311279067774
2,"Mujer",18,"85 años o más",8476,8476,0.5011894083233157
