"Sex ID","Sex","Age Range ID","Age Range","Population","Population_","Percentage"
1,"Hombre",1,"0 a 4 años",94523,-94523,4.002425430092525
1,"Hombre",2,"5 a 9 años",99958,-99958,4.232561822426167
1,"Hombre",3,"10 a 14 años",100847,-100847,4.270205107207143
1,"Hombre",4,"15 a 19 años",99841,-99841,4.227607644339132
1,"Hombre",5,"20 a 24 años",104347,-104347,4.418407015793665
1,"Hombre",6,"25 a 29 años",105543,-105543,4.469049725127803
1,"Hombre",7,"30 a 34 años",94293,-94293,3.9926864475282673
1,"Hombre",8,"35 a 39 años",87967,-87967,3.724822083608742
1,"Hombre",9,"40 a 44 años",79318,-79318,3.358593995790219
1,"Hombre",10,"45 a 49 años",71841,-71841,3.041992375646954
1,"Hombre",11,"50 a 54 años",59009,-59009,2.4986418353663105
1,"Hombre",12,"55 a 59 años",46132,-46132,1.9533858419752688
1,"Hombre",13,"60 a 64 años",37769,-37769,1.5992679672583874
1,"Hombre",14,"65 a 69 años",26736,-26736,1.1320932079912163
1,"Hombre",15,"70 a 74 años",18799,-18799,0.7960136227194372
1,"Hombre",16,"75 a 79 años",12516,-12516,0.5299700251054034
1,"Hombre",17,"80 a 84 años",7578,-7578,0.3208783037910472
1,"Hombre",18,"85 años o más",6403,-6403,0.27112480590842897
2,"Mujer",1,"0 a 4 años",93370,93370,3.9536034870638788
2,"Mujer",2,"5 a 9 años",97011,97011,4.107775815396315
2,"Mujer",3,"10 a 14 años",97754,97754,4.139236963419111
2,"Mujer",4,"15 a 19 años",98300,98300,4.162356461158609
2,"Mujer",5,"20 a 24 años",104692,104692,4.433015489640051
2,"Mujer",6,"25 a 29 años",108596,108596,4.598324132817703
2,"Mujer",7,"30 a 34 años",100283,100283,4.246323428223487
2,"Mujer",8,"35 a 39 años",94776,94776,4.013138310913208
2,"Mujer",9,"40 a 44 años",86410,86410,3.658893405988966
2,"Mujer",10,"45 a 49 años",77991,77991,3.3024043007347
2,"Mujer",11,"50 a 54 años",66848,66848,2.830571767197667
2,"Mujer",12,"55 a 59 años",51771,51771,2.192160288409383
2,"Mujer",13,"60 a 64 años",42960,42960,1.8190725693934267
2,"Mujer",14,"65 a 69 años",31097,31097,1.316752786090023
2,"Mujer",15,"70 a 74 años",22180,22180,0.9391766664140176
2,"Mujer",16,"75 a 79 años",14901,14901,0.6309590399565049
2,"Mujer",17,"80 a 84 años",9743,9743,0.41255177010242444
2,"Mujer",18,"85 años o más",9540,9540,0.40395605940440615
