"Sex ID","Sex","Age Range ID","Age Range","Population","Population_","Percentage"
1,"Hombre",1,"0 a 4 años",339122,-339122,4.087235299080402
1,"Hombre",2,"5 a 9 años",363911,-363911,4.386002338166347
1,"Hombre",3,"10 a 14 años",364020,-364020,4.387316050186209
1,"Hombre",4,"15 a 19 años",362796,-362796,4.372563907871425
1,"Hombre",5,"20 a 24 años",351982,-351982,4.242229212616457
1,"Hombre",6,"25 a 29 años",331070,-331070,3.990189343264514
1,"Hombre",7,"30 a 34 años",312917,-312917,3.7714020561400967
1,"Hombre",8,"35 a 39 años",295336,-295336,3.5595087440189945
1,"Hombre",9,"40 a 44 años",266310,-266310,3.2096756698123436
1,"Hombre",10,"45 a 49 años",248266,-248266,2.9922020947077894
1,"Hombre",11,"50 a 54 años",210067,-210067,2.5318123199672176
1,"Hombre",12,"55 a 59 años",167535,-167535,2.019199479336154
1,"Hombre",13,"60 a 64 años",144991,-144991,1.7474900868978318
1,"Hombre",14,"65 a 69 años",111583,-111583,1.344843379011944
1,"Hombre",15,"70 a 74 años",84464,-84464,1.0179942389509586
1,"Hombre",16,"75 a 79 años",56892,-56892,0.6856853599450411
1,"Hombre",17,"80 a 84 años",33970,-33970,0.4094201588506828
1,"Hombre",18,"85 años o más",27720,-27720,0.3340926347760061
2,"Mujer",1,"0 a 4 años",331861,331861,3.999722794711405
2,"Mujer",2,"5 a 9 años",354189,354189,4.268828867917706
2,"Mujer",3,"10 a 14 años",350886,350886,4.229019777994721
2,"Mujer",4,"15 a 19 años",353463,353463,4.260078822721192
2,"Mujer",5,"20 a 24 años",352377,352377,4.246989912137976
2,"Mujer",6,"25 a 29 años",337264,337264,4.064841932723481
2,"Mujer",7,"30 a 34 años",326089,326089,3.93015631967796
2,"Mujer",8,"35 a 39 años",307567,307567,3.706921695532174
2,"Mujer",9,"40 a 44 años",283549,283549,3.41744705981608
2,"Mujer",10,"45 a 49 años",263271,263271,3.1730484145062734
2,"Mujer",11,"50 a 54 años",234622,234622,2.8277590965518073
2,"Mujer",12,"55 a 59 años",189545,189545,2.284472888117535
2,"Mujer",13,"60 a 64 años",168020,168020,2.0250448952043487
2,"Mujer",14,"65 a 69 años",128970,128970,1.5543985247857686
2,"Mujer",15,"70 a 74 años",96956,96956,1.1685528678694965
2,"Mujer",16,"75 a 79 años",63993,63993,0.7712694796977256
2,"Mujer",17,"80 a 84 años",42525,42525,0.5125284738041003
2,"Mujer",18,"85 años o más",39001,39001,0.4700558026298345
