"Sex ID","Sex","Age Range ID","Age Range","Population","Population_","Percentage"
1,"Hombre",1,"0 a 4 años",11680,-11680,4.003276654522024
1,"Hombre",2,"5 a 9 años",12298,-12298,4.215093861071219
1,"Hombre",3,"10 a 14 años",12592,-12592,4.315861270012099
1,"Hombre",4,"15 a 19 años",12248,-12248,4.197956546625491
1,"Hombre",5,"20 a 24 años",13436,-13436,4.605139137855985
1,"Hombre",6,"25 a 29 años",13145,-13145,4.505399967781849
1,"Hombre",7,"30 a 34 años",12274,-12274,4.20686795013727
1,"Hombre",8,"35 a 39 años",11317,-11317,3.878859751646039
1,"Hombre",9,"40 a 44 años",9928,-9928,3.40278515634372
1,"Hombre",10,"45 a 49 años",9258,-9258,3.1731451427709665
1,"Hombre",11,"50 a 54 años",8062,-8062,2.763220581229157
1,"Hombre",12,"55 a 59 años",6170,-6170,2.114744602602815
1,"Hombre",13,"60 a 64 años",4882,-4882,1.673287382480866
1,"Hombre",14,"65 a 69 años",3592,-3592,1.231144669781088
1,"Hombre",15,"70 a 74 años",2362,-2362,0.8095667344161832
1,"Hombre",16,"75 a 79 años",1437,-1437,0.49252641717021806
1,"Hombre",17,"80 a 84 años",859,-859,0.2944190621776043
1,"Hombre",18,"85 años o más",609,-609,0.2087324899489651
2,"Mujer",1,"0 a 4 años",11518,11518,3.9477517557178645
2,"Mujer",2,"5 a 9 años",11751,11751,4.027611641034957
2,"Mujer",3,"10 a 14 años",12231,12231,4.192129859713944
2,"Mujer",4,"15 a 19 años",11982,11982,4.1067860337742195
2,"Mujer",5,"20 a 24 años",13143,13143,4.50471447520402
2,"Mujer",6,"25 a 29 años",12987,12987,4.451246054133349
2,"Mujer",7,"30 a 34 años",12243,12243,4.196242815180919
2,"Mujer",8,"35 a 39 años",11002,11002,3.770894670637954
2,"Mujer",9,"40 a 44 años",9934,9934,3.404841634077207
2,"Mujer",10,"45 a 49 años",9363,9363,3.209133503106995
2,"Mujer",11,"50 a 54 años",8434,8434,2.8907222007053717
2,"Mujer",12,"55 a 59 años",6372,6372,2.1839793529635556
2,"Mujer",13,"60 a 64 años",5164,5164,1.7699418359547712
2,"Mujer",14,"65 a 69 años",3624,3624,1.2421125510263538
2,"Mujer",15,"70 a 74 años",2484,2484,0.8513817816637591
2,"Mujer",16,"75 a 79 años",1540,1540,0.5278292849284174
2,"Mujer",17,"80 a 84 años",957,957,0.3280081984912308
2,"Mujer",18,"85 años o más",883,883,0.30264497311155364
