id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,Colonia_Estandarizada,codigo_postal,ubicacion,url,descripcion,direccion_completa,Latitud,Longitud
1,,22000000.0,22000000.0,1102647,2024-11-05,PRECIOSA CASA ESTILO  INGLÉS EN VENTA,750,750,29333.33333333333,29333.33333333333,2024-04-10,121,4,2024-08-11,Casa,Venta,1,3,3,1,3.5,No,,arboledas santa elena,pachuca de soto,hidalgo,arboledas santa elena,42086.0,"Arboledas Santa Elena, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-d7cc317621e0-7cec-c39975d9-ab0c-1fad,"‼️Se vende hermosísima casa en Fracc. Santa Elena‼️$22’000,0001,413.00 mts.2 Terreno750.00 mts.2 Construcción Preciosa casa estilo inglés ubicada en uno de los fraccionamientos más prestigiados y céntricos de la ciudad, cuenta con 3 amplias recámaras cada una con vestidor y baño completo con acabados de importación, sala y comedor, cocina equipada con isla, ares de desayunador, enorme biblioteca hecha con madera de caoba, pisos de madera, cuenta con un precioso candil elaborado con cristales de swarovsky, jardín con fuente, cochera techada para 6 autos, cuarto de servicio, bodega. Informes y citas: Ver teléfono Whatsapp","arboledas santa elena, pachuca de soto, hidalgo, México",20.0987972,-98.7563281
2,L1,12900000.0,12900000.0,646552,2024-11-05,Venta de Residencia en fracc. Dolores,460,250,28043.478260869564,51600.0,2024-05-14,88,2,2024-08-11,Casa En Fraccionamiento,Venta,1,4,4,1,4.5,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-4b44af632b8e-8a71-8d8bba29-b818-2015,"💎VENTA DE CASA💎📍RESIDENCIAL DOLORES$12,900,000250m2 terreno460m2 construcción 💎PRIMER PISO💎SalaComedorMedio bañoCocina equipada DesayunadorSala de TV Cuarto de lavado Jardín interior💎SEGUNDO PISO💎Recámara principal con vestidor, baño completo y Jaccuzi2 recámaras con baño completo y vestidor 💎TERCER PISO💎Recámara con closet y baño completoEstudio Roof garden INFORMES Y CITAS 👇📲Ver teléfono Whatsapp","el tezontle, pachuca de soto, hidalgo, México",20.1002757,-98.7784544
3,L1,12500000.0,12500000.0,626504,2024-11-05,CASA EN VENTA LAGOS RESIDENCIAL,450,450,27777.777777777777,27777.777777777777,2023-10-22,290,9,2024-08-11,Casa,Venta,1,3,3,1,3.5,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-bf6cfc821daa-70c0-7f766a39-af6a-1237,"‼️Casa en VENTA Fracc. LAGOS RESIDENCIAL‼️💰12’500,000385.00 mts.2 Terreno en esquina 450.00 mts.2 Construcción📍Casa con dos años de antigüedad, acabados de lujo📌Recibidor📌Baño de visitas📌Closet de visitas📌Sala a doble altura 📌Pequeña fuente en interior📌Comedor con salida a jardín interior 📌Jardín interior con hermoso diseño 📌Recámara principal con amplio vestidor, baño completo y salida a jardín interior📌Cocina amplia con cubierta de cuarzo negro con isla📌Cuarto de servicio con baño completo📌Área de lavado y tendido 📌3 recamaras con vestidor y baño completo cada una 📌Sala de TV📌Bodega 📌Estación de limpieza 📌Cochera techada para 2 autos 📌Cisterna 10,000 lts 📌Construcción tradicional en tabique 📱informes y citas: Ver teléfono Whatsapp","el tezontle, pachuca de soto, hidalgo, México",20.1002757,-98.7784544
4,B3,3200000.0,3200000.0,160385,2024-11-05,A ESPALDAS DE PLAZA EXPLANADA PACHUCA AMPLIA CASA CON 4 RECAMARAS DOS EN PLANTA BAJA,165,200,19393.939393939392,16000.0,2024-06-20,52,1,2024-08-11,Casa En Fraccionamiento,Venta,2,4,2,0,2.0,No,,centro historico,pachuca de soto,hidalgo,centro,42000.0,"Centro Histórico, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-29fbd150febe-579d-c79a355a-9f07-426b,AMPLIA CASA DE CUATRO RECAMARAS: PLANTA BAJA: *SALA COMEDOR *COCINA INTEGRAL EQUIPADA *AREA DEE LAVADO*DOS RECAMARAS CON BAÑO COMPLETO *GARAGE PARA DOS AUTOS *JARDINCITO DELANTERO *JARDICITO TRASERO EN LA SALIDA A LAS AMENIDADES SEGUNDO NIVEL: *DOS RECAMARAS CON BAÑO COMPLETO *TERRAZA  LA CASA CUENTA CON 165 METROS DE TERRENO Y 200 MTROS DE CONSTRUCCION. LA CASA CUENTA CON CISTERNA TINACO TANQUE ESTACIONARIO EL FRACCIONAMIENTO CUENTA CON: ALBERCA TECHADA SALON DE EEVENTOS AMPLIOS JARDINES CANCHAS DE MULTIUSOS SEGURIDAD 24 HORAS Y LA UBICACION ES INMEJORABLEESTAMOS JUSTO ATRAS E PLAZA EXPLANADA. SE ACEPTAN TODOS LOS CREDITOS. CONTACTEME LO ASESORO EN TODO PARA LOGRAR SU INVERSION. 77133815197,"centro, pachuca de soto, hidalgo, México",20.1244023,-98.7347452
5,S2,7000000.0,7000000.0,350842,2024-11-05,CASA EN VENTA RESIDENCIAL LOS ÁNGELES BLVD. RAMÓN G. BONFIL,360,240,19444.444444444445,29166.666666666668,2024-01-19,203,6,2024-08-11,Casa,Venta,1,3,3,1,3.5,No,,parque la esmeralda,pachuca de soto,hidalgo,parque esmeralda,42082.0,"Parque La Esmeralda, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-9710237ad570-b6a7-63013ab9-86ba-1237,"‼️Se vende casa nueva en Residencial Los Ángeles en Blvd. Ramón G. Bonfil‼️$7’000,000240 .00 mts.2 Terreno360.00 mts.2 Construcción SalaComedor Cocina integralAlacenaPatio trasero con terraza y jardínBaño de visitas 3 recamaras con closet y baño completo y jacuzziÁrea de TV Cuarto de servicio con baño completoRoof Garden con baño de visitasÁrea de lavadoGarage 4 autos techados Muros a doble altura 📱Informes y citas: Ver teléfono Whatsapp","parque esmeralda, pachuca de soto, hidalgo, México",20.0696333,-98.7898812
6,B2,2850000.0,2850000.0,142843,2024-11-05,Casa en Esquina 3 Pisos 6 Recamaras 2 Baños Col. Santa Julia Pachuca Hidalgo,132,263,21590.90909090909,10836.501901140684,2023-12-10,241,8,2024-08-11,Casa,Venta,3,7,3,0,3.0,No,,santa julia,pachuca de soto,hidalgo,santa julia,42080.0,"Santa Julia, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-539d5a8210e2-a88e-41f9060e-9207-468f,"""CASA de 3 niveles en venta, en la Colonia Ampliación Santa Julia, en la ciudad de Pachuca de Soto, Hidalgo.Precio de venta: $2,850,000.00 MXN.Superficie de construcción: 263 m2Superficie de terreno: 132 m2Búscanos en Facebook:ContactarInformes y citas: Ver teléfono Whatsapp y WhatsApp.PLANTA BAJA:*Cochera para 3 automóviles*Recibidor*Sala amplia*Comedor amplio*Cocina con cocineta*Área para cantina*Baño completo*Recámara 1 amplia*Recámara 2 amplia con closetPRIMER NIVEL:*Sala de entretenimiento*4 recámaras amplias*Cuarto de planchado con closet*Baño completo compartido*Armario bajo escaleraSEGUNDO NIVEL:*Cuarto de lavado*Amplia terrazaAMENIDADES:*A 50 metros de vialidad principal*Tinaco de 1,100 lts.*Closets de madera en recámara 2 y cuarto de planchado*Cisterna de 10,000 litros*Áreas comerciales cercanas*Transporte a 50 metros*Iglesia*Mercado*Farmacias*Oxxo""","santa julia, pachuca de soto, hidalgo, México",20.113849,-98.7543396
7,S1,5930000.0,5930000.0,297213,2024-11-05,CASA RESIDENCIAL EN VENTA FRACC. LA CARTUJA,200,379,29650.0,15646.437994722955,2023-10-22,290,9,2024-08-11,Casa En Fraccionamiento,Venta,1,3,2,0,2.0,No,,la moraleja,pachuca de soto,hidalgo,la moraleja,42064.0,"La Moraleja, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-dd4111769779-70bb-29c6a199-8edc-1237,"‼️Casa Residencial en VENTA en Fraccionamiento LA CARTUJA‼️ 💰$5’930,000200.00 mts2 Terreno379.00 mts.2 construcción📌Casa inteligente con acabados de lujo estilo minimalista. 📌Recibidor 📌Cocina equipada con desayunadore📌Baño de visitas📌Jardín amplio 📌3 recamaras con closet y baño completo cada una, principal con vestidor y baño completo 📌Roof garden techado con asador y medio baño📌Cochera techada para 2 autos📌Área de lavado  📱Informes y citas: Ver teléfono Whatsapp","la moraleja, pachuca de soto, hidalgo, México",20.1028832,-98.7574485
8,S1,5500000.0,5500000.0,275662,2024-11-05,💎💎 CASA EN VENTA 💎💎,207,240,26570.048309178743,22916.666666666668,2024-06-05,66,2,2024-08-11,Casa,Venta,1,3,2,1,2.5,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-399faa24ffc1-42c-5ef06f39-85fa-1059,"💎CASA EN VENTA EN GRAND DIAMANTE💎$5,500,000📍Sobre Av. G. Bonfil, vive en una de las zonas más exclusivas de Pachuca a 3 minutos de Galerías Pachuca y tec de Monterrey, ceca de colegios, centros comerciales y bancos, a solo 60 min de CDMX. Junto a JADE RESIDENCIAL. 207m2 de terreno  (10x20.7) 240m2 de construcción 💎PRIMER NIVEL:SalaComedorCocina equipada Área de lavado techada Baño de visitas Jardín trasero 💎PRIMERA PLANTA:Recámara principal con vestidor, baño completo y balcón2 recamaras jr. con baño completo y closets Área de tv💎UBICACIÓN 👇🏼Privada Gran DiamanteContactar💎INFORMES Y CITAS 👇📲Ver teléfono Whatsapp","el tezontle, pachuca de soto, hidalgo, México",20.1002757,-98.7784544
9,S1,4200000.0,4200000.0,210505,2024-11-05,VENTA DE CASA RESIDENCIAL FRAIES,128,247,32812.5,17004.04858299595,2024-02-09,182,6,2024-08-11,Casa,Venta,1,3,4,0,4.0,No,,la moraleja,pachuca de soto,hidalgo,la moraleja,42064.0,"La Moraleja, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-b654b193f392-4cae-1919519-83c0-79e0,"💎VENTA DE CASA💎📍RESIDENCIAL LOS FRAILES128m2 de Terreno 247m2 de construcción $4,200,000.00💎PLANTA BAJA💎Sala Comedor Cocina equipada integralRecibidor 💎PRIMER PISO💎4 habitaciones 3 con closet y baño completo Habitación principal con tina de hidromasaje, vestidor y baño completo 💎SEGUNDO PISO💎Rofgarden con espacio para asador y medio baño 🚘 Espacio para 2 autosCisterna 10,000 lts.INFORMES Y CITAS 👇Contactar📲Ver teléfono Whatsapp📲WhatsApp 💎Visita nuestra fan page 💎Contactar","la moraleja, pachuca de soto, hidalgo, México",20.1028832,-98.7574485
10,A1,3268250.0,3268250.0,163806,2024-11-05,Casas en Venta en Fraccionamiento Monterreal,112,212,29180.80357142857,15416.27358490566,2024-06-13,59,1,2024-08-11,Casa,Venta,1,3,2,0,2.0,No,,san antonio el desmonte,pachuca de soto,hidalgo,san antonio el desmonte,42083.0,"San Antonio el Desmonte, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-95179a2008db-13c6-190119d-a36c-76a2,"casas en venta en fraccionamiento monterreal proyecto oyamel privada de 47 lotes con plaza comercial en san antonio el desmonte campo de tiro primer nivel sala de estar comedor medio bano para invitados closets de invitados jardin exterior jardin interior cocina con isla, cubierta de corian y alacena bajo escalera. equipada con parrilla, campana, horno de gas, horno de microondas, tarja y monomando. segundo nivel recamara principal con vestidor y bano dos recamaras secundarias con closet que comparten bano tercer nivel cuarto de lavado y area de tendido area de terraza con asador medio bano en terraza terreno 112m2 construccion 212m2 estacionamiento para 2 vehiculos, cisterna de 8000 litros con bomba sumergible y electronivel sistema de videovigilancia con camaras y video portero incluido 4 casas mas disponibles contactanos al Ver teléfono Whatsapp WhatsApp y agenda una cita","san antonio el desmonte, pachuca de soto, hidalgo, México",20.0490082,-98.7856187
