ubicacion,Colonia,Municipio,Estado,tipo_lugar,Colonia_Estandarizada,codigo_postal
"San Baltasar Campeche, Puebla, Puebla",san baltasar campeche,puebla,puebla,,san baltazar campeche,72550.0
"Bosques de San Sebastián, Puebla, Puebla",bosques de san sebastian,puebla,puebla,,bosques san sebastian,72310.0
"Las Hadas Mundial 86, Puebla, Puebla",las hadas mundial 86,puebla,puebla,,las hadas mundial 86,72070.0
"Bosques de San Sebastián, Puebla, Puebla",bosques de san sebastian,puebla,puebla,,bosques san sebastian,72310.0
"Plazas de Amalucan, Puebla, Puebla",plazas de amalucan,puebla,puebla,,plazas amalucan,72310.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Plazas de Amalucan, Puebla, Puebla",plazas de amalucan,puebla,puebla,,plazas amalucan,72310.0
"San José Mayorazgo, Puebla, Puebla",san jose mayorazgo,puebla,puebla,,san jose mayorazgo,72450.0
"Ex-Hacienda Mayorazgo, Puebla, Puebla",ex-hacienda mayorazgo,puebla,puebla,,ex-hacienda mayorazgo,72480.0
"La Calera, Puebla, Puebla",la calera,puebla,puebla,,la calera,72520.0
"El Carmen, Puebla, Puebla",el carmen,puebla,puebla,,el carmen,72530.0
"Santa María, Puebla, Puebla",santa maria,puebla,puebla,,santa maria,72080.0
"Puebla, Puebla, Puebla",puebla,puebla,puebla,,puebla,72270.0
"Santa Bárbara, Puebla, Puebla",santa barbara,puebla,puebla,,santa barbara,72013.0
"San Isidro Castillotla, Puebla, Puebla",san isidro castillotla,puebla,puebla,,san isidro castillotla,72498.0
"Santa Bárbara, Puebla, Puebla",santa barbara,puebla,puebla,,santa barbara,72013.0
"Puebla, Puebla, Puebla",puebla,puebla,puebla,,puebla,72270.0
"Puebla, Puebla, Puebla",puebla,puebla,puebla,,puebla,72270.0
"Santa María la Ribera, Puebla, Puebla",santa maria la ribera,puebla,puebla,,santa maria la rivera,72010.0
"Villa las Flores, Puebla, Puebla",villa las flores,puebla,puebla,,villa las flores,72540.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"El Cerrito, Puebla, Puebla",el cerrito,puebla,puebla,,el cerrito,72440.0
"El Cerrito, Puebla, Puebla",el cerrito,puebla,puebla,,el cerrito,72440.0
"La Joya, Puebla, Puebla",la joya,puebla,puebla,,la joya,72520.0
"La Joya, Puebla, Puebla",la joya,puebla,puebla,,la joya,72520.0
"La Joya, Puebla, Puebla",la joya,puebla,puebla,,la joya,72520.0
"El Cerrito, Puebla, Puebla",el cerrito,puebla,puebla,,el cerrito,72440.0
"El Cerrito, Puebla, Puebla",el cerrito,puebla,puebla,,el cerrito,72440.0
"San José Mayorazgo, Puebla, Puebla",san jose mayorazgo,puebla,puebla,,san jose mayorazgo,72450.0
"San Diego Castillotla, Puebla, Puebla",san diego castillotla,puebla,puebla,,san isidro castillotla,72498.0
"Santa Clara La Venta, Puebla, Puebla",santa clara la venta,puebla,puebla,,santa clara la venta,72595.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Jardines de San Manuel, Puebla, Puebla",jardines de san manuel,puebla,puebla,,jardines de san manuel,72570.0
"Plazas de Amalucan, Puebla, Puebla",plazas de amalucan,puebla,puebla,,plazas amalucan,72310.0
"Loma Linda, Puebla, Puebla",loma linda,puebla,puebla,,loma linda,72014.0
"Puebla, Puebla, Puebla",puebla,puebla,puebla,,puebla,72270.0
"Angelópolis, Puebla, Puebla",angelopolis,puebla,puebla,,angelopolis,72193.0
"Jardines de San Manuel, Puebla, Puebla",jardines de san manuel,puebla,puebla,,jardines de san manuel,72570.0
"Puebla, Puebla, Puebla",puebla,puebla,puebla,,puebla,72270.0
"Jardines de San Manuel, Puebla, Puebla",jardines de san manuel,puebla,puebla,,jardines de san manuel,72570.0
"Jardines de San Manuel, Puebla, Puebla",jardines de san manuel,puebla,puebla,,jardines de san manuel,72570.0
"Bosques Del Pilar, Puebla, Puebla",bosques del pilar,puebla,puebla,,bosques del pilar,72310.0
"Valle Del Sol, Puebla, Puebla",valle del sol,puebla,puebla,,valle del sol,72565.0
"La Calera, Puebla, Puebla",la calera,puebla,puebla,,la calera,72520.0
"Bosques de Chapultepec, Puebla, Puebla",bosques de chapultepec,puebla,puebla,,bosques de chapultepec,72597.0
"Puebla, Puebla, Puebla",puebla,puebla,puebla,,puebla,72270.0
"Club de Golf Puebla, Puebla, Puebla",club de golf puebla,puebla,puebla,,club de golf puebla,72460.0
"Plazas de Amalucan, Puebla, Puebla",plazas de amalucan,puebla,puebla,,plazas amalucan,72310.0
"Bosques de San Sebastián, Puebla, Puebla",bosques de san sebastian,puebla,puebla,,bosques san sebastian,72310.0
"Bosques de San Sebastián, Puebla, Puebla",bosques de san sebastian,puebla,puebla,,bosques san sebastian,72310.0
"Granjas San Isidro, Puebla, Puebla",granjas san isidro,puebla,puebla,,granjas san isidro,72587.0
"San Angel, Puebla, Puebla",san angel,puebla,puebla,,san angel,72500.0
"Plazas de Amalucan, Puebla, Puebla",plazas de amalucan,puebla,puebla,,plazas amalucan,72310.0
"San Angel, Puebla, Puebla",san angel,puebla,puebla,,san angel,72500.0
"Granjas Del Sur, Puebla, Puebla",granjas del sur,puebla,puebla,,granjas del sur,72470.0
"San Angel, Puebla, Puebla",san angel,puebla,puebla,,san angel,72500.0
"San Angel, Puebla, Puebla",san angel,puebla,puebla,,san angel,72500.0
"San Diego Castillotla, Puebla, Puebla",san diego castillotla,puebla,puebla,,san isidro castillotla,72498.0
"Villa Frontera, Puebla, Puebla",villa frontera,puebla,puebla,,villa frontera,72200.0
"Banco de Puebla, Puebla, Puebla",banco de puebla,puebla,puebla,,banco de puebla,72500.0
"San Angel, Puebla, Puebla",san angel,puebla,puebla,,san angel,72500.0
"San Angel, Puebla, Puebla",san angel,puebla,puebla,,san angel,72500.0
"San Angel, Puebla, Puebla",san angel,puebla,puebla,,san angel,72500.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Plazas de Amalucan, Puebla, Puebla",plazas de amalucan,puebla,puebla,,plazas amalucan,72310.0
"Plazas de Amalucan, Puebla, Puebla",plazas de amalucan,puebla,puebla,,plazas amalucan,72310.0
"Plazas de Amalucan, Puebla, Puebla",plazas de amalucan,puebla,puebla,,plazas amalucan,72310.0
"Plazas de Amalucan, Puebla, Puebla",plazas de amalucan,puebla,puebla,,plazas amalucan,72310.0
"Plazas de Amalucan, Puebla, Puebla",plazas de amalucan,puebla,puebla,,plazas amalucan,72310.0
"San Isidro Castillotla, Puebla, Puebla",san isidro castillotla,puebla,puebla,,san isidro castillotla,72498.0
"San Isidro Castillotla, Puebla, Puebla",san isidro castillotla,puebla,puebla,,san isidro castillotla,72498.0
"San Isidro Castillotla, Puebla, Puebla",san isidro castillotla,puebla,puebla,,san isidro castillotla,72498.0
"Bosques de San Sebastián, Puebla, Puebla",bosques de san sebastian,puebla,puebla,,bosques san sebastian,72310.0
"Cuauhtémoc, Puebla, Puebla",cuauhtemoc,puebla,puebla,,cuauhtemoc,72243.0
"Puebla, Puebla, Puebla",puebla,puebla,puebla,,puebla,72270.0
"Puebla, Puebla, Puebla",puebla,puebla,puebla,,puebla,72270.0
"Ex-Hacienda Mayorazgo, Puebla, Puebla",ex-hacienda mayorazgo,puebla,puebla,,ex-hacienda mayorazgo,72480.0
"El Carmen, Puebla, Puebla",el carmen,puebla,puebla,,el carmen,72530.0
"Granjas Del Sur, Puebla, Puebla",granjas del sur,puebla,puebla,,granjas del sur,72470.0
"Los Cipreses, Puebla, Puebla",los cipreses,puebla,puebla,,los cipreses,72100.0
"Puebla, Puebla, Puebla",puebla,puebla,puebla,,puebla,72270.0
"Puebla, Puebla, Puebla",puebla,puebla,puebla,,puebla,72270.0
"San José Mayorazgo, Puebla, Puebla",san jose mayorazgo,puebla,puebla,,san jose mayorazgo,72450.0
"San José Mayorazgo, Puebla, Puebla",san jose mayorazgo,puebla,puebla,,san jose mayorazgo,72450.0
"Valle Del Sol, Puebla, Puebla",valle del sol,puebla,puebla,,valle del sol,72565.0
"Plazas de Amalucan, Puebla, Puebla",plazas de amalucan,puebla,puebla,,plazas amalucan,72310.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Aquiles Serdán, Puebla, Puebla",aquiles serdan,puebla,puebla,,aquiles serdan,72030.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Unidad Satélite Magisterial, Puebla, Puebla",unidad satelite magisterial,puebla,puebla,,unidad satelite magisterial,72320.0
"Granjas Del Sur, Puebla, Puebla",granjas del sur,puebla,puebla,,granjas del sur,72470.0
"Granjas Del Sur, Puebla, Puebla",granjas del sur,puebla,puebla,,granjas del sur,72470.0
"Lomas del Valle, Puebla, Puebla",lomas del valle,puebla,puebla,,lomas del valle,72595.0
"El Carmen, Puebla, Puebla",el carmen,puebla,puebla,,el carmen,72530.0
"Villa las Flores, Puebla, Puebla",villa las flores,puebla,puebla,,villa las flores,72540.0
"Villa las Flores, Puebla, Puebla",villa las flores,puebla,puebla,,villa las flores,72540.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Puebla, Puebla, Puebla",puebla,puebla,puebla,,puebla,72270.0
"Villa Carmel, Puebla, Puebla",villa carmel,puebla,puebla,,villa carmel,72567.0
"Villa Carmel, Puebla, Puebla",villa carmel,puebla,puebla,,villa carmel,72567.0
"Villa Carmel, Puebla, Puebla",villa carmel,puebla,puebla,,villa carmel,72567.0
"Las Brisas, Puebla, Puebla",las brisas,puebla,puebla,,las brisas,72567.0
"Las Palmas, Puebla, Puebla",las palmas,puebla,puebla,,las palmas,72550.0
"Las Palmas, Puebla, Puebla",las palmas,puebla,puebla,,las palmas,72550.0
"Las Palmas, Puebla, Puebla",las palmas,puebla,puebla,,las palmas,72550.0
"La Joya, Puebla, Puebla",la joya,puebla,puebla,,la joya,72520.0
"Revolución Mexicana, Puebla, Puebla",revolucion mexicana,puebla,puebla,,revolucion mexicana,72200.0
"La Hacienda, Puebla, Puebla",la hacienda,puebla,puebla,,la hacienda,72570.0
"Lomas de San Valentín, Puebla, Puebla",lomas de san valentin,puebla,puebla,,lomas de san valentin,72490.0
"Rivera de Santiago, Puebla, Puebla",rivera de santiago,puebla,puebla,,rivera de santiago,72410.0
"Granjas Del Sur, Puebla, Puebla",granjas del sur,puebla,puebla,,granjas del sur,72470.0
"Santa Anita, Puebla, Puebla",santa anita,puebla,puebla,,santa anita,72089.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Tepetzintla, Puebla, Puebla",tepetzintla,puebla,puebla,,tepetzintla,72115.0
"Puebla, Puebla, Puebla",puebla,puebla,puebla,,puebla,72270.0
"Geo Villas las Garzas, Puebla, Puebla",geo villas las garzas,puebla,puebla,,geovillas las garzas,72480.0
"Geo Villas las Garzas, Puebla, Puebla",geo villas las garzas,puebla,puebla,,geovillas las garzas,72480.0
"Puebla, Puebla, Puebla",puebla,puebla,puebla,,puebla,72270.0
"San Juan Bosco, Puebla, Puebla",san juan bosco,puebla,puebla,,san juan bosco,72480.0
"San Ramon 4a Secc, Puebla, Puebla",san ramon 4a secc,puebla,puebla,,san ramon 4a seccion,72490.0
"Héroes de Puebla, Puebla, Puebla",heroes de puebla,puebla,puebla,,heroes de puebla,72520.0
"Jardines de San Manuel, Puebla, Puebla",jardines de san manuel,puebla,puebla,,jardines de san manuel,72570.0
"Bosques Amalucan, Puebla, Puebla",bosques amalucan,puebla,puebla,,bosques de amalucan,72310.0
"Villa Frontera, Puebla, Puebla",villa frontera,puebla,puebla,,villa frontera,72200.0
"Jardines de San Manuel, Puebla, Puebla",jardines de san manuel,puebla,puebla,,jardines de san manuel,72570.0
"La Paz, Puebla, Puebla",la paz,puebla,puebla,,la paz,72160.0
"San José Mayorazgo, Puebla, Puebla",san jose mayorazgo,puebla,puebla,,san jose mayorazgo,72450.0
"San José Mayorazgo, Puebla, Puebla",san jose mayorazgo,puebla,puebla,,san jose mayorazgo,72450.0
"Jardines de San Manuel, Puebla, Puebla",jardines de san manuel,puebla,puebla,,jardines de san manuel,72570.0
"Jardines de San Manuel, Puebla, Puebla",jardines de san manuel,puebla,puebla,,jardines de san manuel,72570.0
"Plazas de Guadalupe, Puebla, Puebla",plazas de guadalupe,puebla,puebla,,plazas de guadalupe,72260.0
"Ex-Hacienda Mayorazgo, Puebla, Puebla",ex-hacienda mayorazgo,puebla,puebla,,ex-hacienda mayorazgo,72480.0
"San Juan Bosco, Puebla, Puebla",san juan bosco,puebla,puebla,,san juan bosco,72480.0
"Valle Del Sol, Puebla, Puebla",valle del sol,puebla,puebla,,valle del sol,72565.0
"Ex-Hacienda Mayorazgo, Puebla, Puebla",ex-hacienda mayorazgo,puebla,puebla,,ex-hacienda mayorazgo,72480.0
"Vista Hermosa, Puebla, Puebla",vista hermosa,puebla,puebla,,vista hermosa,72124.0
"Arboledas de Guadalupe, Puebla, Puebla",arboledas de guadalupe,puebla,puebla,,arboledas guadalupe,72260.0
"Arboledas de Guadalupe, Puebla, Puebla",arboledas de guadalupe,puebla,puebla,,arboledas guadalupe,72260.0
