Occupation,Workforce,Monthly Wage,lastPeriod,diferencia,diferencia_2,Salario_Variables,volumen,pareja,categoria_persona,categoria_pareja
Presidentes y Autoridades Municipales,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Presidentes y Directores Generales en Instituciones Públicas,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Presidentes y Directores Generales en Instituciones y Empresas Privadas,723,22323.65,11692.47,10631.18,0.52,22323.65,16139998.950000001,37950.2,D,C1
Directores de Organizaciones Sindicales,168,12900.0,10750.0,2150.0,0.83,12900.0,2167200.0,21930.0,E,D
Directores de Organizaciones Civiles y Religiosas,55,9580.0,200000.0,-190420.0,20.88,200000.0,11000000.0,340000.0,S,S
"Directores y Gerentes en Administración, Recursos Humanos y Mercadotecnia",4404,14363.76,29732.47,-15368.71,2.07,29732.47,130941797.88000001,50545.2,D1,A
"Directores y Gerentes en Servicios Contables, Financieros, Banca y Seguros",630,10174.6,7083.13,3091.47,0.7,10174.6,6409998.0,17296.82,F1,E1
"Directores y Gerentes en Servicios de Salud, Protección Civil y Medio Ambiente",1147,9499.56,18559.48,-9059.92,1.95,18559.48,21287723.56,31551.12,E1,C
Directores y Gerentes en Centros de Enseñanza y Capacitación,4643,9654.84,14656.93,-5002.09,1.52,14656.93,68052125.99,24916.78,E,D
"Jueces de Juzgado, Directores y Gerentes en Servicios Legales y Procuración de Justicia",1323,5090.7,1000.0,4090.7,0.2,5090.7,6734996.1,8654.19,F,F1
"Directores y Gerentes en Producción Agropecuaria, Silvícola y Pesquera",166,10750.0,14468.09,-3718.09,1.35,14468.09,2401702.94,24595.75,E,D
Directores y Gerentes en Producción Manufacturera,6479,11753.93,7003.08,4750.85,0.6,11753.93,76153712.47,19981.68,F1,E1
"Directores y Gerentes en Construcción, Reparación y Mantenimiento",763,25517.69,10750.0,14767.69,0.42,25517.69,19469997.47,43380.07,D1,B
Directores y Gerentes en Informática,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Directores y Gerentes en Comunicación y Telecomunicaciones,621,21130.43,0.0,21130.43,0.0,21130.43,13121997.03,35921.73,D,C1
Directores y Gerentes en Servicios de Transporte,1670,37814.37,17565.22,20249.15,0.46,37814.37,63149997.900000006,64284.43,C1,S
"Directores y Gerentes de Ventas, Comercialización y Alquiler",8114,6311.27,7158.79,-847.52,1.13,7158.79,58086422.06,12169.94,F,E
Directores y Gerentes de Restaurantes y Hoteles,5975,6714.23,11995.86,-5281.63,1.79,11995.86,71675263.5,20392.96,F1,D
"Directores y Productores Artísticos de Cine, Teatro y Afines",1326,7535.52,15415.62,-7880.1,2.05,15415.62,20441112.12,26206.55,E,D1
"Directores y Gerentes de Museos, Cines y otros Establecimientos Deportivos y Culturales",3075,18680.78,0.0,18680.78,0.0,18680.78,57443398.5,31757.33,E1,C
Directores y Gerentes en Servicios Funerarios y otros Servicios,2219,4482.65,12906.48,-8423.83,2.88,12906.48,28639479.119999997,21941.02,E,D
"Coordinadores y Jefes de Área en Administración, Recursos Humanos y Mercadotecnia",6837,8045.49,9260.85,-1215.36,1.15,9260.85,63316431.45,15743.44,F1,E
"Coordinadores y Jefes de Área en Servicios Contables, Financieros, Banca y Seguros",720,4062.5,9010.1,-4947.6,2.22,9010.1,6487272.0,15317.17,F1,E
"Coordinadores y Jefes de Área en Servicios de Salud, Protección Civil y Medio Ambiente",468,16141.03,10579.3,5561.73,0.66,16141.03,7554002.04,27439.75,E1,D1
Coordinadores y Jefes de Área en Desarrollo Social y Económico,417,0.0,16000.0,-16000.0,0.0,16000.0,6672000.0,27200.0,E1,D1
Coordinadores y Jefes de Área en Centros de Enseñanza y Capacitación,1337,6170.08,4877.33,1292.75,0.79,6170.08,8249396.96,10489.14,F,F1
"Coordinadores y Jefes de Área en Servicios Legales, Jueces Calificadores y Fiscales",319,5442.01,0.0,5442.01,0.0,5442.01,1736001.1900000002,9251.42,F,F1
Coordinadores y Jefes de Área en Servicios de Vigilancia y Seguridad,732,26637.7,4188.48,22449.22,0.16,26637.7,19498796.400000002,45284.09,D1,B1
"Coordinadores y Jefes de Área en Producción Agropecuaria, Silvícola y Pesquera",326,5000.0,0.0,5000.0,0.0,5000.0,1630000.0,8500.0,F,F1
Coordinadores y Jefes de Área en Generación y Provisión de Energía Eléctrica y Agua,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Coordinadores y Jefes de Área en Producción Manufacturera,2122,10969.09,10198.34,770.75,0.93,10969.09,23276408.98,18647.45,F1,E1
"Coordinadores y Jefes de Área en Construcción, Reparación y Mantenimiento",1202,11350.08,8630.14,2719.94,0.76,11350.08,13642796.16,19295.14,F1,E1
Coordinadores y Jefes de Área en Informática,214,0.0,21945.14,-21945.14,0.0,21945.14,4696259.96,37306.74,D,C1
