Occupation,Workforce,Monthly Wage,lastPeriod,diferencia,diferencia_2,Salario_Variables,volumen,pareja,categoria_persona,categoria_pareja
Presidentes y Autoridades Municipales,605,0.0,14000.0,-14000.0,0.0,14000.0,8470000.0,23800.0,E,D
Presidentes y Directores Generales en Instituciones Públicas,104,0.0,5310.43,-5310.43,0.0,5310.43,552284.72,9027.73,F,F1
Presidentes y Directores Generales en Instituciones y Empresas Privadas,7730,8091.46,2074.38,6017.08,0.26,8091.46,62546985.8,13755.48,F1,E
Directores de Organizaciones Sindicales,529,18555.77,0.0,18555.77,0.0,18555.77,9816002.33,31544.81,E1,C
"Directores y Gerentes en Administración, Recursos Humanos y Mercadotecnia",5450,9519.94,4531.52,4988.42,0.48,9519.94,51883673.0,16183.9,F1,E1
"Directores y Gerentes en Servicios Contables, Financieros, Banca y Seguros",3053,0.0,18713.25,-18713.25,0.0,18713.25,57131552.25,31812.52,E1,C
"Directores y Gerentes en Servicios de Salud, Protección Civil y Medio Ambiente",495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Directores y Gerentes en Desarrollo Social y Económico,344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Directores y Gerentes en Centros de Enseñanza y Capacitación,1695,729.35,905.09,-175.74,1.24,905.09,1534127.55,1538.65,G,G
"Directores y Gerentes en Producción Agropecuaria, Silvícola y Pesquera",764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Directores y Gerentes en Producción Minera, Petrolera y Gas",185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Directores y Gerentes en Producción Manufacturera,4228,940.16,6015.72,-5075.56,6.4,6015.72,25434464.16,10226.72,F,F1
"Directores y Gerentes en Construcción, Reparación y Mantenimiento",2647,5063.85,7761.58,-2697.73,1.53,7761.58,20544902.26,13194.69,F,E
Directores y Gerentes en Informática,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Directores y Gerentes en Servicios de Transporte,286,0.0,17212.77,-17212.77,0.0,17212.77,4922852.22,29261.71,E1,D1
Directores y Gerentes en Centros de Investigación y Desarrollo Tecnológico,812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Directores y Gerentes de Ventas, Comercialización y Alquiler",5407,9417.64,5679.71,3737.93,0.6,9417.64,50921179.48,16009.99,F1,E1
Directores y Gerentes de Restaurantes y Hoteles,4351,2500.0,7808.44,-5308.44,3.12,7808.44,33974522.44,13274.35,F,E
"Directores y Productores Artísticos de Cine, Teatro y Afines",193,0.0,6815.33,-6815.33,0.0,6815.33,1315358.69,11586.06,F,F1
"Directores y Gerentes de Museos, Cines y otros Establecimientos Deportivos y Culturales",399,0.0,4528.02,-4528.02,0.0,4528.02,1806679.9800000002,7697.63,G,F
Directores y Gerentes en Servicios Funerarios y otros Servicios,1801,1124.54,4723.28,-3598.74,4.2,4723.28,8506627.28,8029.58,G,F1
"Coordinadores y Jefes de Área en Administración, Recursos Humanos y Mercadotecnia",8005,4871.64,5953.37,-1081.73,1.22,5953.37,47656726.85,10120.73,F,F1
"Coordinadores y Jefes de Área en Servicios Contables, Financieros, Banca y Seguros",601,0.0,7381.0,-7381.0,0.0,7381.0,4435981.0,12547.7,F,E
"Coordinadores y Jefes de Área en Servicios de Salud, Protección Civil y Medio Ambiente",751,2743.01,12900.0,-10156.99,4.7,12900.0,9687900.0,21930.0,E,D
Coordinadores y Jefes de Área en Centros de Enseñanza y Capacitación,875,10464.0,6529.03,3934.97,0.62,10464.0,9156000.0,17788.8,F1,E1
"Coordinadores y Jefes de Área en Servicios Legales, Jueces Calificadores y Fiscales",141,28000.0,0.0,28000.0,0.0,28000.0,3948000.0,47600.0,D1,B1
Coordinadores y Jefes de Área en Servicios de Vigilancia y Seguridad,618,0.0,11137.35,-11137.35,0.0,11137.35,6882882.3,18933.5,F1,E1
Coordinadores y Jefes de Área en Generación y Provisión de Energía Eléctrica y Agua,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Coordinadores y Jefes de Área en Producción Manufacturera,2142,6114.38,7211.63,-1097.25,1.18,7211.63,15447311.46,12259.77,F,E
"Coordinadores y Jefes de Área en Construcción, Reparación y Mantenimiento",1081,717.99,5640.55,-4922.56,7.86,5640.55,6097434.55,9588.94,F,F1
Coordinadores y Jefes de Área en Informática,414,12850.24,30000.0,-17149.76,2.33,30000.0,12420000.0,51000.0,C,A
Coordinadores y Jefes de Área en Comunicación y Telecomunicaciones,781,15380.28,0.0,15380.28,0.0,15380.28,12011998.68,26146.48,E,D1
Coordinadores y Jefes de Área en Servicios de Transporte,1355,3532.03,10979.41,-7447.38,3.11,10979.41,14877100.549999999,18665.0,F1,E1
Coordinadores y Jefes de Área en Centros de Investigación y Desarrollo Tecnológico,95,30000.0,0.0,30000.0,0.0,30000.0,2850000.0,51000.0,C,A
"Coordinadores y Jefes de Área de Ventas, Comercialización y Alquiler",1571,13292.57,573.32,12719.25,0.04,13292.57,20882627.47,22597.37,E,D
Coordinadores y Jefes de Área de Restaurantes y Hoteles,132,7000.0,11400.0,-4400.0,1.63,11400.0,1504800.0,19380.0,F1,E1
"Coordinadores y Jefes de Área en Actividades Artísticas, de Cine, Teatro y Afines",166,12000.0,0.0,12000.0,0.0,12000.0,1992000.0,20400.0,E,D
"Coordinadores y Jefes de Área en Museos, Cines, Deportivos y Servicios Culturales",978,4294.48,0.0,4294.48,0.0,4294.48,4200001.4399999995,7300.62,G,F
Administradores y Especialistas en Recursos Humanos y Sistemas de Gestión,5510,8083.53,8727.19,-643.66,1.08,8727.19,48086816.900000006,14836.22,F1,E
"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",4958,751.11,7638.78,-6887.67,10.17,7638.78,37873071.24,12985.93,F,E
Especialistas en Hotelería y Turismo,328,30100.0,0.0,30100.0,0.0,30100.0,9872800.0,51170.0,C,A
Contadores y Auditores,10142,5647.21,3590.36,2056.85,0.64,5647.21,57274003.82,9600.26,F,F1
Asesores y Analistas en Finanzas,999,3433.03,2180.85,1252.18,0.64,3433.03,3429596.97,5836.15,G,F
Investigadores y Especialistas en Sociología y Desarrollo Social,302,5006.62,0.0,5006.62,0.0,5006.62,1511999.24,8511.25,F,F1
Investigadores y Especialistas en Ciencias Políticas y Administración Pública,303,0.0,48454.55,-48454.55,0.0,48454.55,14681728.65,82372.74,B1,S
Abogados,12843,1911.09,4075.52,-2164.43,2.13,4075.52,52341903.36,6928.38,G,F
Investigadores y Especialistas en Filosofía y Letras (Filólogos),135,14500.0,0.0,14500.0,0.0,14500.0,1957500.0,24650.0,E,D
Psicólogos,5897,4410.17,8164.01,-3753.84,1.85,8164.01,48143166.97,13878.82,F1,E
Especialistas en Trabajo Social,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Especialistas en Archivonomía, Biblioteconomía y Museografía",369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Sacerdotes, Pastores y otros Teólogos",761,4963.47,0.0,4963.47,0.0,4963.47,3777200.6700000004,8437.9,G,F1
Escritores y Críticos Literarios,123,3000.0,0.0,3000.0,0.0,3000.0,369000.0,5100.0,G,F
Periodistas y Redactores,267,860.0,14575.6,-13715.6,16.95,14575.6,3891685.2,24778.52,E,D
Traductores e Intérpretes,1272,11477.99,6269.74,5208.25,0.55,11477.99,14600003.28,19512.58,F1,E1
Pintores,697,533.72,0.0,533.72,0.0,533.72,372002.84,907.32,G,G
"Dibujantes y Diseñadores Artísticos, Ilustradores y Grabadores",3117,2551.56,0.0,2551.56,0.0,2551.56,7953212.52,4337.65,G,G
Músicos,794,5952.85,9655.3,-3702.45,1.62,9655.3,7666308.199999999,16414.01,F1,E1
Bailarines y Coreógrafos,457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Actores,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Investigadores y Especialistas en Física,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Químicos,1825,11980.59,21607.93,-9627.34,1.8,21607.93,39434472.25,36733.48,D,C1
Ecólogos y Especialistas en Ciencias Atmosféricas,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Agrónomos,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Veterinarios y Zootecnistas,1493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ingenieros Eléctricos,763,5884.93,3079.07,2805.86,0.52,5884.93,4490201.59,10004.38,F,F1
Ingenieros Electrónicos,3673,12190.78,12959.33,-768.55,1.06,12959.33,47599619.089999996,22030.86,E,D
Ingenieros Químicos,786,0.0,9404.68,-9404.68,0.0,9404.68,7392078.48,15987.96,F1,E
Ingenieros Mecánicos,2059,5703.98,0.0,5703.98,0.0,5703.98,11744494.819999998,9696.77,F,F1
Ingenieros Industriales,5005,4328.87,5918.03,-1589.16,1.37,5918.03,29619740.15,10060.65,F,F1
"Ingenieros en Minas, Metalurgia y Petróleo",152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ingenieros Civiles y de la Construcción,1199,3418.68,10323.08,-6904.4,3.02,10323.08,12377372.92,17549.24,F1,E1
"Ingenieros en Topografía, Hidrología, Geología y Geodesia",258,9466.67,0.0,9466.67,0.0,9466.67,2442400.86,16093.34,F1,E1
"Arquitectos, Planificadores Urbanos y del Transporte",3727,2998.52,7631.28,-4632.76,2.55,7631.28,28441780.56,12973.18,F,E
Desarrolladores y Analistas de Software y Multimedia,12414,4411.96,10014.56,-5602.6,2.27,10014.56,124320747.83999999,17024.75,F1,E1
Administradores de Bases de Datos y Redes de Computadora,421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Profesores Universitarios y de Enseñanza Superior,5602,4347.23,3856.75,490.48,0.89,4347.23,24353182.459999997,7390.29,G,F
Profesores de Preparatoria y Equivalentes,3595,1932.02,2631.11,-699.09,1.36,2631.11,9458840.450000001,4472.89,G,G
Profesores de Enseñanza Secundaria,2764,4666.06,2161.36,2504.7,0.46,4666.06,12896989.840000002,7932.3,G,F
Profesores de Enseñanza Primaria,9840,2908.94,1676.44,1232.5,0.58,2908.94,28623969.6,4945.2,G,G
