Occupation,Workforce,Monthly Wage,lastPeriod,diferencia,diferencia_2,Salario_Variables,volumen,pareja,categoria_persona,categoria_pareja
Presidentes y Autoridades Municipales,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Presidentes y Directores Generales en Instituciones Públicas,119,30088.24,36057.69,-5969.45,1.2,36057.69,4290865.11,61298.07,C1,S
Presidentes y Directores Generales en Instituciones y Empresas Privadas,155,4913.55,3465.9,1447.65,0.71,4913.55,761600.25,8353.04,G,F1
Directores de Organizaciones Sindicales,75,8000.0,0.0,8000.0,0.0,8000.0,600000.0,13600.0,F1,E
Directores de Organizaciones Civiles y Religiosas,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Directores y Gerentes en Administración, Recursos Humanos y Mercadotecnia",629,26992.05,15463.19,11528.86,0.57,26992.05,16977999.45,45886.48,D1,B1
"Directores y Gerentes en Servicios Contables, Financieros, Banca y Seguros",183,5344.26,16852.17,-11507.91,3.15,16852.17,3083947.11,28648.69,E1,D1
"Directores y Gerentes en Servicios de Salud, Protección Civil y Medio Ambiente",686,12956.27,5298.7,7657.57,0.41,12956.27,8888001.22,22025.66,E,D
Directores y Gerentes en Desarrollo Social y Económico,68,32000.0,0.0,32000.0,0.0,32000.0,2176000.0,54400.0,C,A
Directores y Gerentes en Centros de Enseñanza y Capacitación,1950,8625.13,16517.8,-7892.67,1.92,16517.8,32209710.0,28080.26,E1,D1
"Jueces de Juzgado, Directores y Gerentes en Servicios Legales y Procuración de Justicia",649,19106.32,10857.14,8249.18,0.57,19106.32,12400001.68,32480.74,E1,C
"Directores y Gerentes en Producción Agropecuaria, Silvícola y Pesquera",366,8000.0,0.0,8000.0,0.0,8000.0,2928000.0,13600.0,F1,E
Directores y Gerentes en Producción Manufacturera,1276,5286.68,1186.47,4100.21,0.22,5286.68,6745803.680000001,8987.36,F,F1
"Directores y Gerentes en Construcción, Reparación y Mantenimiento",1713,8556.22,15190.44,-6634.22,1.78,15190.44,26021223.720000003,25823.75,E,D1
Directores y Gerentes en Comunicación y Telecomunicaciones,1202,12396.67,0.0,12396.67,0.0,12396.67,14900797.34,21074.34,E,D
Directores y Gerentes en Servicios de Transporte,556,8956.83,0.0,8956.83,0.0,8956.83,4979997.4799999995,15226.61,F1,E
Directores y Gerentes en Centros de Investigación y Desarrollo Tecnológico,600,10750.0,15000.0,-4250.0,1.4,15000.0,9000000.0,25500.0,E,D1
"Directores y Gerentes de Ventas, Comercialización y Alquiler",2601,7970.09,8405.9,-435.81,1.05,8405.9,21863745.9,14290.03,F1,E
Directores y Gerentes de Restaurantes y Hoteles,2141,4613.36,9215.19,-4601.83,2.0,9215.19,19729721.790000003,15665.82,F1,E
"Directores y Gerentes de Museos, Cines y otros Establecimientos Deportivos y Culturales",175,17314.29,5809.92,11504.37,0.34,17314.29,3030000.75,29434.29,E1,D1
Directores y Gerentes en Servicios Funerarios y otros Servicios,1360,10750.0,8792.7,1957.3,0.82,10750.0,14620000.0,18275.0,F1,E1
"Coordinadores y Jefes de Área en Administración, Recursos Humanos y Mercadotecnia",2392,8097.99,7942.0,155.99,0.98,8097.99,19370392.08,13766.58,F1,E
"Coordinadores y Jefes de Área en Servicios Contables, Financieros, Banca y Seguros",145,10317.24,11111.11,-793.87,1.08,11111.11,1611110.9500000002,18888.89,F1,E1
"Coordinadores y Jefes de Área en Servicios de Salud, Protección Civil y Medio Ambiente",126,12222.22,15102.56,-2880.34,1.24,15102.56,1902922.5599999998,25674.35,E,D1
Coordinadores y Jefes de Área en Desarrollo Social y Económico,70,24000.0,14000.0,10000.0,0.58,24000.0,1680000.0,40800.0,D,B
Coordinadores y Jefes de Área en Centros de Enseñanza y Capacitación,380,14820.0,10985.51,3834.49,0.74,14820.0,5631600.0,25194.0,E,D1
"Coordinadores y Jefes de Área en Servicios Legales, Jueces Calificadores y Fiscales",606,10353.47,15192.82,-4839.35,1.47,15192.82,9206848.92,25827.79,E,D1
Coordinadores y Jefes de Área en Servicios de Vigilancia y Seguridad,1475,9901.02,1316.96,8584.06,0.13,9901.02,14604004.5,16831.73,F1,E1
"Coordinadores y Jefes de Área en Producción Agropecuaria, Silvícola y Pesquera",62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Coordinadores y Jefes de Área en Producción Manufacturera,359,24392.76,9764.15,14628.61,0.4,24392.76,8757000.84,41467.69,D,B
"Coordinadores y Jefes de Área en Construcción, Reparación y Mantenimiento",780,19346.15,11441.05,7905.1,0.59,19346.15,15089997.000000002,32888.46,E1,C
Coordinadores y Jefes de Área en Informática,181,16685.08,10613.72,6071.36,0.64,16685.08,3019999.4800000004,28364.64,E1,D1
Coordinadores y Jefes de Área en Comunicación y Telecomunicaciones,129,8356.59,7400.0,956.59,0.89,8356.59,1078000.11,14206.2,F1,E
Coordinadores y Jefes de Área en Servicios de Transporte,521,0.0,10271.45,-10271.45,0.0,10271.45,5351425.45,17461.46,F1,E1
"Coordinadores y Jefes de Área de Ventas, Comercialización y Alquiler",916,14664.48,24790.62,-10126.14,1.69,24790.62,22708207.919999998,42144.05,D,B
Coordinadores y Jefes de Área de Restaurantes y Hoteles,765,30971.24,0.0,30971.24,0.0,30971.24,23692998.6,52651.11,C,A
"Coordinadores y Jefes de Área en Actividades Artísticas, de Cine, Teatro y Afines",70,6600.0,11500.0,-4900.0,1.74,11500.0,805000.0,19550.0,F1,E1
"Coordinadores y Jefes de Área en Museos, Cines, Deportivos y Servicios Culturales",148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Coordinadores y Jefes de Área en Servicios Funerarios y otros Servicios,196,4316.33,13000.0,-8683.67,3.01,13000.0,2548000.0,22100.0,E,D
Administradores y Especialistas en Recursos Humanos y Sistemas de Gestión,2292,1257.42,12476.7,-11219.28,9.92,12476.7,28596596.400000002,21210.39,E,D
"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2906,5279.77,6449.81,-1170.04,1.22,6449.81,18743147.86,10964.68,F,F1
Especialistas en Hotelería y Turismo,34,10000.0,17000.0,-7000.0,1.7,17000.0,578000.0,28900.0,E1,D1
Contadores y Auditores,6398,3632.09,6470.35,-2838.26,1.78,6470.35,41397299.300000004,10999.6,F,F1
Asesores y Analistas en Finanzas,927,22953.61,14614.74,8338.87,0.64,22953.61,21277996.47,39021.14,D,C1
"Antropólogos, Arqueólogos e Historiadores",92,16000.0,0.0,16000.0,0.0,16000.0,1472000.0,27200.0,E1,D1
Investigadores y Especialistas en Ciencias Políticas y Administración Pública,119,2924.37,17632.92,-14708.55,6.03,17632.92,2098317.48,29975.96,E1,D1
Abogados,7099,7749.47,9169.96,-1420.49,1.18,9169.96,65097546.03999999,15588.93,F1,E
Psicólogos,3443,5197.79,6282.83,-1085.04,1.21,6282.83,21631783.69,10680.81,F,F1
Especialistas en Trabajo Social,542,8821.03,7892.98,928.05,0.89,8821.03,4780998.260000001,14995.75,F1,E
"Sacerdotes, Pastores y otros Teólogos",126,1774.6,777.46,997.14,0.44,1774.6,223599.59999999998,3016.82,G,G
Escritores y Críticos Literarios,41,12000.0,0.0,12000.0,0.0,12000.0,492000.0,20400.0,E,D
Periodistas y Redactores,155,13935.48,483.79,13451.69,0.03,13935.48,2159999.4,23690.32,E,D
Traductores e Intérpretes,90,0.0,8600.0,-8600.0,0.0,8600.0,774000.0,14620.0,F1,E
"Dibujantes y Diseñadores Artísticos, Ilustradores y Grabadores",857,3331.62,4364.93,-1033.31,1.31,4364.93,3740745.0100000002,7420.38,G,F
Músicos,1808,3274.28,13698.34,-10424.06,4.18,13698.34,24766598.72,23287.18,E,D
Biólogos y Especialistas en Ciencias del Mar y Oceanógrafos,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Químicos,1222,5641.57,11383.33,-5741.76,2.02,11383.33,13910429.26,19351.66,F1,E1
Ecólogos y Especialistas en Ciencias Atmosféricas,417,7911.27,16000.0,-8088.73,2.02,16000.0,6672000.0,27200.0,E1,D1
Agrónomos,660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Veterinarios y Zootecnistas,4070,1064.96,16446.08,-15381.12,15.44,16446.08,66935545.60000001,27958.34,E1,D1
Ingenieros Eléctricos,1537,13481.91,14028.33,-546.42,1.04,14028.33,21561543.21,23848.16,E,D
Ingenieros Electrónicos,1167,7912.89,13550.77,-5637.88,1.71,13550.77,15813748.59,23036.31,E,D
Ingenieros Químicos,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ingenieros Mecánicos,1782,17625.36,8461.54,9163.82,0.48,17625.36,31408391.52,29963.11,E1,D1
Ingenieros Industriales,1143,3618.55,4633.97,-1015.42,1.28,4633.97,5296627.71,7877.75,G,F
Ingenieros Civiles y de la Construcción,2205,1460.68,5795.29,-4334.61,3.97,5795.29,12778614.45,9851.99,F,F1
"Ingenieros en Topografía, Hidrología, Geología y Geodesia",216,4583.33,28000.0,-23416.67,6.11,28000.0,6048000.0,47600.0,D1,B1
"Arquitectos, Planificadores Urbanos y del Transporte",1451,7529.67,5728.63,1801.04,0.76,7529.67,10925551.17,12800.44,F,E
Desarrolladores y Analistas de Software y Multimedia,6799,13030.15,8462.99,4567.16,0.65,13030.15,88591989.85,22151.25,E,D
Administradores de Bases de Datos y Redes de Computadora,34,0.0,16153.35,-16153.35,0.0,16153.35,549213.9,27460.7,E1,D1
Ingenieros en Comunicaciones y Telecomunicaciones,150,24120.0,4106.67,20013.33,0.17,24120.0,3618000.0,41004.0,D,B
Supervisores e Inspectores Educativos,2332,6634.65,19794.78,-13160.13,2.98,19794.78,46161426.96,33651.13,E1,C
"Pedagogos, Orientadores Educativos y otros Especialistas en Ciencias Educativas",358,13128.49,10218.45,2910.04,0.78,13128.49,4699999.42,22318.43,E,D
Profesores Universitarios y de Enseñanza Superior,2090,11637.2,11277.87,359.33,0.97,11637.2,24321748.0,19783.24,F1,E1
Profesores de Preparatoria y Equivalentes,5788,8615.92,6788.07,1827.85,0.79,8615.92,49868944.96,14647.06,F1,E
Profesores de Enseñanza Secundaria,10840,7744.02,8151.61,-407.59,1.05,8151.61,88363452.39999999,13857.74,F1,E
Profesores de Enseñanza Primaria,20001,6036.02,9088.33,-3052.31,1.51,9088.33,181775688.33,15450.16,F1,E
Profesores de Enseñanza Bilingüe (Indígena),249,13600.0,0.0,13600.0,0.0,13600.0,3386400.0,23120.0,E,D
Profesores de Enseñanza Preescolar,3057,7779.72,4622.65,3157.07,0.59,7779.72,23782604.04,13225.52,F,E
Médicos Generales y Familiares,8164,15722.28,19200.9,-3478.62,1.22,19200.9,156756147.60000002,32641.53,E1,C
Médicos Especialistas,4377,9241.94,3407.4,5834.54,0.37,9241.94,40451971.38,15711.3,F1,E
