precio,denominacion,propiedad,metros_total,metros_construido,tiempo_de_publicacion,tipo,estacionamientos,recamaras,banos,medio_banos,seguridad_privada,ubicacion,url,descripcion,precio_desc,precio_mxn,precio_usd,fecha_conversion,categoria,fecha_estandarizada,dias_transcurridos,meses_transcurridos,fecha_mas_actual,totales_desc,construidos_desc,precio_m2_terreno,precio_m2_construido,estacionamiento_desc,bano_total,ubicacion_desc,Colonia,Municipio,Estado,tipo_lugar,Colonia_Estandarizada,codigo_postal,Status,id,direccion_completa,Latitud,Longitud
6637473.0,MXN,"HÁBITAT ATMOSFERA ECOLOGÍCA EN FLUVIAL, PUERTO VALLARTA, JALISCO",0,70,2024-02-08,Departamento,1,2,2,0,No,"Fracc Residencial Fluvial Vallarta, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx//detalle/41032-73-1a6dca075d2f-7882-df6b92df-a93a-4469,si deseas invertir en un destino turistico fluvial vallarta es una excelente opcion ya que ofrece a sus residentes la mejor infraestructura del puerto centros comerciales farmacias hospitales colegios restaurantes iglesias y mas todas las calles y avenidas dentro de fluvial vallarta son de concreto hidraulico con instalaciones son subterraneas un ambiente limpio y armonioso para disfrutar en la comodidad de tu hogarmodelosterra con balconterra con patioterra con terraza privadaaqua con balconaqua con terraza privada,,6637473.0,332672.0,2024-11-28,S2,2024-02-08,68.0,2.0,2024-04-16,,,inf,94821.04285714286,,2.0,Un Destino Turistico Fluvial Vallarta Es Una Excelente Opcion Ya Que Ofrece A Sus Residentes La Mejor Infraestructura Del Puerto Centros Comerciales Farmacias Hospitales Colegios Restaurantes Iglesias Y Mas Todas Las Calles Y Avenidas Dentro De Fluvial Vallarta Son De Concreto Hidraulico Con Instalaciones Son Subterraneas Un Ambiente Limpio Y Armonioso Para Disfrutar En La Comodidad De Tu Hogarmodelosterra Con Balconterra Con Patioterra Con Terraza Privadaaqua Con Balconaqua Con Terraza Privada,c residencial fluvial vallarta,puerto vallarta,jalisco,frac,residencial fluvial vallarta,48312.0,Venta,1,"residencial fluvial vallarta, puerto vallarta, jalisco, México",20.6470794,-105.227581
550000.0,USD,Mayamar 4-F,0,101,2023-11-26,Departamento,1,1,2,0,No,"Amapas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx//detalle/41032-73-f6f03339ce4b-dc94-e65caa74-88f9-3cd0,maymar un desarrollo de dos torres en elexclusivo barrio en la ladera de amapas ofrece calidad y valor incomparablescada una de las 44 unidades cuenta con acabados completamente de lujo con comodidades en el edificio que incluyen impresionantespiscinas infinitas en la azotea ascensores seguridad las 24 horasy un gimnasio y spa separados entreabundantes jardines y una piscina adicionalestacionamiento escriturado incluido minutos de zonaromantica y la popular playa los muertosla majestuosidad de maymar incluye impresionantes vistas al mar desde cada unidad easybroker id ebmh4452,,10973597.0,550000.0,2024-11-28,E2,2023-11-26,141.0,4.0,2024-04-16,,,inf,108649.47524752477,44.0,2.0,Elexclusivo Barrio En La Ladera De Amapas Ofrece Calidad Y Valor Incomparablescada Una De Las 44 Unidades Cuenta Con Acabados Completamente De Lujo Con Comodidades En El Edificio Que Incluyen Impresionantespiscinas Infinitas En La Azotea Ascensores Seguridad Las 24 Horasy Un Gimnasio Y Spa Separados Entreabundantes Jardines Y Una Piscina Adicionalestacionamiento Escriturado Incluido Minutos De Zonaromantica Y La Popular Playa Los Muertosla Majestuosidad De Maymar Incluye Impresionantes Vistas Al Mar Desde Cada Unidad Easybroker Id Ebmh4452,amapas,puerto vallarta,jalisco,,amapas,48399.0,Venta,2,"amapas, puerto vallarta, jalisco, México",20.597169,-105.2364518
1100000.0,USD,Mayamar 7-A,0,197,2023-11-28,Departamento,1,2,3,0,No,"Amapas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx//detalle/41032-73-a66abfa110c0-1c16-a83a429d-b2af-30dc,maymar un desarrollo de dos torres en elexclusivo barrio en la ladera de amapas ofrece calidad y valor incomparablescada una de las 44 unidades cuenta con acabados completamente de lujo con comodidades en el edificio que incluyen impresionantespiscinas infinitas en la azotea ascensores seguridad las 24 horasy un gimnasio y spa separados entreabundantes jardines y una piscina adicionalestacionamiento escriturado incluido minutos de zonaromantica y la popular playa los muertosla majestuosidad de maymar incluye impresionantes vistas al mar desde cada unidad easybroker id ebmh4554,,21947194.0,1100000.0,2024-11-28,D1,2023-11-28,139.0,4.0,2024-04-16,,,inf,111407.07614213198,44.0,3.0,Elexclusivo Barrio En La Ladera De Amapas Ofrece Calidad Y Valor Incomparablescada Una De Las 44 Unidades Cuenta Con Acabados Completamente De Lujo Con Comodidades En El Edificio Que Incluyen Impresionantespiscinas Infinitas En La Azotea Ascensores Seguridad Las 24 Horasy Un Gimnasio Y Spa Separados Entreabundantes Jardines Y Una Piscina Adicionalestacionamiento Escriturado Incluido Minutos De Zonaromantica Y La Popular Playa Los Muertosla Majestuosidad De Maymar Incluye Impresionantes Vistas Al Mar Desde Cada Unidad Easybroker Id Ebmh4554,amapas,puerto vallarta,jalisco,,amapas,48399.0,Venta,3,"amapas, puerto vallarta, jalisco, México",20.597169,-105.2364518
1300000.0,USD,Mayamar PH-B,0,190,2023-11-28,Departamento,1,2,3,0,No,"Amapas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx//detalle/41032-73-2f5e959d3a2-83b-83b84967-a513-403e,maymar un desarrollo de dos torres en elexclusivo barrio en la ladera de amapas ofrece calidad y valor incomparablescada una de las 44 unidades cuenta con acabados completamente de lujo con comodidades en el edificio que incluyen impresionantespiscinas infinitas en la azotea ascensores seguridad las 24 horasy un gimnasio y spa separados entreabundantes jardines y una piscina adicionalestacionamiento escriturado incluido minutos de zonaromantica y la popular playa los muertosla majestuosidad de maymar incluye impresionantes vistas al mar desde cada unidad easybroker id ebmh4581,,25937593.0,1300000.0,2024-11-28,D2,2023-11-28,139.0,4.0,2024-04-16,,,inf,136513.64736842105,44.0,3.0,Elexclusivo Barrio En La Ladera De Amapas Ofrece Calidad Y Valor Incomparablescada Una De Las 44 Unidades Cuenta Con Acabados Completamente De Lujo Con Comodidades En El Edificio Que Incluyen Impresionantespiscinas Infinitas En La Azotea Ascensores Seguridad Las 24 Horasy Un Gimnasio Y Spa Separados Entreabundantes Jardines Y Una Piscina Adicionalestacionamiento Escriturado Incluido Minutos De Zonaromantica Y La Popular Playa Los Muertosla Majestuosidad De Maymar Incluye Impresionantes Vistas Al Mar Desde Cada Unidad Easybroker Id Ebmh4581,amapas,puerto vallarta,jalisco,,amapas,48399.0,Venta,4,"amapas, puerto vallarta, jalisco, México",20.597169,-105.2364518
575000.0,USD,Mayamar 5-F,0,101,2023-11-28,Departamento,1,1,2,0,No,"Amapas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx//detalle/41032-73-47a4d88aefbe-a411-8072ce10-8bac-3df8,maymar un desarrollo de dos torres en elexclusivo barrio en la ladera de amapas ofrece calidad y valor incomparablescada una de las 44 unidades cuenta con acabados completamente de lujo con comodidades en el edificio que incluyen impresionantespiscinas infinitas en la azotea ascensores seguridad las 24 horasy un gimnasio y spa separados entreabundantes jardines y una piscina adicionalestacionamiento escriturado incluido minutos de zonaromantica y la popular playa los muertosla majestuosidad de maymar incluye impresionantes vistas al mar desde cada unidad easybroker id ebmh4531,,11472397.0,575000.0,2024-11-28,E2,2023-11-28,139.0,4.0,2024-04-16,,,inf,113588.08910891088,44.0,2.0,Elexclusivo Barrio En La Ladera De Amapas Ofrece Calidad Y Valor Incomparablescada Una De Las 44 Unidades Cuenta Con Acabados Completamente De Lujo Con Comodidades En El Edificio Que Incluyen Impresionantespiscinas Infinitas En La Azotea Ascensores Seguridad Las 24 Horasy Un Gimnasio Y Spa Separados Entreabundantes Jardines Y Una Piscina Adicionalestacionamiento Escriturado Incluido Minutos De Zonaromantica Y La Popular Playa Los Muertosla Majestuosidad De Maymar Incluye Impresionantes Vistas Al Mar Desde Cada Unidad Easybroker Id Ebmh4531,amapas,puerto vallarta,jalisco,,amapas,48399.0,Venta,5,"amapas, puerto vallarta, jalisco, México",20.597169,-105.2364518
850000.0,USD,Mayamar 2-A,0,197,2023-11-28,Departamento,1,2,3,0,No,"Amapas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx//detalle/41032-73-4ea49346394-d421-7a78dfeb-b896-3d6e,maymar un desarrollo de dos torres en elexclusivo barrio en la ladera de amapas ofrece calidad y valor incomparablescada una de las 44 unidades cuenta con acabados completamente de lujo con comodidades en el edificio que incluyen impresionantespiscinas infinitas en la azotea ascensores seguridad las 24 horasy un gimnasio y spa separados entreabundantes jardines y una piscina adicionalestacionamiento escriturado incluido minutos de zonaromantica y la popular playa los muertosla majestuosidad de maymar incluye impresionantes vistas al mar desde cada unidad easybroker id ebmh4090,,16959196.0,850000.0,2024-11-28,E3,2023-11-28,139.0,4.0,2024-04-16,,,inf,86087.28934010152,44.0,3.0,Elexclusivo Barrio En La Ladera De Amapas Ofrece Calidad Y Valor Incomparablescada Una De Las 44 Unidades Cuenta Con Acabados Completamente De Lujo Con Comodidades En El Edificio Que Incluyen Impresionantespiscinas Infinitas En La Azotea Ascensores Seguridad Las 24 Horasy Un Gimnasio Y Spa Separados Entreabundantes Jardines Y Una Piscina Adicionalestacionamiento Escriturado Incluido Minutos De Zonaromantica Y La Popular Playa Los Muertosla Majestuosidad De Maymar Incluye Impresionantes Vistas Al Mar Desde Cada Unidad Easybroker Id Ebmh4090,amapas,puerto vallarta,jalisco,,amapas,48399.0,Venta,6,"amapas, puerto vallarta, jalisco, México",20.597169,-105.2364518
800000.0,USD,Mayamar 1-B,0,197,2023-11-28,Departamento,1,2,3,0,No,"Amapas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx//detalle/41032-73-6ee6bbbc5c82-9085-4c57fd8e-8ee0-341e,maymar un desarrollo de dos torres en elexclusivo barrio en la ladera de amapas ofrece calidad y valor incomparablescada una de las 44 unidades cuenta con acabados completamente de lujo con comodidades en el edificio que incluyen impresionantespiscinas infinitas en la azotea ascensores seguridad las 24 horasy un gimnasio y spa separados entreabundantes jardines y una piscina adicionalestacionamiento escriturado incluido minutos de zonaromantica y la popular playa los muertosla majestuosidad de maymar incluye impresionantes vistas al mar desde cada unidad easybroker id ebmh3469,,15961596.0,800000.0,2024-11-28,E3,2023-11-28,139.0,4.0,2024-04-16,,,inf,81023.32994923858,44.0,3.0,Elexclusivo Barrio En La Ladera De Amapas Ofrece Calidad Y Valor Incomparablescada Una De Las 44 Unidades Cuenta Con Acabados Completamente De Lujo Con Comodidades En El Edificio Que Incluyen Impresionantespiscinas Infinitas En La Azotea Ascensores Seguridad Las 24 Horasy Un Gimnasio Y Spa Separados Entreabundantes Jardines Y Una Piscina Adicionalestacionamiento Escriturado Incluido Minutos De Zonaromantica Y La Popular Playa Los Muertosla Majestuosidad De Maymar Incluye Impresionantes Vistas Al Mar Desde Cada Unidad Easybroker Id Ebmh3469,amapas,puerto vallarta,jalisco,,amapas,48399.0,Venta,7,"amapas, puerto vallarta, jalisco, México",20.597169,-105.2364518
550000.0,USD,Mayamar 4-C,0,101,2023-11-28,Departamento,1,1,2,0,No,"Amapas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx//detalle/41032-73-994158cf63ec-ad74-3f617faf-999a-394a,maymar un desarrollo de dos torres en elexclusivo barrio en la ladera de amapas ofrece calidad y valor incomparablescada una de las 44 unidades cuenta con acabados completamente de lujo con comodidades en el edificio que incluyen impresionantespiscinas infinitas en la azotea ascensores seguridad las 24 horasy un gimnasio y spa separados entreabundantes jardines y una piscina adicionalestacionamiento escriturado incluido minutos de zonaromantica y la popular playa los muertosla majestuosidad de maymar incluye impresionantes vistas al mar desde cada unidad easybroker id ebmh4190,,10973597.0,550000.0,2024-11-28,E2,2023-11-28,139.0,4.0,2024-04-16,,,inf,108649.47524752477,44.0,2.0,Elexclusivo Barrio En La Ladera De Amapas Ofrece Calidad Y Valor Incomparablescada Una De Las 44 Unidades Cuenta Con Acabados Completamente De Lujo Con Comodidades En El Edificio Que Incluyen Impresionantespiscinas Infinitas En La Azotea Ascensores Seguridad Las 24 Horasy Un Gimnasio Y Spa Separados Entreabundantes Jardines Y Una Piscina Adicionalestacionamiento Escriturado Incluido Minutos De Zonaromantica Y La Popular Playa Los Muertosla Majestuosidad De Maymar Incluye Impresionantes Vistas Al Mar Desde Cada Unidad Easybroker Id Ebmh4190,amapas,puerto vallarta,jalisco,,amapas,48399.0,Venta,8,"amapas, puerto vallarta, jalisco, México",20.597169,-105.2364518
1050000.0,USD,Mayamar 6-B,0,197,2023-11-28,Departamento,1,2,3,0,No,"Amapas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx//detalle/41032-73-84b6f59b58aa-866-298f36f2-88d6-367b,maymar un desarrollo de dos torres en elexclusivo barrio en la ladera de amapas ofrece calidad y valor incomparablescada una de las 44 unidades cuenta con acabados completamente de lujo con comodidades en el edificio que incluyen impresionantespiscinas infinitas en la azotea ascensores seguridad las 24 horasy un gimnasio y spa separados entreabundantes jardines y una piscina adicionalestacionamiento escriturado incluido minutos de zonaromantica y la popular playa los muertosla majestuosidad de maymar incluye impresionantes vistas al mar desde cada unidad easybroker id ebmh4548,,20949595.0,1050000.0,2024-11-28,D1,2023-11-28,139.0,4.0,2024-04-16,,,inf,106343.12182741116,44.0,3.0,Elexclusivo Barrio En La Ladera De Amapas Ofrece Calidad Y Valor Incomparablescada Una De Las 44 Unidades Cuenta Con Acabados Completamente De Lujo Con Comodidades En El Edificio Que Incluyen Impresionantespiscinas Infinitas En La Azotea Ascensores Seguridad Las 24 Horasy Un Gimnasio Y Spa Separados Entreabundantes Jardines Y Una Piscina Adicionalestacionamiento Escriturado Incluido Minutos De Zonaromantica Y La Popular Playa Los Muertosla Majestuosidad De Maymar Incluye Impresionantes Vistas Al Mar Desde Cada Unidad Easybroker Id Ebmh4548,amapas,puerto vallarta,jalisco,,amapas,48399.0,Venta,9,"amapas, puerto vallarta, jalisco, México",20.597169,-105.2364518
6736387.0,MXN,Costa Rican Tower 2-A,0,96,2023-11-28,Departamento,1,2,2,0,No,"5 de Diciembre, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx//detalle/41032-73-7235320e73ac-e70a-a12106ef-814c-32bf,costa rican tower un desarrollo de 6 niveles y 17 unidadesen el corazon de puerto vallarta ubicado en elimpresionante barrio 5 de diciembre a solo seiscuadras de la playa vistas al mar esperan desdeel segundo nivel hacia arriba un viaje en ascensor a lala azotea revela una piscina infinita y lo masincreible perspectiva de la ciudad esta area dela ciudad esta floreciendo con nuevos cafes restaurantesy condominios lo que lo convierte en el lugar perfecto para vivir descuentos disponibles easybroker id ebmb6379,,6736387.0,337630.0,2024-11-28,S2,2023-11-28,139.0,4.0,2024-04-16,,,inf,70170.69791666667,6.0,2.0,El Corazon De Puerto Vallarta Ubicado En Elimpresionante Barrio 5 De Diciembre A Solo Seiscuadras De La Playa Vistas Al Mar Esperan Desdeel Segundo Nivel Hacia Arriba Un Viaje En Ascensor A Lala Azotea Revela Una Piscina Infinita Y Lo Masincreible Perspectiva De La Ciudad Esta Area Dela Ciudad Esta Floreciendo Con Nuevos Cafes Restaurantesy Condominios Lo Que Lo Convierte En El Lugar Perfecto Para Vivir Descuentos Disponibles Easybroker Id Ebmb6379,5 de diciembre,puerto vallarta,jalisco,,5 de diciembre,48350.0,Venta,10,"5 de diciembre, puerto vallarta, jalisco, México",20.6171519,-105.2290344
