precio,denominacion,propiedad,metros_total,metros_construido,tiempo_de_publicacion,tipo,estacionamientos,recamaras,banos,medio_banos,seguridad_privada,ubicacion,url,descripcion,precio_desc,precio_mxn,precio_usd,fecha_conversion,categoria,fecha_estandarizada,dias_transcurridos,meses_transcurridos,fecha_mas_actual,totales_desc,construidos_desc,precio_m2_terreno,precio_m2_construido,estacionamiento_desc,recamaras_desc,baños_desc,baños_completos,medios_baños,bano_total,Colonia,Municipio,Estado,tipo_lugar,Colonia_Estandarizada,codigo_postal,Status,id,direccion_completa,Latitud,Longitud
999000.0,USD,MARINA VALLARTA!!!,0.0,222,2024-11-17,Departamento,1,3,3,0,No,"Marina Vallarta, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-dda46bc65c33-621e-1932304-9cc4-7d22,impresionantes vistas a la playa las piscinas los jardines y hermosos atardeceres en este condominio de 3 dormitorios y 3 banos cuarto extra en area de tv noveno piso de bay view grand el desarrollo cuenta con un snack bar junto a la alberca area de playa privada canchas de tenis gimnasio y spa seguridad 247 y oficina administrativa en el lugar aproveche y conviertase en el propietario de esta lujosa propiedadstunning views of the beach pools gardens and beautiful sunsets in this 3bedroom 3bathroom condominium extra room in tv area 9th floor of bay view grand the development features a poolside snack bar private beach area tennis courts gym and spa 247 security and onsite administrative office take advantage to become the owner of this luxurious propertyall information is deemed reliable but not guaranteed the listings on this site are displayed courtesy of the idx program of ampi vallarta nayarit mls and may not be the listings of the site owner,,19932043.0,999000.0,2024-11-29,E3,2024-11-17,0,0,2024-11-17,,,inf,89783.97747747747,3.0,3.0,"{'completos': 0, 'medios': 0}",0,0,3.0,marina vallarta,puerto vallarta,jalisco,,marina vallarta,48335.0,Venta,1,"marina vallarta, puerto vallarta, jalisco, México",20.6674403,-105.2566918
710000.0,USD,MARINA VALLARTA !!,0.0,159,2024-11-17,Departamento,1,2,2,0,No,"Marina Vallarta, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-9f3ca2f498ed-7772-19322fb-a946-7399,english belowbienvenido a su nuevo hogar en porto fino beachfront marina vallarta este condominio de 2 dormitorios y 2 banos ofrece un estilo de vida unico con amplias vistas al oceano desde el septimo piso imagine despertarse con el sonido de las olas y disfrutar de su cafe matutino mientras contempla las vistas impresionantespor dentro el condominio esta completamente amueblado y listo para mudarse el espacio esta disenado para la comodidad y el estilo con estacionamiento seguro para su convenienciadisfrute de las extensas comodidades incluyendo un gimnasio totalmente equipado y dos grandes piscinas frente a la playa todo bajo la atenta mirada de seguridad 24 horas esto es vida costera en su maxima expresion englishwelcome to your new home in porto fino beachfront marina vallarta this 2bedroom 2bathroom condo offers a unique lifestyle with expansive views of the ocean from the 7th floor imagine waking up to the sound of waves and enjoying your morning coffee while taking in the stunning vistasinside the condo is fully furnished and ready for you to move in the living space is designed for comfort and style with secured parking for your convenienceenjoy the extensive amenities including a fullyequipped gym and two large beachside pools all under the watchful eye of 24hour security this is coastal living at its finestall information is deemed reliable but not guaranteed the listings on this site are displayed courtesy of the idx program of ampi vallarta nayarit mls and may not be the listings of the site owner,,14165916.0,710000.0,2024-11-29,E2,2024-11-17,0,0,2024-11-17,,,inf,89093.81132075471,2.0,2.0,"{'completos': 0, 'medios': 0}",0,0,2.0,marina vallarta,puerto vallarta,jalisco,,marina vallarta,48335.0,Venta,2,"marina vallarta, puerto vallarta, jalisco, México",20.6674403,-105.2566918
1650000.0,USD,DEPARTAMENTO DE LUJO EN MARINA VALLARTA!!!,0.0,0,2024-11-17,Departamento,1,5,5,1,No,"Marina Vallarta, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-3e1daf847033-602c-193230d-89a5-7931,esta inigualable propiedad situada en una de las zonas mas exclusivas de pvrmarina completamente remodelada y con vistas impresionantes no tiene comparacion localizada a solo unos metros del mar con los mas finos acabados y ampliada para dar lugar a 5 recamaras the villa tiene una relacion valorprecio inigualables no existe nada igualthe villa is located on a strip of semi private beach just a few minutes walk from the prestigious marina vallartasituated just a few steps from the beach it gives the lucky owners the luxury of a spectacular oceanfront villa with the convenience of living in a gated and private communityit comprises 5 bedrooms and 55 bathroomsit had a complete 300000 transformation in 2021it also has proven rental income generating over 140000do not miss out on this rare opportunitythis is the only oceanfront villa under 2000000all information is deemed reliable but not guaranteed the listings on this site are displayed courtesy of the idx program of ampi vallarta nayarit mls and may not be the listings of the site owner,,32920791.0,1650000.0,2024-11-29,D3,2024-11-17,0,0,2024-11-17,,,inf,inf,5.0,5.0,"{'completos': 0, 'medios': 0}",0,0,5.5,marina vallarta,puerto vallarta,jalisco,,marina vallarta,48335.0,Venta,3,"marina vallarta, puerto vallarta, jalisco, México",20.6674403,-105.2566918
4025000.0,MXN,VILLAS MARES DE VERANO B2,104.0,104,2024-06-24,Casa En Condominio,1,2,2,0,No,"Lomas de Mismaloya, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-cabea90b006a-b3ca-7255c71d-86c4-4819,villas mares de verano ubicadas entre selva playa y rio a 5 minutos caminando de la playa de mismaloya y a pocos metros del set original de la pelicula la noche de la iguana que hizo famosa a vallarta ubicada directamente frente a la carretera principal facil acceso en coche o autobus como sabra la costa sur es la mejor ubicacion y tiene las mejores playas de la bahiaconsta de 16 residencias privadas exclusivas todo el complejo esta amurallado y la entrada esta permitida exclusivamente a los residentes y sus invitados las comodidades exteriores incluiran 2 piscinas estacionamiento jardin y paisajismo combinados con excelente luz exteriorbienvenidos a la hermosa villa a3 ubicada a solo 5 minutos caminando de la playa de mismaloya esta encantadora residencia esta disenada para ofrecerle una estancia comoda y relajante con una ubicacion privilegiada que le permite disfrutar facilmente de los beneficios del entorno costero,,4025000.0,201734.0,2024-11-29,S1,2024-06-24,144,4,2024-11-17,,,38701.92307692308,38701.92307692308,5.0,,"{'completos': 0, 'medios': 0}",0,0,2.0,lomas de mismaloya,puerto vallarta,jalisco,,mismaloya,48294.0,Venta,4,"mismaloya, puerto vallarta, jalisco, México",20.534933,-105.2874037
4462500.0,MXN,VILLAS MARES DE VERANO A5,144039.0,144039,2024-06-24,Casa En Condominio,1,2,2,0,No,"Lomas de Mismaloya, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-2b369c179933-d068-4dd9f1b-8fbc-5030,villas mares de verano ubicadas entre selva playa y rio a 5 minutos caminando de la playa de mismaloya y a pocos metros del set original de la pelicula la noche de la iguana que hizo famosa a vallarta ubicada directamente frente a la carretera principal  facil acceso en coche o autobus como sabra la costa sur es la mejor ubicacion y tiene las mejores playas de la bahiaconsta de 16 residencias privadas exclusivas todo el complejo esta amurallado y la entrada esta permitida exclusivamente a los residentes y sus invitados las comodidades exteriores incluiran 2 piscinas estacionamiento jardin y paisajismo combinados con excelente luz exteriorbienvenidos a la hermosa villa a3 ubicada a solo 5 minutos caminando de la playa de mismaloya esta encantadora residencia esta disenada para ofrecerle una estancia comoda y relajante con una ubicacion privilegiada que le permite disfrutar facilmente de los beneficios del entorno costero,,4462500.0,223662.0,2024-11-29,S1,2024-06-24,144,4,2024-11-17,,,30.981192593672542,30.981192593672542,5.0,,"{'completos': 0, 'medios': 0}",0,0,2.0,lomas de mismaloya,puerto vallarta,jalisco,,mismaloya,48294.0,Venta,5,"mismaloya, puerto vallarta, jalisco, México",20.534933,-105.2874037
4025000.0,MXN,VILLAS MARES DE VERANO B1,103.0,103,2024-06-24,Casa En Condominio,1,2,2,0,No,"Lomas de Mismaloya, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-2f8eeb254f7a-8b34-3db9b354-bdc4-4911,villas mares de verano ubicadas entre selva playa y rio a 5 minutos caminando de la playa de mismaloya y a pocos metros del set original de la pelicula la noche de la iguana que hizo famosa a vallarta ubicada directamente frente a la carretera principal  facil acceso en coche o autobus como sabra la costa sur es la mejor ubicacion y tiene las mejores playas de la bahiaconsta de 16 residencias privadas exclusivas todo el complejo esta amurallado y la entrada esta permitida exclusivamente a los residentes y sus invitados las comodidades exteriores incluiran 2 piscinas estacionamiento jardin y paisajismo combinados con excelente luz exteriorbienvenidos a la hermosa villa a3 ubicada a solo 5 minutos caminando de la playa de mismaloya esta encantadora residencia esta disenada para ofrecerle una estancia comoda y relajante con una ubicacion privilegiada que le permite disfrutar facilmente de los beneficios del entorno costero,,4025000.0,201734.0,2024-11-29,S1,2024-06-24,144,4,2024-11-17,,,39077.66990291263,39077.66990291263,5.0,,"{'completos': 0, 'medios': 0}",0,0,2.0,lomas de mismaloya,puerto vallarta,jalisco,,mismaloya,48294.0,Venta,6,"mismaloya, puerto vallarta, jalisco, México",20.534933,-105.2874037
5215000.0,MXN,VILLAS MARES DE VERANO A4,3600.0,239,2024-06-12,Casa En Condominio,1,3,3,1,No,"Lomas de Mismaloya, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-38ca2c9fcfd7-8a28-c10ee492-baa7-49f0,bienvenido a villas mares de verano a4 una encantadora residencia de dos niveles disenada para ofrecer comodidad y espacio durante tu estancia en mismaloya permiteme describirte en detalle todas las comodidades que esta villa tiene para ofrecerteplanta bajaal ingresar a la planta baja te encontraras con una espaciosa recamara con closet ventilador de techo ademas encontraras una amplia cocina sala y comedor amplisimos donde podras relajarte y disfrutar de momentos de convivencia segundo pisosubiendo al segundo piso encontraras la amplisima recamara principal que cuenta con un bano completo area para closets muy amplios y ventiladores de techo desde el balcon de esta habitacion podras disfrutar de vistas impresionantes a las montanas y al area de la alberca ademas encontraras una amplia tercera habitacion con closet muy amplio un bano completo y ventiladores de techoestacionamientola villa cuenta con estacionamiento para un automovilcon su amplio espacio comodidades modernas y vistas espectaculares villas mares de verano a4 te ofrece todo lo que necesitas para disfrutar de una vida tranquila y a la vez emocionante en mismaloya puerto vallarta,,5215000.0,261377.0,2024-11-29,S1,2024-06-12,155,5,2024-11-17,,,1448.611111111111,21820.083682008368,,,"{'completos': 0, 'medios': 0}",0,0,3.5,lomas de mismaloya,puerto vallarta,jalisco,,mismaloya,48294.0,Venta,7,"mismaloya, puerto vallarta, jalisco, México",20.534933,-105.2874037
5215000.0,MXN,VILLAS MARES DE VERANO A3,3600.0,240,2024-06-14,Casa En Condominio,1,3,3,1,No,"Lomas de Mismaloya, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-a75c3eab6ab0-54fe-70ef43e5-8f8c-46cd,villas mares de verano estan localizadas a 15 minutos al sur del malecon de puerto vallarta a solo 400 metros del acceso principal de la playa de mismaloya coto residencial con 16 exclusivas villas rodeadas de vegetacion a solo minutos de actividades diversas como el zoologico de puerto vallarta canopy rapel montar a caballo o pasear en lancha a las playas aledanasvilla a3 te recibira a una espaciosa sala de estar que se integra con el comedor y la cocina creando un ambiente acogedor y funcional asi como un cuarto de lavanderia adyacente a la cocinaen cuanto a las habitaciones en el primer piso encontraras una habitacion y un bano completo adjunto subiendo al segundo piso hay 2 habitaciones cada una con su propio bano amplio y completo desde estas habitaciones podras contemplar las impresionantes vistas de las montanas circundantes que anaden un toque de serenidad a tu experiencia vacacionalcon su ubicacion privilegiada donde podras disfrutar de la naturaleza de esta hermosa zona en mismaloya,,5215000.0,261377.0,2024-11-29,S1,2024-06-14,153,5,2024-11-17,400.0,400.0,1448.611111111111,21729.166666666668,15.0,2.0,"{'completos': 0, 'medios': 0}",0,0,3.5,lomas de mismaloya,puerto vallarta,jalisco,,mismaloya,48294.0,Venta,8,"mismaloya, puerto vallarta, jalisco, México",20.534933,-105.2874037
7000000.0,MXN,DEPARTAMENTO EN VENTA MARINA PUERTO VALLARTA,0.0,65,2024-11-17,Departamento,1,1,1,0,No,"Marina Vallarta, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-c258f06952bf-ac7f-192e32c-9272-7ae9,en condominio nautico  combinacion del esplendor tradicional con el estilo contemporaneo ofreciendo vistas impresionantes de la marina y creando experiencias que duraran toda la vidaterminados con acabados de lujo cocinas importadas totalmente equipadas pisos de porcelanato aire acondicionado y terrazas espectaculares vistas al pacificoamenidadesbaralbercajacuzzispagimnasioterrazaseguridad y camaraselevador  3  piso 3,,7000000.0,350842.0,2024-11-29,S2,2024-11-17,0,0,2024-11-17,,,inf,107692.30769230767,3.0,,"{'completos': 0, 'medios': 0}",0,0,1.0,marina vallarta,puerto vallarta,jalisco,,marina vallarta,48335.0,Venta,9,"marina vallarta, puerto vallarta, jalisco, México",20.6674403,-105.2566918
4240735.0,MXN,HERMOSO DEPARTENTO EN VENTA FLUVIAL VALLARTA CON VISTA LAS MONTAÑAS,0.0,45,2024-11-17,Departamento,1,1,1,0,No,"Residencial Fluvial Vallarta, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-a44827907dff-453e-192fa0d-b1a8-7e19,valarte es un refugio de 103 condominios residenciales en puerto vallarta desarrollado por el reconocido grupo gova ubicado en versalles y fluvial dos de las comunidades mas dinamicas de la region elige entre nuestros generosos departamentos contemporaneos desde lofts tipo estudio hasta unidades de una a tres recamaras disfruta de amenidades unicas como sala de cine exclusiva alberca infinita con vistas impresionantes areas recreativas amplias un centro fitness equipado con lo ultimo en tecnologia y mucho mas y si buscas relajarte puedes disfrutar de nuestra alberca infinita con areas para tomar el sol es una de las mas grandes de la region con aproximadamente 60 pies de longitud en su punto mas extenso y abarcando mas de 1100 pies cuadrados  el centro de fitness sera el favorito de quienes se preocupan por su bienestar fisico equipado con tecnologia de punta y grandes ventanas con vistas espectaculares te inspirara a dar lo mejor de ti en cada sesionun estilo de vida excepcional te esperasala de juegos y lounge familiar dos areas de parque familiar area para mascotas zona de exposiciones centro de coworking con salas de conferencias sala de cine con capacidad para 16 personas piscina infinita  areas de descanso al aire libre y cubiertas multiples areas para asolearse centro de fitness centro de usos multiples en el roof top  rooftop sky lounge con vista de 360 dos ascensores tambien cuenta conlobby de doble altura bar y lounge con aire acondicionado abundantes espacios verdes al aire libre amplios jardines en todo el recinto  vistas al oceano ciudad y montanas segun la unidad fuentes de agua acabados en piedra natural en todo el recinto recepcion con acceso controlado cctv en areas comunes area de snacks ubicacion  valarte se encuentra en el corazon de versalles y fluvial en puerto vallarta dos comunidades en crecimiento y altamente deseables en el centro de la ciudad su ubicacion esta a solo 10 minutos del aeropuerto la playa y el centro de la ciudad y a 15 minutos de la zona romanticacasco antiguolas colonias cercanas ofrecen acceso a las comodidades esenciales para la vida urbana moderna centros comerciales con marcas globales supermercados gimnasios spas marcas de estilo de vida y salud y hospitales nacionales de ultima generacion,,4240735.0,212547.0,2024-11-29,S1,2024-11-17,0,0,2024-11-17,,,inf,94238.55555555556,103.0,,"{'completos': 0, 'medios': 0}",0,0,1.0,residencial fluvial vallarta,puerto vallarta,jalisco,,residencial fluvial vallarta,48312.0,Venta,10,"residencial fluvial vallarta, puerto vallarta, jalisco, México",20.6470794,-105.227581
