precio,denominacion,propiedad,metros_total,metros_construido,tiempo_de_publicacion,tipo,estacionamientos,recamaras,banos,medio_banos,seguridad_privada,ubicacion,url,descripcion,precio_desc,precio_mxn,precio_usd,fecha_conversion,categoria,fecha_estandarizada,dias_transcurridos,meses_transcurridos,fecha_mas_actual,totales_desc,construidos_desc,precio_m2_terreno,precio_m2_construido,estacionamiento_desc,recamaras_desc,baños_desc,baños_completos,medios_baños,bano_total,Colonia,Municipio,Estado,tipo_lugar,Colonia_Estandarizada,codigo_postal,Status,id
7599000.0,MXN,1 Camino de la Laguna Casa Camino de Laguna,261,195,2023-11-28,Casa,1,3,3,0,No,"Mezcales, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-5d3cc864d582-d8a2-b5839ff0-9ed7-3a63,hermosa casa dentro del hermoso country rodeado por la selva de la laguna el quelele creada con el gusto mas exquisito moderno y calido que te encantaran sus espacios amplios esta casa cuenta con una terraza muy amplia con piscina privada rematada con chukum disenada para ser vivida como una unidad completa o en dos pisos separados que pueden ser un gran ingreso de alquiler easybroker id ebou1499,,7599000.0,380864.0,2024-11-30,S2,2023-11-28,251,8,2024-08-08,,,29114.94252873563,38969.230769230766,,,"{'completos': 0, 'medios': 0}",0,0,3.0,mezcales,bahia de banderas,nayarit,,mezcales,63735.0,Venta,1
4500000.0,MXN,House for sale in Joyas Vallarta 73,216,100,2024-08-08,Casa,1,4,4,1,No,"Las Jarretaderas, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-53f1359b2d39-802c-190ece4-a27b-792f,discover your ideal home house furnished with everything you need garage ground floor bedroom with full bathroom air conditioning and a laundry patio with washing machine and dryer kitchen equipped with stove large refrigerator and microwave relax in the airconditioned room with access to the garden and the communitys common pool the upper floor has 3 bedrooms each with its own full bathroom and air conditioning the master bedroom includes a queen bed ideal for the whole family near vidanta easybroker id ebqu2200,,4500000.0,225541.0,2024-11-30,S1,2024-08-08,0,0,2024-08-08,,,20833.333333333332,45000.0,3.0,,"{'completos': 0, 'medios': 0}",0,0,4.5,las jarretaderas,bahia de banderas,nayarit,,las jarretaderas,63735.0,Venta,2
9200000.0,MXN,Hacienda San Pancho Orquidea 11 Orquidea 11,0,184,2024-05-09,Departamento,1,2,2,0,No,"San Francisco, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-70b17b8dfd0b-994a-18f5b27-a1ce-79f7,este penthouse de 2 recamaras y 2 banos esta ubicado dentro de la comunidad privada y cerrada de hacienda san pancho la comunidad ofrece un club de playa y una piscina privada frente al mar con acceso directo a la playa este condominio bellamente decorado tiene pisos de concreto y baldosas encimeras de cuarzo y muebles hechos a medida que realzan la elegancia y comodidad de este penthouse el diseno de concepto abierto crea una atmosfera espaciosa y acogedora perfecta tanto para relajarse como para entretenerse con un gran patio que ofrece vistas a la piscina mas pequena y al sereno entorno es un lugar ideal para relajarse y disfrutar de la belleza de san pancho bienvenido a casa easybroker id ebqe1304,,9200000.0,461107.0,2024-11-30,S3,2024-05-09,90,2,2024-08-08,,,inf,50000.0,2.0,2.0,"{'completos': 0, 'medios': 0}",0,0,2.0,san francisco,bahia de banderas,nayarit,,san francisco,63729.0,Venta,3
23280000.0,MXN,CASA PARAÍSO EN LOS TIGRES RESIDENCIAL,0,485,2024-07-02,Departamento,1,5,6,0,No,"Nuevo Vallarta, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-97021f60db1-c142-b1ffcd39-ac80-10ab,residencia de 5 habitaciones amplias con bano propio todascochera para 4 autosalbercaa estrenar,,23280000.0,1166801.0,2024-11-30,ELITE,2024-07-02,36,1,2024-08-08,,,inf,48000.0,5.0,5.0,"{'completos': 0, 'medios': 0}",0,0,6.0,nuevo vallarta,bahia de banderas,nayarit,,nuevo vallarta,63735.0,Venta,4
20467140.0,MXN,DEPARTAMENTO EN PENINSULA NUEVO VALLARTA.,0,237,2024-07-02,Departamento,1,4,3,0,No,"Nuevo Vallarta, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-97021f60db1-be3b-6cbf71d9-ac80-10ab,3 recamaras  1 den3 banos2 cajones de estacionamiento2 canchas de padel1 cancha de tenisgimnasiocinealbercas climatizadasrestaurante,,20467140.0,1025819.0,2024-11-30,L+,2024-07-02,36,1,2024-08-08,,,inf,86359.24050632911,3.0,3.0,"{'completos': 0, 'medios': 0}",0,0,3.0,nuevo vallarta,bahia de banderas,nayarit,,nuevo vallarta,63735.0,Venta,5
5304000.0,MXN,DEPARTAMENTO EN MARITIMA GOLF,0,53,2024-08-08,Departamento,1,1,1,0,No,"Nuevo Vallarta, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-c3379fdeb787-364-b9f6dbd9-9661-1103,1 recamara1 banoalbercajacuzzigimnasiohome theaterrooftopacceso a playa,,5304000.0,265838.0,2024-11-30,S1,2024-08-08,0,0,2024-08-08,,,inf,100075.47169811321,1.0,,"{'completos': 0, 'medios': 0}",0,0,1.0,nuevo vallarta,bahia de banderas,nayarit,,nuevo vallarta,63735.0,Venta,6
10800000.0,MXN,DEPARTAMENTO EN MARITIMA GOLF,0,157,2024-07-02,Departamento,1,3,3,0,No,"Nuevo Vallarta, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-97021f60db1-d1df-69031c69-ac80-10ab,3 recamaras 3 banos albercajacuzzigimnasioroof top con albercaacceso a playa,,10800000.0,541299.0,2024-11-30,S3,2024-07-02,36,1,2024-08-08,,,inf,68789.80891719746,3.0,3.0,"{'completos': 0, 'medios': 0}",0,0,3.0,nuevo vallarta,bahia de banderas,nayarit,,nuevo vallarta,63735.0,Venta,7
11900000.0,MXN,RESIDENCIA FRACCIONAMIENTO B NAYAR,250,320,2024-05-14,Casa En Fraccionamiento,1,4,5,0,No,"Cruz de Juanacaxtle, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-fd2b2d19c698-7223-de6ee0ae-9645-4624,hermosa residencia nuevaubicada en fraccionamiento con seguridad 247 y rodeado de jardinesesta propiedad tiene acceso a club de playa restaurantes y areas recreativasacabados de lujo y alberca privada3 recamaras superiores con vestidor y bano completo4ta recamara en planta baja con bano completoaire acondicionado y ventiladores en recamaras y en areas comunesarea de lavado en 2da plantacocina equipada con vista y vinculacion directa a terraza y albercailuminacion y ventilacion natural,,11900000.0,596432.0,2024-11-30,S3,2024-05-14,85,2,2024-08-08,,,47600.0,37187.5,247.0,,"{'completos': 0, 'medios': 0}",0,0,5.0,cruz de juanacaxtle,bahia de banderas,nayarit,,cruz de huanacaxtle,63734.0,Venta,8
1900000.0,USD,DEPARTAMENTOS EN LITUBU PUNTA DE MITA,0,324,2022-12-02,Departamento,1,3,3,1,No,"Higuera Blanca, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-4551893def22-63ba-6ef4958c-906e-34f9,44 departamentos de 3 a 5 recamarasvista al marcampo de golfalberca infinity10 amenidades easybroker id ebmc3017,,37908790.0,1900000.0,2024-11-30,C1,2022-12-02,611,20,2024-08-08,,,inf,117002.43827160494,44.0,,"{'completos': 0, 'medios': 0}",0,0,3.5,higuera blanca,bahia de banderas,nayarit,,higuera blanca,63734.0,Venta,9
1215000.0,MXN,"Departamento en preventa en Riviera Nayarit, fraccionamiento Zitadela",0,51,2024-01-10,Departamento,1,2,1,0,No,"Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-733e461ae794-f112-ea40099a-9d46-4220,venta de departamento en 2do nivel en preventase localiza en una zona altamenteconsolidada en la localidad de sanclemente de lima a solo 5 kms delcrucero mas importante de bahia debanderas carretera federal 200 ycarretera a el colomoen dicha zona se cuenta con servicioshospitalarios y educativos asi como areascomerciales y tiendas de convenienciala ubicacion diseno y calidad son susfortalezas,,1215000.0,60896.0,2024-11-30,D1,2024-01-10,209,6,2024-08-08,,,inf,23823.529411764706,5.0,,"{'completos': 0, 'medios': 0}",0,0,1.0,bahia de banderas,bahia de banderas,nayarit,,bahia de banderas,63737.0,Venta,10
