propiedad,tipo,precio,denominacion,visualizaciones,metros_total,metros_construido,banos,medio_banos,estacionamientos,recamaras,antiguedad,tiempo_de_publicacion,status_desarrollo,ubicacion,url,descripcion,latitud,longitud
,,0,MXN,186,0,0,0,0,0,0,0,186 visualizaciones,,"punta negra,  Punta Mita, Bahía de Banderas",https://www.inmuebles24.com/propiedades/desarrollo/ememvein-torre-marsai-144456659.html,"¡Tu Nuevo Paraíso en Punta de Mita! Descubre la Exclusividad de Vivir Frente al Mar Imagina despertar cada mañana con la vista panorámica de una de las playas más espectaculares y exclusivas de México. ¡Tu oportunidad ha llegado! Presentamos nuestra torre de departamentos de 24 unidades en la codiciada Punta de Mita. Ubicación Inmejorable Situada a orillas de la playa y rodeada de un entorno de lujo, nuestra torre ofrece una experiencia de vida sin igual. Justo al lado del Campo de Golf Higuera Blanca y en el corazón del destino turístico con mayor crecimiento e inversión en México, Punta de Mita te garantiza un estilo de vida de primera clase. ️♂️ Cercanía a la Exclusividad Antes un hotel de lujo, este imponente edificio está diseñado para brindarte la comodidad y sofisticación que mereces. En este rincón del paraíso, deportistas y famosos ya han encontrado su hogar. ¡Ahora es tu turno! Características Destacadas: 24 Unidades Exclusivas con vistas al mar Acceso Directo a la Playa Mejores Campo de Golf de México a unos pasos. Diseño Moderno y Elegante Servicios de Primera Clase y seguridad 24/7 No dejes pasar esta oportunidad única. Punta de Mita está esperando por ti con brazos abiertos y las olas del mar como testigos de tu nuevo comienzo. ¡Contáctanos hoy mismo y asegura tu lugar en el paraíso",20.788049400000000,-105.495786800000000
,,0,MXN,41,0,0,0,0,0,0,0,41 visualizaciones,,"Camino al Tizate 68, col. El Tizate,  Cruz de Huanacaxtle, Bahía de Banderas",https://www.inmuebles24.com/propiedades/desarrollo/ememvein-crystal-cove-144691854.html,"Ubicado en La Cruz de Huanacaxtle Desde $5,900,000 18 Sub prototipos Departamentos con Vistas panorámicas a la bahia Departamentos de 1,2 y 3 recamaras AMENIDADES •Recepción •Piscinas y Jacuzzi •Rooftop con alberca •Área de trabajo •Gimnasio •Bar •Muelle privado •Kayak •Jet ski (motos acuaticas) •Spa •Estacionamiento subterráneo •Puerta cerrada las 24 horas Todos los departamentos cuentan con Terraza [1:52 p.m., 3/10/2024] Adriana RD: ESPECIFICACIONES DE CONSTRUCCIÓN ESTRUCTURA Cimentación: En zapatas y contratrabes: F’C 350 KG/CM2 Columnas: F’C 550 KG/CM2 Muros de contención: F’C 250 KG/CM2 Muros: HEBEL Losa entrepiso: F’C 400 KG /CM2 INSTALACIONES Tubería de gas: En tubería multicapa de cobre tupo L de 32mm a 19mm Tubería hidráulica: En PVC cedula 40 agua fría y CPVC cedula 40 agua caliente Tubería sanitaria: En tubería PVC sanitaria Salida para voz y datos: canalización tubo conduit rígido Extracción: extractor S&P 4” PCI: Detectores de humo en pasillos y zonas comunes, hidrantes ubicados en zonas estratégicas de acuerdo con NMX-S-066-SCFI-2015 Boiler de paso ACABADOS, PISOS Y ZOCLOS Pisos Interiores: mármol travertino Terrazas: mármol travertino acabado anti derrapante Cuarto de servicio: mármol Travertino Sala - comedor: mármol Travertino Recámaras: mármol Travertino Otros Muros: Pintura Pro 1000 Matte Color Latte 274- 02 Marca Comex Baño principal: Firenze navona 59.3X119 mate o similar Baño secundario: Firenze boreas 59.3 x119 mate mate o similar [1:53 p.m., 3/10/2024] Adriana RD: Baño área húmeda principal: Firenze navona 59.3 x 119 brillante o similar Baño área húmeda secundario: Firenze boreas 59.3x119 brillante o similar Otros Muros: Pintura Pro 1000 Matte Color Latte 274- 02 Marca Comex ACABADOS MUROS Y PLAFONES Plafones: Liso Corrido De Tablaroca, Color Blanco Chantilli Pro 1000 Mate Marca Comex Plafones en terrazas: plafones de durock con terminación tipo duela o similar Muros interiores: Pintura Pro 1000 Matte Color Latte 274-02 Marca Comex HERRERIA Y CARPINTERIA Marcos y ventanas: cancelería de pvc REHAU negro o similar, Cristal Transparente Cancelería de Baños: Cristal templado con película de privacidad Barandales: Cristal templado con servilletero negro Puertas: De tambor, con recubrimiento melaminico acabado Encino o Nogal Closets: Tablero con recubrimiento melaminico acabado Encino o Nogal Vanities: Tablero con recubrimiento melaminico acabado Encino o Nogal Cerrajería: Marca Jako o similar Color Negro Cocina: Gabinetes, Frentes de cocina con recubrimiento melaminico, dos colores a selección, Alacenas frentes de cocina con recubrimiento melaminico alto brillo dos colores a selección CUBIERTAS Baño principal: Cubierta mármol calacatta white o similar Baño secundario: Cubierta mármol calacatta white o similar Cocina: Cubierta cuarzo tipo calacatta o similar REFRIGERACION Sistema modular HVAC tipo VRF o similar",20.758874300000000,-105.367121600000000
,,0,MXN,61,0,0,0,0,0,0,0,61 visualizaciones,,"Paseo de los Cocoteros 101, flamingos,  Ejido Nuevo Vallarta, Bahía de Banderas",https://www.inmuebles24.com/propiedades/desarrollo/ememvein-quinta-san-miguel-ocean-canal-144800506.html,"QUINTA SAN MIGUEL OCEAN & CANAL ubicado en Nuevo Vallarta zona hotelera A 3 minutos de la playa y cruzando.. la mejor playa de Nuevo Vallarta, con bandera azul.. QUINTA SAN MIGUEL OCEAN & CANAL Es un nuevo proyecto de condominios de lujo en el corazón de Nuevo Vallarta, justo en el canal accesible para botes. Está encabezado por los desarrolladores de renombre AMG, es un desarrollo exclusivo con un sabor único, que ofrece resguardos de botes privados en el área del canal de manglares de Nuevo Vallarta, este desarrollo está rodeado de complejos de lujo, de 3 a 4 millas de áreas para caminar o andar en bicicleta Precios Desde $4,229,400 MXN AMENIDADES -2 Albercas climatizadas -Rooftop con alberca y -Vista panorámica a la bahia -Cancha de tenis -Restaurante Bar -Elevadores -Área de asoleadores -Área de duchas y baños -zona comercial -Muelles -Estacionamiento subterráneo -seguridad 24hrs CERCANIAS Plaza Paradise Bancos Restaurantes Hospital San Javier Marina Nuevo Vallarta Grupo Vidanta Super mercados Hotel Gran Velas (5 diamantes) Hotel Hard Rock CARACTERÍSTICAS Exclusivo desarrollo distinguido por sus muelles privados rodeado denaturaleza. TIPOS DE UNIDADES de 1, 2 y 3 recámaras. 4 PH's con rooftop privado. SUPERFICIES Desde 55 m2 hasta 374.5 m2 ESPECIFICACIONES / ACABADOS Pisos de porcelanato, estufa eléctrica, horno eléctrico, microondas,ventanería PVC, cubierta de granito en cocina, tarja con triturador,aires acondicionados con tecnolo",20.707324400000000,-105.298975800000000
"Departamento Frente a La Playa en Preventa, ""Embá"" Bahía de Banderas, Nayarit",Departamento,3332911,MXN,184,80,82,1,0,0,1,0,Publicado hace 184 días,venta,"Del Mirador ,  Fraccionamiento Bahía de Banderas, Bahía de Banderas",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-frente-a-la-playa-en-preventa-emba-143572313.html,"EMBÁ es un desarrollo habitacional de 50 unidades de departamentos, desde 82 hasta 183 m2, pensado para generar una atmósfera de relajación, desconexión y bienestar. 5 exclusivos edificios de 4 niveles con amenidades en planta baja y superiores en los roof top de cada torre, contando con acceso de intercomunicación entre cada una de ellas. Con una vista privilegiada al Pacífico mexicano Ubicado en La Peñita de Jaltemba, Nayarit. Un hermoso pueblo costero caracterizado por su tranquilidad, clima agradable y playas largas. SUPERFICIE: 82 m2 DISTRIBUCIÓN: Cocina integral Sala comedor Recámara con closet Baño completo Área de lavado Terraza AMENIDADES: Estacionamiento privado Seguridad 24/7 Áreas verdes Cancha de pádel Cancha de pickleball Gimnasio En roof top Zona de asadores Restaurante en roof top Infinity pool en roof top Albercas y jacuzzis Bodegas Juegos y entretenimiento UBICACIÓN y ZONAS ALEDAÑAS: Sobre la calle cerrada del mirador S/N, esquina calle Mal Paso, Colonia el Pescador. Cercano a Hoteles, y zonas habitacionales. PRECIO Y DISPONIBILIDAD SUJETOS CAMBIOS SIN PREVIO AVISO",20.772694300000000,-105.230451300000000
Departamento en Venta en Bahia de Banderas,Departamento,4808000,MXN,2,139,139,3,0,1,3,0,Publicado hace 2 días,venta,"Chico Meza 103,  Flamingo, Bahía de Banderas",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-bahia-de-banderas-145052702.html,"Descubre Matiari: un parque habitacional único en el corazón de la Riviera Nayarit, rodeado de exuberante vegetación y diseñado para ofrecer un estilo de vida inigualable. Aquí encontrarás un oasis urbano que fusiona bienestar, comodidad y comunidad. CARACTERÍSTICAS DESTACADAS DE MATIARI: - 13 torres de 3 niveles con rooftop y espectaculares vistas. - 312 departamentos de 1 a 3 recámaras, ideales para cualquier estilo de vida. - 550 metros de circuito para jogging rodeado de naturaleza. - 10,800 m² de áreas verdes, perfectas para la relajación y el esparcimiento. Cada unidad cuenta con acabados de lujo: pisos de mármol, barra de granito en cocina, aires acondicionados inverter, luces LED y cristales templados. Vive en un espacio pensado para la comodidad y el diseño. AMENIDADES DE PRIMER NIVEL: - Seguridad 24/7 con CCTV. - Amplia terraza master. - Gimnasio completamente equipado. - Circuito de jogging y amplias áreas verdes. - Área de administración para tu comodidad. - Rooftop con pérgola para eventos y momentos de relax. - Espacios pet-friendly, perfectos para toda la familia. En Matiari, cada detalle está diseñado para brindarte una vida en armonía con la naturaleza, en el centro de Riviera Nayarit.",20.740820200000000,-105.291458400000000
"Casa en Venta en El Tigre, Nuevo Vallarta",Casa,37785000,MXN,155,800,675,7,1,4,5,8,Publicado hace 269 días,venta,"Isla tortuga 167,  El Tigre, Bahía de Banderas",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-el-tigre-nuevo-vallarta-142753397.html,"Este elegante hogar goza de una vista al fantástica al fairway del primer hoyo del club de golf, El Tigre, con hermosas montañas de fondo. Una gran puerta dirige a la entrada donde se presentan unas hermosas escaleras que dirigen a la planta alta. Cuenta con 5 amplias recamaras con su propio walk-in closet y baño. La recamara principal es muy grande y goza de un gran ventanal hacia la bella vista y tiene un gran walk-in closet y un baño de tipo spa con dos tocadores. Además, cuenta con cuarto de tele, cuarto de servicio, área de oficina, área de estar adicional a la asombrosa sala-comedor y área de bar. Cuenta con acabados de alta categoría, moderna cocina española amplia y área de estar (sala-comedor) de doble altura con unas lámparas increíbles, bocinas integradas y sistema de entretenimiento. Cuenta con una amplia terraza que brinda espacio para comedor exterior, y camastros. La terraza cuenta con asador, mini refri y tarja, frente a la impresionante alberca de tres niveles, regadera exterior, baño completo y un amplio jardín.",20.700686985704273,-105.284201309786980
"Residencia en Venta en Nuevo Vallarta, Los Tigres, Riviera Nayarit",Casa,13300000,MXN,208,502,245,3,1,2,3,0,Publicado hace 40 días,venta,"Los Tigres Residencial,  Ejido Nuevo Vallarta, Bahía de Banderas",https://www.inmuebles24.com/propiedades/clasificado/veclcain-residencia-en-venta-en-nuevo-vallarta-los-tigres-144763263.html,"Estrena casa con acabados de lujo en uno de los residenciales mas exclusivos de la Bahía. Cuenta con 501.70 m2 de terreno y 245 m2 de construcción, 3 recamaras, 3.5 baños, alberca privada, 2 cajones de estacionamiento, cocina equipada con estufa y campana, lava vajillas, 5 ventiladores y 5 aires acondicionados inverter. La casa esta ubicada dentro del Residencial Los Tigres, a tan solo unos pasos de una variedad de restaurantes, escuelas y a 15 min del aeropuerto de Puerto Vallarta. Amenidades del Residencial: seguridad 24/7, canchas de tenis, básquetbol, voleibol y futbol, alberca semi-olímpica, gimnasio, sala de yoga, salón de spinning, áreas de recreación, kids club, parque infantil y parque exclusivo para perros. *La disponibilidad y precios quedan sujeto a cambios sin previo aviso.",20.707143613279932,-105.285870084655760
Departamento Nuevo en Venta Ocean View Bucerías,Departamento,7100000,MXN,92,81,81,2,0,1,1,0,Publicado hace más de 1 año,venta,"Bucerias ,  Bucerías Centro, Bahía de Banderas",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-nuevo-en-venta-ocean-view-bucerias-141804211.html,"Departamento totalmente nuevo en Bucerias Nayarit en Condominio Mar Azul Front Beach. Ideal Para AIRBNB El Condominio Cuenta con Seguridad las 24 hrs, Lobby con vista al Mar, Alberca con asoleaderos en planta baja a nivel del mar, y cuenta con segunda alberca en el Piso 10 con vista panoramica, terraza techada con bar, asador, asoleaderos, Gimnasio, Increíble vista al Mar y a la Selva. Elevadores, Estacionamiento en el Sotano, Bodega, 2 Albercas, Gimnasio, Acceso directo a la Playa. El Departamento Cuenta Con: -Acceso con chapa de Eléctrica -Cocina integral totalmente equipada, Lavavajillas, horno de microondas, horno convencional, parrilla de gas, extractor, doble tarja, triturador de alimentos, filtro de agua, barra desayunadora. -Area de Sala Comedor -Baño Completo -Terraza amplia con cristales templados -Recamara Con baño completo y Closet -Aire Acondicionado MiniSplit LISTO PARA ESCRITRUAR 81 mts2 Altura Máxima Real Estate",20.752901973667175,-105.324505282603470
Depa Amueblado en Venta Nuevo Vallarta,Departamento,15700000,MXN,42,180,2,0,0,1,2,0,Publicado hace 151 días,venta,"Torres Kite,  Ejido Nuevo Vallarta, Bahía de Banderas",https://www.inmuebles24.com/propiedades/clasificado/veclapin-depa-amueblado-en-venta-nuevo-vallarta-143840441.html,"Frente al mar 180 m2 Nivel 3 $15’700,000 M.N. $857,000 Dlls -2 recamaras -2 baños -Balcón de 360º -Bodega -1 estacionamiento techado UBICADO: en la mejor playa de Nuevo Vallarta Zona Hotelera los mejores atardeceres DETALLES: -Decorado -Cortinas nuevas -Ventiladores -Aires Acondicionados -TVs",20.698620500000000,-105.296489800000000
Propiedad en Venta Punta Mita,Departamento,14000000,MXN,41,145,145,0,0,2,4,0,Publicado hace 140 días,venta,"Camino Punta De Mita Km 14,  Rancho o rancheria Punta de Mita, Bahía de Banderas",https://www.inmuebles24.com/propiedades/clasificado/veclapin-propiedad-en-venta-punta-mita-143955131.html,"Precioso departamento amueblado a pie de playa en uno de los desarrollos mas exclusivos de Punta de Mita en la Riviera Nayarit, a tan solo 40 minutos de Puerto Vallarta, el cual te ofrece amenidades de lujo, maravillosos paisajes, privacidad, seguridad, cuenta con las instalaciones más modernas a nivel mundial que te aseguran entero confort y un oasis de tranquilidad lleno de una abundante vegetación. Amenidades: Seguridad 24/7 Lobby Gimnasio Albercas Club de playa Asoleaderos Roof Garden Spa Área de Yoga Deli Market Juice Bar Pizzería Umi Restaurante Snack Bar Sky Bar Roof Terrace Área Panorámica Kids Cinema Pet Friendly Enfermería *La disponibilidad y precios quedan sujeto a cambios sin previo aviso.",20.754865500000000,-105.461724800000010
