precio,denominacion,propiedad,metros_total,metros_construido,tiempo_de_publicacion,tipo,estacionamientos,recamaras,banos,medio_banos,seguridad_privada,ubicacion,url,descripcion
1060000,MXN,"Departamento en preventa en Riviera Nayarit, fraccionamiento Zitadela",0,51,10 ene. 2024,Departamento,1,2,1,0,No,"Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-733e461ae794-f112-ea40099a-9d46-4220,"Venta de Departamento en 2do Nivel en PreventaSe localiza en una zona altamenteconsolidada en la localidad de SanClemente de Lima, a solo 5 kms delcrucero más importante de Bahía deBanderas, Carretera Federal 200 yCarretera a El Colomo.En dicha zona se cuenta con servicioshospitalarios y educativos, así como áreascomerciales y tiendas de conveniencia.La ubicación, diseño y calidad son susfortalezas."
1950000,MXN,Izamal Casas en Venta en Bahía de Banderas Mezcales,0,83,29 ene. 2024,Condominio Horizontal,1,2,1,0,No,"Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-e765ef781390-db96-1a36abf8-c042-4669,"120 VIVIENDAS RESIDENCIALES Donde se desarrollan 3 prototipos de vivienda, cada uno pensado especialmente para complementar el estilo de vida de tu familia, pensando en tu futuro, y tu desarrollo.Consolidada en la localidad de San Clemente de Lima, a solo 5 kms del crucero más importante de Bahía de Banderas, Carretera Federal 200 y Carretera a El Colomo.En dicha zona se cuenta con servicios hospitalarios y educativos, así como áreas comerciales.*PARQUE INTERACTIVO *MUNDO TETRIX *ZONA DE LA TECNOLOGÍA"
417450,USD,Preventa de departamentos de lujo Frente a la playa con campo de golf - O,0,150,21 abr. 2023,Departamento,1,2,1,0,No,"Fracc Emiliano Zapata, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-39e04eb58859-3cf-415c339c-8adf-3916,"DIMENSIONES150metros cuadrados 2 1/2 baños2 dormitorios1 Cajon de estacionamientoDESTACADOS• lotes frente al mar• villas y departamentos con acceso directo a todas las principales comodidades• 1 beach club a un paso de los lotes - MAREA• 18,000 metros cuadrados de áreas verdes• 180 metros de frente de playaAMENIDADESEspacio de coworkingCocina de laboratorioSpa de rejuvenecimientoGimnasio inteligenteCancha de playaFogón de playaBar deportivoClub de mascotasRecorrido por la pistaCine al aire libre de picnicExperiencia en paddleyogaDepartamentos desde 1 hasta 3 recamaras. Villas y Terrenos Disponibles!!SERVICIOSRestaurante: Saborea la cocina internacional con menús diarios creados para explorar los sabores de la región.Mini mercado: Encuentra todo lo que necesites a solo unos pasos de tu residencia. Desde un simple bocadillo hasta medicamentos básicos.Servicio de limpieza: Relájate y no te preocupes por mantener el orden. Deja que un profesional lo haga por ti.Niñera: Porque nos importa lo que más te importa, contamos con personal verificado en quien puedes confiar.Seguridad las 24 horas: Control de acceso al complejo día y noche, protegemos tu privacidad e inversión."
7300000,MXN,Preventa de departamentos Frente a la playa de Litibu - H,0,115,21 abr. 2023,Departamento,1,2,3,0,No,"Ejido Higuera Blanca, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-7bc9e5e18dc4-f7f6-4ef46f3a-a082-3b81,"TRIBÙ RIVIERA & GOLF RESIDENCES ES UN DESARROLLO VERTICAL QUE OFRECE UN ESTILO DE VIDA COMPLETO, ÙNICO Y FAMILIAR,DENTRO DEL EXCLUSIVO COMPLEJO HAIXA LITIBÙ PUNTA DE MITA RODEADO DE LUJOSOS HOTELES Y LAS MEJORES PLAYAS DE BAHíA DE BANDERAS. TRIBÙ RIVIERA ES UN PROYECTO FRESCO E INNOVADOR DONDE REDEFINIMOS EL LUJO DE UN RESORT TROPICAL EN PUNTA DE MITA.Mas de 20 amenidades entre ellas Campo de Golf. Departamentos de 1 a 3 recamaras totalmente equipados y desde 115 metros hasta 273. Aprovecha preventa con 10% de Descuento y 5% adicional de contado. Financiamiento de 18 o 24 meses, Precios desde 300,000 dolares hasta 933,000 dolares"
4477195,MXN,Preventa Departamentos con club playa en Litibu en Punta Mita,0,95,21 abr. 2023,Departamento,0,1,2,0,No,"Ejido Higuera Blanca, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-6369befafaad-edd5-5e8aee19-9754-390b,"Desarrollo con una superficie de casi 29 hectáreas con una extraordinaria vegetación con el 40 % de áreas verdes, Pozos de agua propios así como sus plantas de tratamiento que darán servicio a todo el complejo.Sólo 173 terrenos exclusivos y panorámicos con vista a las Islas Marietas, Punta de Mita y Bahía Litibú que van desde los 600m2 hasta 2,000 m2.LOCALIDADSe encuentra en frente de la población de Higuera Blanca, nominado para convertirse en Pueblo Mágico.Ubicado en el km 13 de la carretera Sayulita-Punta de Mita frente al poblado de Higuera Blanca, que en la administración entrante será galardonado como pueblo mágico.ESPECTACULAR CASA CLUBUbicada en la parte más alta del desarrollo, con una vista de 180° a toda la Bahía dis- frutaras de:- Restaurante.- Bar.- Centro de negocios. - Gimnasio.- Spa.- Alberca.- Jacuzzi.- Ludoteca.- Hamacas.AMENIDADES AREA RECREATIVAIngreso con seguridad. Gimnasio al aire libre. Canchas de pádel. Área infantil. Chapoteadero.Juegos.Pet Park.Vialidades de concreto.Instalaciones ocultas. -Teléfono- Luz- Agua- DrenajeCLUB DE PLAYAUbicado en la playa de Litibú a solo 10 minutos en auto de la entrada al desarrollo, con una superficie de 1,000 m2.- Terraza.- Alberca.- Palapas con camastros. - Snack BarSon algunas de las amenidades que encontraras en este magnífico club de playa.TORRES DE DEPARTAMENTOSUnidades de 2 - 4 recámaras con acabados de lujo.Con amenidades exclusivas, rodeados de naturalezaOPCIONES DE PROPIEDADESExisten diferentes tamaños de departamentos y terrenos con diferentes caracteristicas, pregunte por mas informción."
1830000,USD,Preventa Departamentos  frente a la playa de Litibu en Punta Mita U,0,409,21 abr. 2023,Departamento,0,4,5,0,No,"Ejido Higuera Blanca, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-2ac6b034f58d-280b-7e2bef95-b2a0-3b72,"UAVI es un proyecto que surge en un entorno perfecto que abraza mas de 20,000 m2 de vista a una de las mejores playas en Litibu  rodeado de un campo de golf exclusivo diseñado por Greg Norman.con un  total de 44 Departamentos con vista al mar de 3, 4 y 5 recámaras de 321 m2 a 680 m2, cuarto de servicio, penthouses exclusivos con terrazas, piscinas y espectaculares jardines cerrados.Departamentos desde 1,830,000 USD hasta 3,415,000 USDIncreíbles amenidades de super lujo… Beachfront Pool, Beach Club, Infinity Pool, Snack Bar, Sports Courts, Fitness Center, Spa, Wellness Center, Kids Club, Residents Lounge, Creative Hub, Whater Sports Shack, Concierge más servicio de Property Managment.Ven conoce y disfruta de este proyecto que surje de la union de  tres de los más importantes desarrolladores residenciales de lujo en el País … TERRAFORMA, CIMBRA CAPITAL y CEIBA…Planes de pago accesibles, descuento pago de contado, Entrega en 2025"
924000,USD,Preventa de villas frente a la playa de Litibu Punta de Mita - O,0,400,21 abr. 2023,Departamento,1,4,5,0,No,"Litibu, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-2e86dcd26ff2-876c-f887b622-abbd-3f7e,"Preciosas Villas en la majestuosa playa de Litibu, rodeada de hermosa vegetación y un campo de Golf diseñado por Greg Norman. Caracteristicas:400 mentros cuadrados4 recamaras.270 metros de area techada130 metros de are de terraza4 1/2 bañosAlberca privada.DESTACADOS• lotes frente al mar• Departamentos y Villas de nuevo nivel con acceso directo a todas las principales comodidades• 1 beach club a un paso de los lotes - MAREA• 18,000 metros cuadrados de áreas verdes• 180 metros de frente de playaAMENIDADESEspacio de coworkingCocina de laboratorioSpa de rejuvenecimientoGimnasio inteligenteCancha de playaFogón de playaBar deportivoClub de mascotasRecorrido por la pistaCine al aire libre de picnicExperiencia en paddleEnclosure de yogaSERVICIOSRestaurante: Saborea la cocina internacional con menús diarios creados para explorar los sabores de la región.Mini mercado: Encuentra todo lo que necesites a solo unos pasos de tu residencia. Desde un simple bocadillo hasta medicamentos básicos.Servicio de limpieza: Relájate y no te preocupes por mantener el orden. Deja que un profesional lo haga por ti.Niñera: Porque nos importa lo que más te importa, contamos con personal verificado en quien puedes confiar.Seguridad las 24 horas: Control de acceso al complejo día y noche, protegemos tu privacidad e inversión."
11088075,MXN,DEPARTAMENTO FRENTE AL MAR CON VISTA AL MAR EXPECTACULAR EN LA CRUZ DE HUANACAXTLE,0,173,03/12/2024,Departamento,1,2,2,0,No,"La Unidad, Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-f0f7adeb6fbc-ec92-918aa7af-88cc-4790,"DEPARTAMENTO FRENTE AL MAR EN VENTA CON VISTA AL MAR EN TIZATE RESIDENCES*VENTA DIRECTA CON EL DESARROLLADOR*FINANCIAMIENTO DIRECTO SIN INTERESES, SIN INVESTIGACIÓN, SIN BURO*PREGUNTE POR MAS TIPOS, TAMAÑOS, PRECIOS, MODELOS Y OTROS DESARROLLOS EN PLAYA*Las fotos publicadas muestran la vista del departamento*PRECIOS ACTUALIZADOS AL 24 DE FEBRERO 2024Hermosas residencias frente al mar en Tizate Residences, condominios de calidad con una ubicación perfecta, una arquitectura magnífica, vistas espectaculares y un estilo de vida únicoUna oportunidad para invertir y asegurar tu patrimonio en un desarrollo de lujo con el gran diseño arquitectónico de Arseni Varabyeu y el respaldo y sello del desarrollador Península Residences, una de las empresas más innovadoras, atrevidas y constantemente proactivas en México.Con el lujo y exclusividad que caracterizan los proyectos del desarrollador, grandes y hermosas y las más completas amenidades que le dan un sello moderno, vanguardista y fácil de disfrutar, todo para asegurar su diversión y entretenimiento, así hacer de sus vacaciones y estancia un paraíso inolvidableDEPARTAMENTO PUBLICADO:*Precio publicado contado *Contamos con financiamiento directo del desarrollador sin intereses2 recámaras2 bañoscocina integral con lavavajillas, triturador, campana, estufasala comedorcuarto de lavadoaire acondicionadoestacionamientoamenidades*Pregunte por más modelos y preciosAmenidades:LobbyLudotecaCineAlbercaSpa con baños, regaderas y sala de masajesSauna y VaporGimnasioAreas verdesTerraza panorámicaClub de playaElevadores de alta velocidadSeguridad y cámaras de vigilancia las 24 horasEspecificaciones en interiores:Piso de porcelanato en áreas comunes del departamento,Puertas y closets chapa tono pendienteLuminarias ledConexión para tv, sistema de cable, internet y teléfono.Aire acondicionado de alta eficiencia.Unidades Terminadas.Especificaciones en cocinas:Cocinas importadas de Italia.Cubiertas de barras en cuarzo.Equipo de cocinas:Campana acabado acero inoxidable.Estufa acabado en acero inoxidable.Lavavajillas acabado acero inoxidable.Tarja de acero inoxidable con triturador y llave mezcladora.Especificaciones en baños:Mármol en pisos y muros de regaderaMueble bajolavabo chapa tono pendienteMármol en cubiertas de bajolavabosLavabo de sobreponer en cerámica blancaWc en cerámica blancaMampara de baño en cristal templadoAccesorios de baño acabado acero inoxidable alto brilloMampara de baño en cristal templadoAccesorios de baño acabado acero inoxidable alto brilloCarpintería :chapa tono tono pendienteEspecificaciones exteriores :Terraza de piso porcelanato. Balcones con barandal de cristalVentanas y puertas corredizas de vidrio laminado.*Especificaciones sujetas a cambios*Pueden variar los tonos*PRECIOS Y CONDICIONES SUJETOS A DISPONIBILIDAD, AUTORIZACION Y CAMBIOS SIN PREVIO AVISO"
24650600,MXN,PH EN VENTA CON VISTA AL MAR EN NUEVO VALLARTA EN AMANCAY,0,259,8 dic. 2023,Departamento,1,5,5,0,No,"Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-ff1a3bc81d6a-95c0-d29e71b9-af46-1237,"PH EN VENTA FRENTE A PLAYA CON VISTA A PLAYA Venta directa con el desarrollador, financiamiento directo sin intereses, entrega 2024PH con vista espectacular, frente al mar y la vista al mar, disfruta de del paraíso en este PH, en el mejor desarrollo de todo Vallarta aprovecha el único en su precio, vista y distribución, con todo para disfrutar, descansar, relajarse y divertirselobby, cancha de tenis, cancha padel, gimnasio, spa, alberca panorámica de más de 3,000 M2, pool bar, club house, restaurante, cevichería, kids club, bussines center, elevadores de alta velocidad, áreas verdes, seguridad y cámaras de vigilancia 24/75 recamaras, 5 baños, cocina integral italiana, sala comedor, cuarto de lavado, aire acondicionado, 2 estacionamientos precio publicado contado, precio financiado sin intereses, con facilidades de pago $25,948,000.00pregunte por más opciones y metrajes*precios y condiciones sujetas a disponibilidad y cambios sin previo avisoVENTA DIRECTA CON EL DESARROLLADORFINANCIAMIENTO DIRECTO SIN INTERESES, SIN INVESTIGACION, SIN BURO*PRECIOS ACTUALIZADOS AL 7 DE DICIEMBRE DEL 2023*Una oportunidad para invertir y asegurar tu patrimonio ya que se presenta como el mejor desarrollo de la zona con el gran diseño arquitectónico de Arseni Varabyeu y como un desarrollo candidato a ser galardonado como uno de los mejores de América Latina.Amancay viene de los mismos creadores y vecino, Península Nuevo Vallarta, en el cual los departamentos duplicaron su valor en un plazo de los últimos 4 años. Amancay supone un éxito en todos los sentidos, para el que compra para vivir, para vacacionar o bien para disfrutar y rentar por espacios temporales en el mismo lugar.Se encuentra ubicado en una de las zonas más exclusivas de  Nuevo Vallarta, con una vista privilegiada frente al mar en un terreno de 6 hectáreas.Cuenta con el lujo y exclusividad que caracterizan los proyectos del desarrollador, grandes y hermosas amenidades que le dan un sello moderno, vanguardista y fácil de disfrutar:Amenidades:- alberca espectacular al frente y con vista a playa completamente- cancha de tenis- 2 canchas padel- kids club- business center- club house- lobbys hermosos- gimnasio con los mejores equipos y más completos- salón de juegos- restaurante- cevichería- bar- grandes áreas verdes- elevadores de alta velocidad de uso exclusivo residencial- seguridad y cámaras de vigilancia las 24 horasEspecificaciones en cocinas:Cocinas de importación ItalianaCubiertas de barra en cuarzo.Campana acabado en acero inoxidable.Estufa acabado en acero inoxidable.Lavavajillas acabado en acero inoxidable.Tarja de acero inoxidable con triturador y llave mezcladora.Especificaciones  en interiores:Piso de porcelanato en áreas comunes del departamento, recámaras y terrazaPuertas y closets chapa de polipropeno, color málaga cherryLuminarias LEDConexión para T.V. sistema de cable, teléfono e internetAire acondicionadoUnidades terminadasEspecificaciones en baños:Mueble de lavabo chapa polipropenoMueble bajo lavabo en chapa tonoCubiertas de bajo lavado  en cuarzoLavabo de sobreponer en cristalMampara de baño en cristal templadoWC en cerámicaEspecificaciones exteriores:Piso de terraza de porcelanatoVentanas y puertas corredizas de vidrio con sistema insulado* Especificaciones sujetas a cambios* Pueden variar los tonos*PRECIO Y CONDICIONES SUJETO A AUTORIZACION Y CAMBIOS SIN PREVIO AVISO*"
26770240,MXN,DEPARTAMENTO FRENTE AL MAR EN VENTA CON VISTA AL MAR,0,332,17 dic. 2023,Departamento,1,4,1,0,No,"Bahía de Banderas, Nayarit",https://www.lamudi.com.mx/detalle/41032-73-791b2dd0badc-71a5-d1a4f757-8681-41ac,"DEPARTAMENTO EN PREVENTA FRENTE AL MAR EN NUEVO VALLARTA EN AMANCAYVENTA DIRECTA CON EL DESARROLLADORFINANCIAMIENTO DIRECTO SIN INTERESES, SIN INVESTIGACION, SIN BURO*PRECIOS ACTUALIZADOS AL 16 DE DICIEMBRE 2023*Vista espectacular al mar, a pie de playa, de los departamentos con mejor vista y ubicación.Una oportunidad para invertir y asegurar tu patrimonio ya que se presenta como el mejor desarrollo de la zona con el gran diseño arquitectónico de Arseni Varabyeu y como un desarrollo candidato a ser galardonado como uno de los mejores de América Latina.Amancay viene de los mismos creadores y vecino, Península Nuevo Vallarta, en el cual los departamentos duplicaron su valor en un plazo de los últimos 4 años. Amancay supone un éxito en todos los sentidos, para el que compra para vivir, para vacacionar o bien para disfrutar y rentar por espacios temporales en el mismo lugar.Se encuentra ubicado en una de las zonas más exclusivas de  Nuevo Vallarta, con una vista privilegiada frente al mar en un terreno de 6 hectáreas.Cuenta con el lujo y exclusividad que caracterizan los proyectos del desarrollador, grandes y hermosas amenidades que le dan un sello moderno, vanguardista y fácil de disfrutar:DEPARTAMENTO PUBLICADO:4 recámaras, mas un den que puede ser una recámara más, 4 baños y medio, sala comedor, cuarto de lavado, cocina integral italiana, aire acondicionado,  terraza, estacionamiento.*Precio publicado contado $26,770,240.00  *Precio financiado $28,179,200.00 sin intereses, sin investigación, sin buró, financiamiento directo con el desarrollador PREGUNTE POR MAS OPCIONES DE DIFERENTE METRAJE Y TIPOS DE DEPARTAMENTOS.Amenidades:- alberca espectacular al frente y con vista a playa completamente- cancha de tenis- 2 canchas padel- kids club- business center- club house- lobbys hermosos- gimnasio con los mejores equipos y más completos- salón de juegos- restaurante- cevichería- bar- grandes áreas verdes- elevadores de alta velocidad de uso exclusivo residencial- seguridad y cámaras de vigilancia las 24 horasEspecificaciones en cocinas:Cocinas de importación ItalianaCubiertas de barra en cuarzo.Campana acabado en acero inoxidable.Estufa acabado en acero inoxidable.Lavavajillas acabado en acero inoxidable.Tarja de acero inoxidable con triturador y llave mezcladora.Especificaciones  en interiores:Piso de porcelanato en áreas comunes del departamento, recámaras y terrazaPuertas y closets chapa de polipropeno, color málaga cherryLuminarias LEDConexión para T.V. sistema de cable, teléfono e internetAire acondicionadoUnidades terminadasEspecificaciones en baños:Mueble de lavabo chapa polipropenoMueble bajo lavabo en chapa tonoCubiertas de bajo lavado  en cuarzoLavabo de sobreponer en cristalMampara de baño en cristal templadoWC en cerámicaEspecificaciones exteriores:Piso de terraza de porcelanatoVentanas y puertas corredizas de vidrio con sistema insulado* Especificaciones sujetas a cambios* Pueden variar los tonos*PRECIO Y CONDICIONES SUJETO A AUTORIZACION Y CAMBIOS SIN PREVIO AVISO*"
