precio,denominacion,propiedad,metros_total,metros_construido,tiempo_de_publicacion,tipo,estacionamientos,recamaras,banos,medio_banos,seguridad_privada,ubicacion,url,descripcion
11815000000,MXN,Casa nueva que consta de dos departamentos con entradas independientes,100,270,07/25/2024,Casa,0,3,4,0,No,"El Remance, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-3229c6359079-6c71-2b20086b-b17c-4aad,"Casa nueva que consta de dos departamentos con entradas independientes, ambos con sala, comedor, cocina y rooftop. La planta baja tiene 2 recamaras y 2 baños con alberca privada, el segundo nivel tiene 1 recamara y 2 baños con terraza privada y área de lavandería. La propiedad se encuentra a solo 3minutos de la Zona romántica y a 5 minutos de Centro y a una calle del río Cuale. La propiedad se vende solo con los electrodomésticos. Es una buena propiedad de retiro con la posibilidad de tener ingresos por rentas."
16666667,MXN,582 Aguacate Villa Lucero,476,476,28 nov 2023,Casa,0,5,4,1,No,"Amapas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-aad5e6404a69-c5a6-5f24445-bf38-3d94,"Esta impresionante casa está ubicada a solo unos pasos de la Zona Romántica. Ofrece vistas al mar y a la ciudad, una piscina privada, 5 dormitorios y mucho potencial de alquiler, aunque actualmente no se alquila. Esta es una oportunidad única de ser propietario de la propiedad perfecta para albergar un bed & breakfast, un retiro de yoga o simplemente albergar a una familia numerosa. La propiedad tiene acceso por dos lados a través de las puertas del garaje y una entrada de servicio por un lado, o la puerta de entrada por el otro lado de la propiedad. Esta es una propiedad de visita obligada cuando se busca un hogar en Puerto Vallarta. EasyBroker ID: EB-OM6051"
27200000,MXN,901 Bolivia La Jaula de los Pajaros,216,410,30 abr 2024,Casa,0,6,6,0,No,"5 de Diciembre, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-bdffbd08e794-f249-18f2cbf-a7bd-7750,"Bienvenido a Casa ''La Jaula de los Pájaros'', una impresionante casa en el corazón de 5 de Diciembre. Desde el momento en que entras, te envuelve la elegancia y la impecable atención al detalle, mostrando un verdadero trabajo de amor en cada rincón. Perfectamente situado, ofrece una vista fabulosa de la bahía y es de fácil acceso y se encuentra a poca distancia de restaurantes populares y del Malecón. Con 5 amplios dormitorios, dos cocinas y múltiples salas de estar que se pueden separar fácilmente en dos apartamentos independientes, esta casa ofrece versatilidad y flexibilidad para acomodar varios arreglos de vivienda. Además, un apartamento independiente de 1 dormitorio ofrece un refugio perfecto para invitados o una oportunidad de alquiler. EasyBroker ID: EB-QC1860"
5500000,MXN,602 Bugambilia Blanca,0,122,11 may 2024,Departamento,0,2,2,0,No,"Amapas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-bfed33fb33ce-31cd-18f656c-b483-731f,"Este encantador condominio de 2 dormitorios y 2 baños ofrece un refugio sereno con 122,80 m² de espacio habitable, ubicado en el atractivo primer piso. Ingrese para descubrir una sala de estar bellamente decorada con toques clásicos mexicanos, desde vibrantes detalles en azulejos hasta muebles rústicos de madera, creando un ambiente acogedor perfecto para relajarse. El plano de planta abierto conecta a la perfección las áreas de sala, comedor y cocina, ideal para entretener a los invitados o relajarse después de un día explorando la vibrante ciudad. Prepare deliciosas comidas en la cocina totalmente equipada con elegantes electrodomésticos y amplio espacio de almacenamiento. La suite principal cuenta con baño privado, mientras que el segundo dormitorio ofrece comodidad y conveniencia para invitados o familiares. ¡Programa tu visita hoy!. EasyBroker ID: EB-QE5643"
7192982,MXN,546 Calle Allende 4 Condo Allende #4,0,135,28 nov 2023,Departamento,0,3,2,0,No,"El Cerro, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-35e66e82b587-319-ace0a912-9d52-4009,"Excepcional condominio ubicado en un edificio boutique que cuenta con solo un departamento por piso, brindando amplia privacidad. Desde la terraza de toda la planta se puede disfrutar de unas vistas panorámicas de las colinas y el océano. Su espaciosa distribución incluye un área de comedor, cocina totalmente equipada, 3 dormitorios y 2 baños completos, con magníficas vistas desde el balcón principal. El dormitorio principal es un refugio frente al mar con baño privado, closet vestidor y acceso al balcón. Las áreas comunes del edificio, incluyen una piscina y area de jardin en la planta baja. Ubicado a solamente 7 cuadras del Malecón y también de fácil acceso desde la carretera principal, este condominio está listo para ser habitado y comenzar a disfrutarlo. EasyBroker ID: EB-OU1203"
13157895,MXN,880 Guadalupe Sanchez Casa Geminis,168,521,28 nov 2023,Casa,0,9,7,1,No,"Puerto Vallarta Centro, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-6063a03d5412-a707-e9095950-ab20-315d,"Oportunidad de Inversión en el Centro de Puerto Vallarta. Listo para ser desarrollado en condominios/apartamentos para vender o alquilar. Esta gran casa está situada justo entre el Malecón, 5 de Diciembre y la Zona Romántica Favorita de Vallarta. Se divide esencialmente en dos propiedades: la casa principal y la propiedad de alquiler . Imagine la renovación de su hogar para siempre y su propiedad de inversión todo en uno para hacer realidad sus sueños financieros y de jubilación. EasyBroker ID: EB-NG7538"
12192982,MXN,DUPLEX: 183 Aguacate 101/202 Condo Aguacate,192,192,17 abr 2024,Casa en Condominio,0,2,2,1,No,"Emiliano Zapata, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-bee98546335b-c6b6-ea25c8a3-b566-393a,"Bienvenido a Condo Aguacate, un impresionante dúplex con dos unidades de un dormitorio perfectamente conectadas. Las entradas independientes en ambos pisos ofrecen comodidad y versatilidad. Cada nivel espacioso es totalmente independiente con dormitorio, baño, sala de estar, comedor y cocina. La planta baja se utiliza actualmente como espacio de entretenimiento con una habitación de invitados e instalaciones de lavandería, mientras que el segundo piso sirve como suite del propietario, que cuenta con un balcón frontal ajardinado y un dormitorio en la parte trasera con un balcón estilo Julieta con vistas al exuberante patio cerrado de abajo. . Una puerta con cerradura permite una separación completa entre los niveles tanto para privacidad como para posibles ingresos por alquiler. Ubicada en una calle tranquila y plana, esta propiedad ofrece elegancia y diseño moderno a un excelente valor para el vecindario. EasyBroker ID: EB-PZ6921"
7017544,MXN,183 Aguacate 201 Casa del Arbol,96,96,17 abr 2024,Casa en Condominio,0,1,1,1,No,"Emiliano Zapata, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-58d2ad70756f-9ba1-9a7a04bd-bd47-3e30,"Si lo que estás buscando es una vida contemporánea, ¡aquí la tienes! Este atractivo condominio de un dormitorio es su propio refugio urbano. El diseño moderno contrasta con la exuberante vegetación del balcón delantero y la terraza trasera. Su oasis privado junto al dormitorio principal es perfecto para tomar un café por la mañana o meditar. Los techos altos y los acabados elegantes harán que desees recibir invitados. Esta es una ubicación deseada en una calle tranquila, pero a solo minutos de la Isla Cuale o del mercado de Lázaro Cárdenas. Con una sala de estar en la azotea y una piscina infinita, Casa del Árbol es perfecta para una persona soltera sofisticada o una pareja cosmopolita. Ven y velo por ti mismo. EasyBroker ID: EB-PZ6856"
6140351,MXN,353 Palm Springs A 101 Palm Springs 101 A,113,101,17 abr 2024,Casa en Condominio,0,2,2,0,No,"Versalles, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-89e7ee601ef-2f34-185a51e6-ae45-3689,"Versalles es considerada una de las zonas mas atractivas de Puerto Vallarta por la gran variedad de servicios que puedes encontrar de restaurantes y cafeterias. Este apartamento de 2 recamaras y 2 baños completos te ofrece la accesibilidad que una unidad en planta baja solo puede ofrecer. Una vez hayas pasado la puerta principal a tu mano derecha se encuentra el Ã¡rea de lavado. Cuenta con cocineta integral con anaqueles, barra desayunadora de concreto pulido con parrilla y horno. La sala y el comedor con AA y ventilador tambien y se comunica con una pequeña terraza para disfrutar de la sombra y el fresco del di­a entero si asi­ lo deseas. Desde su recamara secundaria con closet, ventilador y AA podras disfrutar el jardin exterior. EasyBroker ID: EB-PZ6450"
7456140,MXN,807 Lirios B04 Las Cumbres,103,103,19 feb 2024,Casa en Condominio,0,1,1,1,No,"5 de Diciembre, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-d36cf696447e-e516-bc315a7b-b866-3142,"¡Viva el lujo en Lirios! Los cerros 5 de Diciembre son ahora uno de los lugares más buscados de Vallarta. Este espacioso condominio ofrece impresionantes vistas de la bahía. El dormitorio principal tiene un amplio vestidor y un amplio baño. La sala de estar está llena de luz natural y el gran balcón ofrece espectaculares vistas del atardecer con vista a la piscina de 88 grados. Si busca más espacio, el condominio contiguo también está disponible, lo que le permite combinarlos en una lujosa casa de varios dormitorios. El complejo también cuenta con una suite para invitados, que brinda a sus invitados un espacio cómodo y privado para quedarse. Encontrará acabados de alta gama y detalles de calidad en todo el condominio, lo que lo convierte en la casa de sus sueños perfecta que siempre ha deseado. EasyBroker ID: EB-PN4759"
