precio,denominacion,propiedad,metros_total,metros_construido,tiempo_de_publicacion,tipo,estacionamientos,recamaras,banos,medio_banos,seguridad_privada,ubicacion,url,descripcion
672199,USD,Unmatched Luxury - Puerto Vallarta Sanctuary with Stunning Vistas and ROI!,0,100,10/21/2024,Departamento,0,2,2,0,No,"5 de Diciembre, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-5a9fbe3a53bc-6d78-1929017-b893-7b40,"Discover the ultimate presale opportunity (To be delivered end of 2025) In Condo C48, situated within the highly sought-afterMDY Vallarta.Introducing Penthouse 1 at MDY Vallarta - An Epitome of Luxury and Serenity in theVibrant Heart of Puerto Vallarta.Discover the ultimate presale opportunity in Condo C48, situated within the highly sought-afterMDY Vallarta. This exceptional residence offers an idyllic blend of sophisticated living, modernconvenience, and a deep commitment to environmental sustainability, set against the vibrantbackdrop of Puerto Vallarta and the stunning vistas of Banderas Bay. This condo transcendsmere residence; it is a sanctuary crafted for those with a discerning taste for luxury andelegance. Perfect for those seeking an investment in a vacation home that promises asubstantial return on investment (ROI).Property Features:• Ample and Luxurious Living Spaces: Featuring a generous 1,076.1 sq. ft. layout with2 bedrooms, a state-of-the-art kitchen, a spacious terrace, a welcoming living-diningarea, 2 full bathrooms, a laundry area, air conditioning, and the option for additionalstorage.• Exquisite Design and Materials: Condo C48 is a marvel of design, crafted withpremium materials and an architecture that emphasizes comfort and luxury.• Exclusive Pricing: Offered at $10,956,847.00 MXN, reflective of the current exchangerate, ensuring superb value for a premium lifestyle. World-Class Amenities:• Three Saltwater Pools: Delight in the luxury of three distinct saltwater pools, includinga Sun Deck & Pool with jacuzzi, a Swim-Up Bar beside a heated pool, and a Pool Deckoffering magnificent sunset views.• Snack-Bar & Lounge: A perfect spot adjacent to the heated saltwater pool for relaxingafternoons.• Fitness and Pets: Boasting a modern gym and a pets area, ensuring a holistic lifestylefor all residents.Exclusive Features:1. Airport Shuttle Service: Offering an effortless travel experience with our exclusiveairport shuttle service.2. Sea Ray SPX-190 Boat Access: Enjoy memorable moments on the water with accessto a Sea Ray SPX-190 boat, ideal for up to 8 passengers plus crew.3. Exclusive Mango’s Beach Club Benefits:• Savings and Comfort: Enjoy a 10% discount on your bill at Mango’s Beach Club with aminimum spend of $500 MXN per adult, alongside the convenience of included towels foryour beach day.• Complimentary Beverage: Refresh with a complimentary drink of your choice betweena margarita or lemonade, welcoming you to the ultimate beachside experience.• Aquatic Adventure: Dive into fun with complimentary access to aquatic gear, includingkayaks, paddleboards, bodyboards, and life jackets, ensuring an unforgettable stay.• Ease of Access: Benefit from easy reservation or walk-in access to Mango’s Beach Clubwith provided coupons, ensuring your spot between 11:00 am and 5:00 pm, subject toavailability.These exclusive benefits at Mango’s Beach Club add to the luxurious lifestyle awaiting residentsat MDY Vallarta, enhancing the allure of these prestigious units with unique leisure opportunitiesand conveniences. Commitment to Sustainability:In MDY®, we are dedicated to envisioning a future that is both sustainable and healthy. Ourcommitment has led us to design MDY Vallarta as a real estate development that adheres toLEED® standards. We focus on air cleanliness, efficient energy and natural resource use, andthe avoidance of environmentally harmful chemicals. By choosing MDY Vallarta, you are not onlyinvesting in a luxurious living space but also contributing to a healthier planet.Prime Location:Located where the heart of Puerto Vallarta’s dynamic lifestyle meets the tranquility of nature,MDY Vallarta offers easy access to fine dining, shopping, and entertainment while providing aserene sanctuary within the city.Embrace the future with Condo C48 at MDY Vallarta, where luxury living,environmental sustainability, and innovative amenities converge to offer anunparalleled lifestyle experience in Puerto Vallarta."
2106900,USD,Introducing Penthouse 1 - An Epitome of Luxury and Serenity in the Vibrant Heart of Puerto Vallarta.,0,284,10/21/2024,Departamento,0,3,3,0,No,"5 de Diciembre, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-525ac7c23041-84fb-1929017-af2d-730e,"Discover the ultimate presale opportunity (To be delivered end of 2025) In Pent house 1, situated within the highly sought-afterMDY Vallarta.Introducing Penthouse 1 at MDY Vallarta - An Epitome of Luxury and Serenity in theVibrant Heart of Puerto Vallarta.Nestled within the prestigious MDY Vallarta, Penthouse 1 stands as a beacon of luxury living,offering unparalleled elegance and sophistication. This magnificent residence has beenmeticulously designed to cater to the most discerning tastes, providing a living experience that isas lavish as it is comfortable. This Penthouse transcends mere residence; it is a sanctuarycrafted for those with a discerning taste for luxury and elegance. Perfect for those seeking aninvestment in a vacation home that promises a substantial return on investment (ROI). Property Highlights:• Expansive and Elegant: Spanning 3,052.9 sq. ft. (283 m2), this penthouse boasts 3luxurious bedrooms, a fully equipped kitchen, an expansive terrace for awe-inspiringviews, a spacious living-dining area, 3 full bathrooms, and an additional half bathroomfor guests.• Exclusive Comforts: Revel in the exclusivity of a private pool-jacuzzi, ensuring privacyand relaxation at any moment. The inclusion of a laundry area, air conditioning, and theoption for a storage unit further enhance the convenience and luxury of this penthouse.• Superior Design & Craftsmanship: With its premium finishes and thoughtfularchitecture, Penthouse 1 exemplifies modern luxury, where every detail has beencarefully curated to ensure comfort and style.Exclusive Pricing: Offered at $34,342,465.00 MXN, reflective of the current exchangerate, ensuring superb value for a premium lifestyle.MDY Vallarta’s Signature Amenities:• Breathtaking Saltwater Pools: Residents have access to three exquisite saltwaterpools, including a heated Swim-Up Bar and a serene Pool Deck, perfect for enjoying thepanoramic views.• Comprehensive Wellness and Leisure Facilities: From a state-of-the-art gym to adedicated pets area, MDY Vallarta caters to every aspect of a luxurious lifestyle.• Sustainability and Health: Committed to a sustainable future, MDY Vallarta adheres toLEED® standards, focusing on air cleanliness, energy efficiency, and the responsible useof resources. Exclusive Features for an Unmatched Lifestyle:• Convenient Airport Shuttle Service: MDY Vallarta offers an exclusive airport shuttleservice, adding an extra layer of convenience for residents and visitors alike.• Access to a Sea Ray SPX-190 Boat: Enhance your lifestyle with access to a Sea RaySPX-190 boat, perfect for up to 8 passengers plus crew, promising unforgettablemoments on the water.• Exclusive Mango’s Beach Club Benefits:• Savings and Comfort: Enjoy a 10% discount on your bill at Mango’s Beach Club with aminimum spend of $500 MXN per adult, alongside the convenience of included towels foryour beach day.• Complimentary Beverage: Refresh with a complimentary drink of your choice between amargarita or lemonade, welcoming you to the ultimate beachside experience.• Aquatic Adventure: Dive into fun with complimentary access to aquatic gear, includingkayaks, paddleboards, bodyboards, and life jackets, ensuring an unforgettable stay.• Ease of Access: Benefit from easy reservation or walk-in access to Mango’s Beach Clubwith provided coupons, ensuring your spot between 11:00 am and 5:00 pm, subject toavailability.These exclusive benefits at Mango’s Beach Club add to the luxurious lifestyle awaiting residentsat MDY Vallarta, enhancing the allure of these prestigious units with unique leisure opportunitiesand conveniences. Commitment to Sustainability:In MDY®, we are dedicated to envisioning a future that is both sustainable and healthy. Ourcommitment has led us to design MDY Vallarta as a real estate development that adheres toLEED® standards. We focus on air cleanliness, efficient energy and natural resource use, andthe avoidance of environmentally harmful chemicals. By choosing MDY Vallarta, you are not onlyinvesting in a luxurious living space but also contributing to a healthier planet. Prime Location:Located where the heart of Puerto Vallarta’s dynamic lifestyle meets the tranquility of nature,MDY Vallarta offers easy access to fine dining, shopping, and entertainment while providing aserene sanctuary within the city.Embrace the future with Penthouse 1  at MDY Vallarta, where luxury living,environmental sustainability, and innovative amenities converge to offer anunparalleled lifestyle experience in Puerto Vallarta."
4025000,MXN,VILLAS MARES DE VERANO B2,104,104,24 jun 2024,Casa en Condominio,0,2,2,0,No,"Lomas de Mismaloya, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-cabea90b006a-b3ca-7255c71d-86c4-4819,"Villas Mares de Verano ubicadas entre selva, playa y río, a 5 minutos caminando de la playa de Mismaloya y a pocos metros del set original de la película “La Noche De La Iguana” que hizo famosa a Vallarta, ubicada directamente frente a la carretera principal. Fácil acceso en coche o autobús. Como sabrá, la costa sur es la mejor ubicación y tiene las mejores playas de la bahía.Consta de 16 residencias privadas exclusivas. Todo el complejo está amurallado y la entrada está permitida exclusivamente a los residentes y sus invitados. Las comodidades exteriores incluirán 2 piscinas, estacionamiento, jardín y paisajismo combinados con excelente luz exterior.Bienvenidos a la hermosa Villa A3, ubicada a solo 5 minutos caminando de la playa de Mismaloya. Esta encantadora residencia está diseñada para ofrecerle una estancia cómoda y relajante, con una ubicación privilegiada que le permite disfrutar fácilmente de los beneficios del entorno costero."
4462500,MXN,VILLAS MARES DE VERANO A5,144039,144039,24 jun 2024,Casa en Condominio,0,2,2,0,No,"Lomas de Mismaloya, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-2b369c179933-d068-4dd9f1b-8fbc-5030,"Villas Mares de Verano ubicadas entre selva, playa y río, a 5 minutos caminando de la playa de Mismaloya y a pocos metros del set original de la película “La Noche De La Iguana” que hizo famosa a Vallarta, ubicada directamente frente a la carretera principal. , fácil acceso en coche o autobús. Como sabrá, la costa sur es la mejor ubicación y tiene las mejores playas de la bahía.Consta de 16 residencias privadas exclusivas. Todo el complejo está amurallado y la entrada está permitida exclusivamente a los residentes y sus invitados. Las comodidades exteriores incluirán 2 piscinas, estacionamiento, jardín y paisajismo combinados con excelente luz exterior.Bienvenidos a la hermosa Villa A3, ubicada a solo 5 minutos caminando de la playa de Mismaloya. Esta encantadora residencia está diseñada para ofrecerle una estancia cómoda y relajante, con una ubicación privilegiada que le permite disfrutar fácilmente de los beneficios del entorno costero."
4462500,MXN,VILLAS MARES DE VERANO A6,145083,145083,24 jun 2024,Casa en Condominio,0,2,2,0,No,"Lomas de Mismaloya, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-b33eaec2f3a7-7f6a-22e12cc-9110-4087,"Villas Mares de Verano ubicadas entre selva, playa y río, a 5 minutos caminando de la playa de Mismaloya y a pocos metros del set original de la película “La Noche De La Iguana” que hizo famosa a Vallarta, ubicada directamente frente a la carretera principal. , fácil acceso en coche o autobús. Como sabrá, la costa sur es la mejor ubicación y tiene las mejores playas de la bahía.Consta de 16 residencias privadas exclusivas. Todo el complejo está amurallado y la entrada está permitida exclusivamente a los residentes y sus invitados. Las comodidades exteriores incluirán 2 piscinas, estacionamiento, jardín y paisajismo combinados con excelente luz exterior.Bienvenidos a la hermosa Villa A3, ubicada a solo 5 minutos caminando de la playa de Mismaloya. Esta encantadora residencia está diseñada para ofrecerle una estancia cómoda y relajante, con una ubicación privilegiada que le permite disfrutar fácilmente de los beneficios del entorno costero."
4025000,MXN,VILLAS MARES DE VERANO B1,103,103,24 jun 2024,Casa en Condominio,0,2,2,0,No,"Lomas de Mismaloya, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-2f8eeb254f7a-8b34-3db9b354-bdc4-4911,"Villas Mares de Verano ubicadas entre selva, playa y río, a 5 minutos caminando de la playa de Mismaloya y a pocos metros del set original de la película “La Noche De La Iguana” que hizo famosa a Vallarta, ubicada directamente frente a la carretera principal. , fácil acceso en coche o autobús. Como sabrá, la costa sur es la mejor ubicación y tiene las mejores playas de la bahía.Consta de 16 residencias privadas exclusivas. Todo el complejo está amurallado y la entrada está permitida exclusivamente a los residentes y sus invitados. Las comodidades exteriores incluirán 2 piscinas, estacionamiento, jardín y paisajismo combinados con excelente luz exterior.Bienvenidos a la hermosa Villa A3, ubicada a solo 5 minutos caminando de la playa de Mismaloya. Esta encantadora residencia está diseñada para ofrecerle una estancia cómoda y relajante, con una ubicación privilegiada que le permite disfrutar fácilmente de los beneficios del entorno costero."
5215000,MXN,VILLAS MARES DE VERANO A4,3600,239,12 jun 2024,Casa en Condominio,0,3,3,1,No,"Lomas de Mismaloya, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-38ca2c9fcfd7-8a28-c10ee492-baa7-49f0,"Bienvenido a Villas Mares de Verano A4, una encantadora residencia de dos niveles diseñada para ofrecer comodidad y espacio durante tu estancia en Mismaloya. Permíteme describirte en detalle todas las comodidades que esta villa tiene para ofrecerte:Planta Baja:Al ingresar a la planta baja, te encontrarás con una espaciosa recámara con closet, ventilador de techo. Además, encontrarás una amplia cocina, sala y comedor amplísimos donde podrás relajarte y disfrutar de momentos de convivencia. Segundo Piso:Subiendo al segundo piso, encontrarás la amplísima recámara principal, que cuenta con un baño completo, area para closets muy amplios y ventiladores de techo. Desde el balcón de esta habitación, podrás disfrutar de vistas impresionantes a las montañas y al área de la alberca. Además, encontrarás una amplia tercera habitación con closet muy amplio, un baño completo y ventiladores de techo.Estacionamiento:La villa cuenta con estacionamiento para un automóvil.Con su amplio espacio, comodidades modernas y vistas espectaculares, Villas Mares de Verano A4 te ofrece todo lo que necesitas para disfrutar de una vida tranquila y a la vez emocionante en Mismaloya Puerto Vallarta."
5215000,MXN,VILLAS MARES DE VERANO A3,3600,240,14 jun 2024,Casa en Condominio,0,3,3,1,No,"Lomas de Mismaloya, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-a75c3eab6ab0-54fe-70ef43e5-8f8c-46cd,"Villas Mares de Verano están localizadas a 15 minutos al sur del malecón de Puerto Vallarta. A solo 400 metros del acceso principal de la Playa de Mismaloya. Coto residencial con 16 exclusivas Villas rodeadas de vegetación, a solo minutos de actividades diversas como el zoológico de Puerto Vallarta, canopy, rapel, montar a caballo o pasear en lancha a las playas aledañas.Villa A3, te recibirá a una espaciosa sala de estar que se integra con el comedor y la cocina, creando un ambiente acogedor y funcional, así como un cuarto de lavandería adyacente a la cocina.En cuanto a las habitaciones, en el primer piso encontrarás una habitación y un baño completo adjunto. Subiendo al segundo piso, hay 2 habitaciones, cada una con su propio baño amplio y completo. Desde estas habitaciones, podrás contemplar las impresionantes vistas de las montañas circundantes que añaden un toque de serenidad a tu experiencia vacacional.Con su ubicación privilegiada, donde podrás disfrutar de la naturaleza de esta hermosa zona en Mismaloya."
11815000000,MXN,Casa nueva que consta de dos departamentos con entradas independientes,100,270,11 jul 2024,Casa,0,3,4,0,No,"El Remance, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-3229c6359079-6c71-2b20086b-b17c-4aad,"Casa nueva que consta de dos departamentos con entradas independientes, ambos con sala, comedor, cocina y rooftop. La planta baja tiene 2 recamaras y 2 baños con alberca privada, el segundo nivel tiene 1 recamara y 2 baños con terraza privada y área de lavandería. La propiedad se encuentra a solo 3minutos de la Zona romántica y a 5 minutos de Centro y a una calle del río Cuale. La propiedad se vende solo con los electrodomésticos. Es una buena propiedad de retiro con la posibilidad de tener ingresos por rentas."
7899304,MXN,301B OFRENDA,0,0,19 abr 2024,Departamento,0,0,1,0,No,"Emiliano Zapata, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-690dbef0aa96-4318-18ef452-9649-72e0,"Desde el aeropuerto diríjase hacia el sur por Av. Francisco Medina, luego gire a la izquierda en Aquiles Serdán. Gire otra vez a la izquierda en el primer cruce hacia Calle Constitución. Gire otra vez a la izquierda en el primer cruce hacia 5 de Febrero.OFRECEMOS HASTA UN 10% DE DESCUENTO!!!Ofrenda presenta una excelente oportunidad de inversión en bienes raíces debido a su ubicación central, diseño mexicano moderno y la estimada reputación de Grupo Gova. El concepto arquitectónico está inspirado en el rico patrimonio de México, utilizando hermosos materiales locales y un estilo de construcción que irradia sorpresa en cada detalle. La propiedad cuenta con acabados en bruto, materiales naturales, excelente ventilación y abundante luz natural, creando un espacio habitable armonioso. Las características clave incluyen grandes terrazas, unidades de almacenamiento en el sótano, estacionamiento subterráneo, un gimnasio totalmente equipado para los entusiastas del fitness y una terraza amueblada a la perfección. Lo más destacado de la propiedad es la piscina semiolímpica con borde infinito, junto con cuatro jacuzzis estilo aguas termales para relajarse. EasyBroker ID: EB-QA0529"
